标题,开发商,房子信息,发布信息,售价/万,单价
卓达巴哈马，迎宾路CBD商圈，正规两房，视野好无遮挡,卓达东方巴哈马 -吉阳区,2室1厅 | 65.29平米 | 西北 | 简装 | 中楼层(共18层)  | 板塔结合,34人关注 / 一年前发布,185,"28,336元/平"
满五唯一 税费低 单价低二房 诚心出售,山水晴湾 -吉阳区,2室1厅 | 75.01平米 | 南 | 简装 | 中楼层(共13层)  | 板塔结合,175人关注 / 一年前发布,137,"18,265元/平"
一线海景小区，房本满五唯一，税费少,海航花园 -天涯区,2室2厅 | 115.39平米 | 南 北 | 简装 | 低楼层(共13层)  | 板塔结合,437人关注 / 一年前发布,180,"15,600元/平"
君和君泰两三房 带大平台 看房方便,君和君泰 -吉阳区,2室2厅 | 101.8平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 6个月以前发布,305,"29,961元/平"
万科湖畔两房小户型，税低，高楼层景观视野好,万科湖畔度假公园 -吉阳区,2室1厅 | 65.25平米 | 东南 | 精装 | 高楼层(共21层)  | 塔楼,169人关注 / 一年前发布,198,"30,345元/平"
绿地大开发商，次新小区环境好，物业管理好，精装三房,绿地·悦澜湾 -吉阳区,3室2厅 | 83.23平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,14人关注 / 8个月以前发布,235,"28,236元/平"
酒店式管理 适宜年轻人居住 度假也可 购物方便,中铁黎客国际酒店 -天涯区,1室0厅 | 57.17平米 | 东北 | 简装 | 高楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,153,"26,763元/平"
中铁酒店式管理  公寓，家具电器全齐 多套,中铁黎客国际酒店 -天涯区,1室0厅 | 57.45平米 | 东北 | 简装 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,155,"26,980元/平"
三亚红沙，配套齐全，通透格局，楼层好，采光充足。,红沙丽景嘉园 -吉阳区,2室2厅 | 102.64平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,59人关注 / 8个月以前发布,230,"22,409元/平"
万科湖畔三期85平正规两房，高楼楼层视野好，产证满二,万科湖畔度假公园 -吉阳区,2室1厅 | 85.29平米 | 东北 | 精装 | 中楼层(共24层)  | 暂无数据,6人关注 / 9个月以前发布,235,"27,554元/平"
三亚市大东海片区交通便利三房三阳台 全新家具,金陵海景花园 -吉阳区,3室2厅 | 153.97平米 | 西南 | 简装 | 低楼层(共23层)  | 板塔结合,11人关注 / 9个月以前发布,428,"27,798元/平"
绿地·悦澜湾 3室1厅 南,绿地·悦澜湾 -吉阳区,3室1厅 | 95平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,460,"48,422元/平"
凤凰路 两居室 精装修 高层 随时可看房 满五唯一,凯丰花园 -天涯区,2室2厅 | 88.81平米 | 西南 | 简装 | 高楼层(共21层)  | 板楼,30人关注 / 一年前发布,200,"22,520元/平"
