标题,开发商,房子信息,发布信息,售价/万,单价
采光无遮挡，满五年宜居双南两居室,龙柏七村 -龙柏,2室1厅 | 63.18平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,7人关注 / 7天以前发布,435,"68,851元/平"
满五标准两房，业主诚售，通风好，近漕河泾！！,吴中路970弄 -金虹桥,2室1厅 | 58.68平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,4人关注 / 5天以前发布,378,"64,418元/平"
徐汇滨江/西岸+近11/12号线+低总价+售后公房,俞一小区 -龙华,1室1厅 | 32.79平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,5人关注 / 7天以前发布,285,"86,917元/平"
漕河泾精装修一房   九歌上郡   满五名下一套房税费少,九歌上郡 -静安新城,1室1厅 | 55.16平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,4人关注 / 5天以前发布,510,"92,459元/平"
双轨交，南北通透，精装2房，采光视野开阔，看房随时,虹桥万博花园 -中山公园,2室2厅 | 115.19平米 | 南 北 | 精装 | 低楼层(共28层) | 2005年建 | 板楼,19人关注 / 24天以前发布,1287,"111,729元/平"
别墅环 &绕，环境宜人，配套齐全，适合居住,金丰小区北区（121弄） -华漕,2室1厅 | 63.58平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,1人关注 / 21天以前发布,336,"52,847元/平"
海上月是天上月 这套房是心中房 滨江两室可看江,滨江大楼 -陆家嘴,2室1厅 | 70.78平米 | 南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,25人关注 / 16天以前发布,539,"76,152元/平"
中山公园，品质小区，中区三房。,春天花园 -中山公园,3室2厅 | 129.25平米 | 南 北 | 精装 | 中楼层(共28层) | 2004年建 | 板楼,5人关注 / 2个月以前发布,1429,"110,561元/平"
房子满五单一套，婚房装修，电梯三房，诚意出售。,嘉富丽苑 -龙柏,3室2厅 | 116.46平米 | 南 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,12人关注 / 22天以前发布,830,"71,270元/平"
景观楼层，精装修，买进价格高税费少，小区经典位置。,航华二村嘉丰公寓 -航华,2室2厅 | 80.47平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,4人关注 / 19天以前发布,435,"54,058元/平"
售后公房，满五年，1%个税，小区经典三房。,虹桥机场新村 -西郊,3室1厅 | 89.51平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,8人关注 / 17天以前发布,418,"46,699元/平"
银春小区 3室1厅 南 北,银春小区 -颛桥,3室1厅 | 78.53平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,3人关注 / 15天以前发布,358,"45,588元/平"
陶然居电梯三房精装修带地暖新风 凤凰楼层,锦绣江南(一期) -金汇,3室2厅 | 135.14平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,9人关注 / 11天以前发布,1290,"95,457元/平"
总价低 高品质 中间楼层 精装大两房 满五税费少,绿地金卫新家园（西区） -金山,2室2厅 | 86.89平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,17人关注 / 12天以前发布,139,"15,998元/平"
地铁16号线+双南户型+采光视野优！,汇锦城二期 -新场,2室2厅 | 84平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,36人关注 / 4个月以前发布,319,"37,977元/平"
【总监力荐】村房单价的商品房 性价高 车位可加充电桩,佳信花苑 -龙柏,3室2厅 | 103.87平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,7人关注 / 3个月以前发布,635,"61,135元/平"
房子售后公房，满五年唯，一。高层采光好,田林新苑 -田林,2室1厅 | 79.98平米 | 南 北 | 简装 | 中楼层(共28层) | 1993年建 | 塔楼,17人关注 / 8个月以前发布,565,"70,643元/平"
韩国街新上电梯一房，有地暖，看房方便，业主急售,万源新城北区 -金虹桥,1室1厅 | 65.15平米 | 南 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,20人关注 / 16天以前发布,565,"86,723元/平"
一年前精装+高区前后视野很好+诚意出售+近地铁威宁路,天山河畔花园 -天山,3室2厅 | 138.31平米 | 南 北 | 精装 | 高楼层(共26层) | 2007年建 | 板楼,15人关注 / 23天以前发布,1660,"120,021元/平"
全南全明2梯3户正气一房，满⑤V①,大上海城市花园 -长寿路,1室2厅 | 75.48平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,15人关注 / 18天以前发布,700,"92,740元/平"
税费各付，位置楼层都好，诚意出售,名都城(公寓) -金虹桥,3室2厅 | 167.03平米 | 南 北 | 精装 | 高楼层(共9层) | 1998年建 | 板塔结合,10人关注 / 2个月以前发布,1475,"88,308元/平"
单价2.2，降价20万，只卖一周，房龄新，小洋房,新城旭辉府 -金山,3室2厅 | 88平米 | 南 | 精装 | 低楼层(共7层) | 2015年建 | 板楼,37人关注 / 一年前发布,200,"22,728元/平"
万达+正荣商圈+电梯大3房+纯毛坯+满五年+通透采光好,正荣御首府 -金山,3室2厅 | 111.78平米 | 南 | 毛坯 | 中楼层(共11层) | 2016年建 | 板楼,9人关注 / 9个月以前发布,239,"21,382元/平"
张江科学城双子塔旁+两南一北三房+户型方正+诚意出售,春港丽园(公寓) -张江,3室2厅 | 113.23平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,109人关注 / 7个月以前发布,588,"51,930元/平"
天山华庭 2室2厅 南,天山华庭 -天山,2室2厅 | 93.18平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,26人关注 / 3个月以前发布,1170,"125,564元/平"
边套全明+户型方正+采光充足+m5v1+9号线/12号线,园艺新村 -七宝,3室1厅 | 68.7平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,15人关注 / 1个月以前发布,493,"71,762元/平"
12年商品房 高区视野好 诚意出售 满五年 有车位,天山星城 -天山,2室2厅 | 88.76平米 | 南 | 精装 | 高楼层(共25层) | 2012年建 | 板楼,2人关注 / 2个月以前发布,1184,"133,394元/平"
