标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
房子前排 精装修两室朝阳 带配房,安居小区 -河东吾悦广场,3室2厅 | 97.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,65,"6,649元/平"
一楼带院，河边的房子，环境优美空气好,沁園庭 -月亮湾广场,3室2厅 | 141.34平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 28天以前发布,67,"4,741元/平"
科苑新村别墅 全明户型+院子，随时看房,科苑新村 -双月湖公园,5室2厅 | 225平米 | 南 北 | 精装 | 低楼层(共2层)  | 板塔结合,8人关注 / 4个月以前发布,146,"6,489元/平"
精装修，中间楼层，小区的配套设施齐全,恒大绿洲 -临沂市第三人民医院,3室2厅 | 144.51平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,83.9,"5,806元/平"
银河别墅 证过二 独栋别墅毛坯 河景房有钥匙,银河别墅 -九曲街道,6室3厅 | 250.67平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,399,"15,918元/平"
北城芯 一中旁 中南鲁商樾府 精装高层 凤凰层,中南|鲁商•樾府 -北城-长沙路东区,4室1厅 | 142.72平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,200,"14,014元/平"
电梯洋房精装修，东边户好楼层，证过二省税,贵和美景华庭 -盛能游乐园,3室2厅 | 130.77平米 | 北 南 | 精装 | 高楼层(共11层)  | 塔楼,1人关注 / 16天以前发布,109,"8,336元/平"
证过二 带露台 单价低 随时可看,泉府公馆 -北城-鲁商中心,3室1厅 | 118.11平米 | 南 东 东南 西南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 15天以前发布,117,"9,907元/平"
天顺家园 精装婚房 证过五唯一 带车库 通透户型,天顺家园 -双月湖公园,3室2厅 | 157.29平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 12天以前发布,77.5,"4,928元/平"
客厅通阳台 三居室 带车库  证过二,宝丽·盛世华庭 -宝泉寺,3室2厅 | 134.91平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,60,"4,448元/平"
新出!精装未住！证过二！经典大三室！独用大露台！,舒格兰一期 -北城-鲁商中心,3室2厅 | 120.13平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 15天以前发布,185,"15,400元/平"
万城花开 洋房毛坯四室 带车库 中间楼层 诚心出售,万城花开 -北城-长沙路西片区,4室1厅 | 146平米 | 南 | 毛坯 | 中楼层(共5层)  | 塔楼,0人关注 / 8天以前发布,238,"16,302元/平"
致远翡翠传奇 121平毛坯三居室市政供暖 79万,致远翡翠传奇 -双月湖公园,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 4天以前发布,79,"6,529元/平"
南湖尚城电梯洋房4楼共计7层四室两厅两卫,房源·南湖尚城 -远通汽车广场,4室2厅 | 158.88平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,115,"7,239元/平"
房子精装修。带车位。带储藏室。证过二。全明户型。,华润书香府 -远通汽车广场,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,0人关注 / 5天以前发布,100,"8,334元/平"
韵皓宝翠园 好楼层 精装 无遮挡 视野好 全天采光,韵皓 · 宝翠园 -双月湖公园,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3天以前发布,69,"5,228元/平"
德居一品精装修两室，带车位，证过二,德居一品东区 -北城-五洲湖,2室1厅 | 87.69平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 8天以前发布,135,"15,396元/平"
昆仑家园 成熟社区 精装三室，证过二 业主包出让金,昆仑家园 -北城-北外环,3室2厅 | 123.86平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,78,"6,298元/平"
金泰华府南府，小三室证过二，房东诚意出售，看房方便,金泰華府南区 -新闻大厦,3室1厅 | 99.55平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 6天以前发布,145,"14,566元/平"
房子是好楼层，精装修，门口就是龙腾,怡景天鹅湖 -双月湖公园,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,67.5,"5,358元/平"
新东关 b区 中间楼层 毛坯 三室两厅两卫 诚心出售,新东关 -新东关,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 3天以前发布,122,"9,532元/平"
致远翡翠传奇 精装修三居室 业主没住过 忍痛割爱,致远翡翠传奇 -双月湖公园,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 4天以前发布,66,"6,948元/平"
观澜府.毛坯随意装修0有车位有储藏室,儒辰观澜府 -宝泉寺,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 8天以前发布,94,"6,763元/平"
安居小区 刚需三室 带装修 有配房 总价低 随时看房,安居小区 -河东吾悦广场,3室2厅 | 103.79平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8天以前发布,49,"4,722元/平"
银丰公馆，客厅连着阳台，南北通透！采光充足，,银丰公馆 -火车站,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 3天以前发布,88,"7,155元/平"
证过二 带车位 带储藏室 毛坯 4室 带南北双阳台,银盛泰·博观新城 -北城-长沙路西片区,4室1厅 | 141.46平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,209,"14,775元/平"
沂河新区 城开东岸 边户全明三室 有子母车位 观景房,城开东岸 -锦绣外滩,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,5人关注 / 10个月以前发布,118,"10,000元/平"
此房适合刚需人群，地理位置优越，单价总价便宜,卓新天悦城 -月亮湾广场,4室2厅 | 128.13平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板楼,6人关注 / 一年前发布,66,"5,152元/平"
兰山老城区好位置，近泰盛和谐大商圈，,中侨阳光豪庭 -隆达客运站,3室2厅 | 109.66平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,8人关注 / 一年前发布,80,"7,296元/平"
盛德桂园小高层，精装修采光好，快过二了,盛德桂园 -国际会展中心,3室2厅 | 96.81平米 | 南 | 简装 | 中楼层(共13层)  | 板楼,1人关注 / 4个月以前发布,67,"6,921元/平"
冠亚二期   精装修证过二 ，拎包入住  ，双卧朝阳,冠亚星城二期 -国际会展中心,3室2厅 | 135.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,12人关注 / 一年前发布,85,"6,255元/平"
房东急售证过二简装三室全明户型东边户,都市阳光 -沂河实验小学,3室2厅 | 95.02平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 4个月以前发布,40,"4,210元/平"
品质小区 精装带车位   诚心出售,城开东岸 -锦绣外滩,3室2厅 | 125.42平米 | 南 北 | 精装 | 低楼层(共15层)  | 平房,14人关注 / 一年前发布,136,"10,844元/平"
吾悦 128平毛坯三室 证过二 好楼层全天无遮挡 有车位,吾悦华府 -河东吾悦广场,3室2厅 | 127.7平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,136,"10,650元/平"
沂河观邸 边户全明三室 证过二 带储藏室 采光充足,沂河观邸 -锦绣外滩,3室2厅 | 111.99平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,19人关注 / 一年前发布,92,"8,216元/平"
书香尚城 一楼带院，带储藏室，带车位，钥匙房，急售,书香尚城 -工业园,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,33人关注 / 一年前发布,148,"12,033元/平"
环球香麓园四室洋房 业主诚心出售 带车位,环球香麓园 -锦绣外滩,4室2厅 | 145.85平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,8人关注 / 7个月以前发布,175,"11,999元/平"
台湾城 复式190平 证上面积95平 证过二,台灣城 -和谐广场,4室3厅 | 190平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,24人关注 / 7个月以前发布,105,"5,527元/平"
新上房源！！精装三室 带子母车位 证过二 小广场旁,冠亚星城三期 -国际会展中心,3室2厅 | 114.45平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,88,"7,689元/平"
环球掌舵东区 品质小区124平  户型方正 有车位,环球掌舵 -北城-长沙路东区,3室1厅 | 123.52平米 | 南 北 | 毛坯 | 28层  | 板塔结合,7人关注 / 5个月以前发布,155,"12,549元/平"
恒大绿洲 小两室 证过二 看房方便 诚心出售,恒大绿洲 -临沂市第三人民医院,2室2厅 | 75.85平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,4人关注 / 2个月以前发布,46,"6,065元/平"
江泉国际大三室，精装，带车位储藏室，证过二,江泉国际 -盛能游乐园,3室2厅 | 126平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,89,"7,064元/平"
慧谷多层洋房 带阁楼 精装修三室 证过二,慧谷领御 -二十四中,3室2厅 | 96.01平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,16人关注 / 6个月以前发布,85,"8,854元/平"
精装修 大三室 全明户型 带产权车位,盛世沂城 -双月湖公园,3室2厅 | 132.06平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,100,"7,573元/平"
慧谷领域，东边户，采光亮堂。河边,慧谷领御 -二十四中,3室2厅 | 108.87平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,119,"10,931元/平"
证过二 精装修大两室 好楼层 带家具家电,清华苑 -临沂市第三人民医院,2室2厅 | 100.54平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,13人关注 / 9个月以前发布,50,"4,974元/平"
高品质小区 楼层视野都很好 全天采光,恒大华府 -北城-鲁商中心,3室2厅 | 131.02平米 | 西 | 精装 | 中楼层(共32层)  | 塔楼,12人关注 / 11个月以前发布,150,"11,449元/平"
幸福小镇多层洋房 证过二带储藏室 随时看房,农房·幸福小镇 -东方城,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,38人关注 / 一年前发布,63,"6,924元/平"
恒大绿洲温馨三室南北通透边户诚心出售,恒大绿洲 -临沂市第三人民医院,3室2厅 | 102.76平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,58人关注 / 11个月以前发布,65,"6,326元/平"
德馨花园 精致3室 带地下车位 省税 诚心出售,德馨花园 -和谐广场,3室1厅 | 171.32平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,8人关注 / 一年前发布,120,"7,005元/平"
盛德桂园3室 楼层好 明厨明卫 证满二年,盛德桂园 -国际会展中心,3室1厅 | 113.9平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,65,"5,707元/平"
江泉国际二期 13楼  16层小高 视野很好 证满二,江泉国际 -盛能游乐园,3室2厅 | 128.43平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,1人关注 / 2个月以前发布,88,"6,852元/平"
锦绣御珑湾简装三室 元宝户型 公摊小 证过二 有钥匙,锦绣御珑湾B区 -火车站,3室2厅 | 118.79平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 8个月以前发布,120,"10,102元/平"
电梯洋房四室好楼层 证过二 好户型 随时看房,绣花美景华庭 -双月湖公园,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共11层)  | 塔楼,9人关注 / 6个月以前发布,119,"8,815元/平"
沂州阳光花园 多层大三室带车库 证过两年 市政供暖,沂州阳光花园 -双月湖公园,3室2厅 | 124.06平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,62.6,"5,046元/平"
开元阳光水岸 诚心出售 精装带车位  全天采光无遮挡,开元 · 阳光水岸 -二十四中,3室1厅 | 128.06平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 3个月以前发布,115,"8,981元/平"
