标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
滨江壹号连排别墅，下沉式花园，楼上三屋下跃两层。,滨江壹号 -振兴区,4室3厅 | 214.47平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 13天以前发布,105,"4,896元/平"
紫光福郡 电梯两室两厅 楼层不错,紫光福郡西区 -振安区,2室2厅 | 98.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 8天以前发布,68,"6,918元/平"
怡山风情.好楼层.采光好.随时可看.,怡山风情 -振兴区,2室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板塔结合,0人关注 / 5天以前发布,65,"6,500元/平"
元宝新村 8室1厅 南 北,元宝新村 -元宝区,8室1厅 | 121.25平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 7天以前发布,42,"3,464元/平"
锦绣华城 新上三室 户型通透规整 近万达 网红打卡地,锦绣華城 -振兴区,3室2厅 | 93.9平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 7天以前发布,60,"6,390元/平"
工业小区 步梯中层 南向 阳光好 无遮挡,工业小区 -振兴区,1室1厅 | 34.5平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 11天以前发布,13.5,"3,914元/平"
温州城三居室采光好视野开阔户型方正,金和温州城 -振兴区,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 7天以前发布,62,"5,211元/平"
吉祥佳园好楼层，采光好，价格可谈。,吉祥佳园 -振兴区,2室1厅 | 89.41平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 16天以前发布,42,"4,698元/平"
采光好，无遮挡，视野开阔，配套成熟，交通方便,四道小区 -元宝区,1室1厅 | 38平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,7.98,"2,100元/平"
三居室 适合青年人和中年人 交通购物方便,头道桥小区 -元宝区,3室1厅 | 102平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,55,"5,393元/平"
商品房满五年，客厅开间大，两个双阳卧室，采光好,林江名城 -元宝区,2室2厅 | 117.98平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,7人关注 / 一年前发布,83.8,"7,103元/平"
电梯中层 。封闭园区，临丹东市公 满5三室,福鼎花园 -振兴区,3室2厅 | 167.87平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,13人关注 / 一年前发布,120,"7,149元/平"
步梯四楼，地点好生活方便 交通便利,二街电子玩具小区 -振兴区,2室1厅 | 53平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 6天以前发布,19.8,"3,736元/平"
绿丹江苑.南区英国楼精装修南北通透5000一平,绿丹江苑南区 -振安区,2室1厅 | 70平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 30天以前发布,35,"5,000元/平"
铁城家园商品 阳光好 光线好可贷款,铁成佳园 -元宝区,2室1厅 | 86.26平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 7天以前发布,82,"9,507元/平"
滨江一号三居室精装修楼层好视野开阔,滨江壹号 -振兴区,3室2厅 | 121.55平米 | 南 北 | 简装 | 中楼层(共28层)  | 暂无数据,21人关注 / 9个月以前发布,66,"5,430元/平"
丹东市教师住宅楼 格局好 采光好,丹东市教师住宅楼 -振兴区,3室1厅 | 94.2平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 8天以前发布,50,"5,308元/平"
锦绣公馆 新上精装三室 前无遮挡 阳光哇晒 可按揭,锦绣公馆 -振兴区,3室2厅 | 120.86平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 6天以前发布,129.5,"10,715元/平"
宗裕城B区 商品房 温泉水 精装两居未住 可贷款,宗裕城B区 -元宝区,2室1厅 | 64平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,43.5,"6,797元/平"
保利锦江林语，电梯中层，两室一厅，拎包入住,保利锦江林语 -振兴区,2室1厅 | 92.47平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,8人关注 / 11个月以前发布,66,"7,138元/平"
溪山壹号 好楼层 采光格局好 支持各种贷款,恒景溪山壹号 -振安区,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,75.8,"7,360元/平"
福源小区 精装修 拎包入住 19年才装修的,福源小区 -振兴区,3室2厅 | 159.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,134.5,"8,422元/平"
精装修，交通便利，配套设施齐全。,上城·左岸 -振兴区,3室2厅 | 84.99平米 | 西南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,53,"6,237元/平"
御景苑三期此房 格局规整 阳光好无遮挡,御景苑三期 -元宝区,1室1厅 | 49.9平米 | 南 | 简装 | 低楼层(共29层)  | 塔楼,1人关注 / 1个月以前发布,14.8,"2,966元/平"
鸿润宝业步梯好楼层 通透户型 南北向,鸿润宝业家园 -元宝区,2室1厅 | 73.35平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,45,"6,135元/平"
林江名城 电梯中层 看江看河 精装修急售。,林江名城 -元宝区,2室1厅 | 76.97平米 | 东 西 | 精装 | 低楼层(共32层)  | 板楼,42人关注 / 一年前发布,45.5,"5,912元/平"
柏林大道 清水房 h格局 视野阳光无遮挡,柏林大道 -振兴区,2室2厅 | 85平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,14人关注 / 4个月以前发布,66,"7,765元/平"
房主急售，房主急售，房主急售，小区园区整洁有档次！,江景之都 -元宝区,3室2厅 | 161.05平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,136,"8,445元/平"
万达华府 新出精装二室 拎包即住 户型规整 可按揭,万达华府 -振兴区,2室1厅 | 93.62平米 | 东 西 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 7个月以前发布,86.8,"9,272元/平"
港湾小区婚房装修南北通拎包入住,表具小区 -振兴区,2室2厅 | 97.2平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,5人关注 / 1个月以前发布,42,"4,321元/平"
元宝山旁边 步梯二楼 阳光好 通透户型,天后四中家属楼 -元宝区,2室1厅 | 62平米 | 东 西 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,20,"3,226元/平"
紫光福郡东区 阳光好 格局好 配套好 此房吱吱板正,紫光福郡东区 -振安区,2室2厅 | 104.68平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,66,"6,305元/平"
站前- 步梯3楼 二室 简单装修 可贷款,一街社区 -振兴区,2室1厅 | 56.07平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,29.5,"5,262元/平"
万达二期 电梯高层非顶 无遮挡 采光充足 精装三室,万达华府 -振兴区,3室2厅 | 111平米 | 东 西 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 8天以前发布,98,"8,829元/平"
首付1-2万绸二新区南区 电梯中层 阳光好 可贷款,绸二新区南区 -元宝区,1室1厅 | 52平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,0人关注 / 7天以前发布,21.8,"4,193元/平"
新港小区步梯房，可贷款，，拎包即住,新港小区 -振兴区,2室1厅 | 81.81平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,40,"4,890元/平"
谊江佳园  屋内宽敞明亮 商品房 南北通透 精装修,谊江佳园 -振兴区,3室2厅 | 124.07平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,115,"9,269元/平"
优山美地东区，87.5平，商品私产50万,优山美地东区 -元宝区,2室1厅 | 87.5平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 15天以前发布,49,"5,600元/平"
九江公寓步梯6楼 63平 33万 私产,九江公寓 -元宝区,2室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,33,"5,239元/平"
东皇国际城 步梯5层 精装修 装好没怎么住 婚房装修,东皇国际城-菊香溪谷C-1区 -振兴区,2室1厅 | 98平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,58,"5,919元/平"
林江名城，精装修，适合婚房养老,林江名城 -元宝区,3室2厅 | 160.25平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,10人关注 / 8个月以前发布,107,"6,678元/平"
绿云嘉园 前排 正规三居室 有房照可贷款,绿云嘉园 -振安区,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,60,"6,000元/平"
此房位置好 商店 女人街商圈 华润万家 宝山批发城,美伦小区 -元宝区,1室1厅 | 40平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 11个月以前发布,10,"2,500元/平"
林江名城电梯中层，采光好，精装修，随时看房！,林江名城 -元宝区,2室1厅 | 61.97平米 | 西南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 9天以前发布,39.8,"6,423元/平"
欧尚广场 2室1厅 东 西,欧尚广场 -振安区,2室1厅 | 86.54平米 | 东 西 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 6天以前发布,56,"6,471元/平"
立交新区 通透户型  简单装修  看房方便,立交新区 -振兴区,2室2厅 | 82.3平米 | 东 西 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 7天以前发布,42.5,"5,165元/平"
财专小区 步梯2层 南北通透两居  可贷款前后无遮挡,财专小区 -振安区,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,26,"4,643元/平"
金海新村 2室1厅 南,金海新村 -元宝区,2室1厅 | 57平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 14天以前发布,30,"5,264元/平"
林江名城总价低，电梯中高层，采光好，精装修。,林江名城 -元宝区,2室1厅 | 62平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 4天以前发布,33.5,"5,404元/平"
商品房 清花园 可以贷款 精装修 拎包入住,清花园小区 -振兴区,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 4天以前发布,51.8,"5,821元/平"
万达华府 新上精装二室 拎包即住 可按揭,万达华府 -振兴区,2室1厅 | 94.5平米 | 东 西 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6天以前发布,82,"8,678元/平"
龙泉·揽山园 2室1厅 南 北,龙泉·揽山园 -振兴区,2室1厅 | 82平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 5天以前发布,79,"9,635元/平"
九江公寓 2室1厅 南,九江公寓 -元宝区,2室1厅 | 69平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 2天以前发布,49,"7,102元/平"
宗裕城B区 2室1厅 南 北,宗裕城B区 -元宝区,2室1厅 | 84.44平米 | 南 北 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 15天以前发布,53.5,"6,336元/平"
香海花园，步梯二楼，东西通透，看房方便,香海花园 -振兴区,3室2厅 | 112.5平米 | 东 西 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,62,"5,512元/平"
宗裕城B区 2室2厅 南 北,宗裕城B区 -元宝区,2室2厅 | 80.14平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,50,"6,240元/平"
金海永安花园 二室一厅一卫 阳光好 格局好,金海永安花园 -元宝区,2室1厅 | 65.52平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,15人关注 / 7个月以前发布,35,"5,342元/平"
步梯二楼 可以贷款 南北通透 公摊小,阳光小区 -振兴区,2室2厅 | 69.37平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,28,"4,037元/平"
电梯中层 阳光好 无遮挡 出行便利。,丹建新时代B区 -振安区,2室2厅 | 95.4平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,65,"6,814元/平"
九江丽都电梯商品 阳光充足 看房方便 业主急售,九江丽都 -元宝区,2室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,91.5,"9,337元/平"
金海宝山新城 一室一厅一卫 阳光好 格局好 前后无遮挡,金海寶山新城 -元宝区,1室1厅 | 49.84平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,1人关注 / 8个月以前发布,20,"4,013元/平"
工业小区步梯四楼，简单装修，可贷款,工业小区 -振兴区,2室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,28,"4,445元/平"
山水龙城前排商品，精装修，三楼，格局板正,山水龙城 -元宝区,2室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,56,"6,087元/平"
城市俪景 1室1厅 南,城市俪景 -振兴区,1室1厅 | 45平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,20,"4,445元/平"
