标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
嘉荟新城 小高层洋房 精装3房 拎包入住 楼栋位置好,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 92.9平米 | 南 | 精装 | 高楼层(共18层)  | 平房,0人关注 / 24天以前发布,66.8,"7,191元/平"
凤熹台3房2卫，精装装拎包入住。,凤熹台 -丹阳华南商圈,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,2人关注 / 1个月以前发布,129.8,"11,287元/平"
吾悦华府 豪 装 3房2卫双阳台 拎包入住153.8万,吾悦华府 -丹阳开发区商圈,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,153.8,"11,564元/平"
幸福小区 95平 精装修 未入住 带大院子,幸福小区 -丹阳开发区商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,83.6,"8,800元/平"
碧桂园樾府边户 三开间朝南双阳台 无遮挡满两年92.8万,碧桂园·樾府 -丹阳华南商圈,3室1厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 2个月以前发布,92.8,"8,070元/平"
房东急售 上善雅苑 19楼 82平两居室 楼层好 新装修,上善雅苑 -丹阳华南商圈,2室1厅 | 82.17平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,88.8,"10,807元/平"
业主精心装修，诚心出售，大院子采光好，拎包入住,萬善園二村 -丹阳华南商圈,3室1厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,88.8,"9,867元/平"
凤凰郡 婚装 3房1卫 客厅宽敞居住舒适 宽阳台有钥匙,凤凰郡 -丹阳华南商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,126,"10,957元/平"
幸福小区 95平 新精装 未住人 低楼层 满两年,幸福小区 -丹阳开发区商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,86,"9,053元/平"
凤凰新村70平两室一卫 精装修 房东诚售50.8w 价格实惠,凤凰新村 -丹阳城区商圈,2室2厅 | 70平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,49.8,"7,115元/平"
好房只等有缘人 海会新村 两室 精装 采光刺眼,海会新村 -丹阳城区商圈,2室2厅 | 50平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,40.8,"8,160元/平"
万善园一村2楼 全新装修 全屋空调 全屋定制家具,万善园二村东区（万善园） -丹阳华南商圈,2室2厅 | 76平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,71,"9,343元/平"
凤熹台3-2-1-2 123.72m² 121.8 万,凤熹台 -丹阳华南商圈,3室2厅 | 123.72平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 10个月以前发布,117.8,"9,522元/平"
小区旁边步行五百米就是省丹中、人民医院，,宜和A区 -丹阳城区商圈,1室1厅 | 51平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,6人关注 / 一年前发布,42,"8,236元/平"
国骅天波 电梯复式  毛坯 楼栋位置佳 随心装,国骅天波 -丹阳开发区商圈,4室2厅 | 193平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 塔楼,0人关注 / 5天以前发布,118,"6,114元/平"
