标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
市区宝山路 半山湾畔 独栋别墅 带院子 可做会所居住,半山湾畔 -文化宫,5室2厅 | 251.11平米 | 西南 | 简装 | 低楼层(共2层)  | 暂无数据,17人关注 / 一年前发布,350,"13,939元/平"
5200沙区新北园春市场消防局家属院 电梯3层精装复式,消防局家属院 -儿童村,5室5厅 | 498平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,25人关注 / 一年前发布,249,"5,000元/平"
得锦花园小区 4室1厅 南 北,得锦花园小区 -友好,4室1厅 | 117.3平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 8天以前发布,84,"7,162元/平"
宜品家春秋91平奢华精装三居室近高铁友好实用经典户型,宜品家春秋 -油运司,3室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 8个月以前发布,79.8,"8,770元/平"
荷兰小镇一期 3室2厅 南 北,荷兰小镇一期 -天汇汽车城,3室2厅 | 91.45平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,57,"6,233元/平"
精装三室婚房 南北通透 标准户型,依山雅居小区 -西山,3室2厅 | 88.12平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,32人关注 / 一年前发布,50,"5,675元/平"
铁路局县医院旁125㎡，3楼南北通透,河南东路南二巷48号 -铁路局,3室2厅 | 125.3平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,18人关注 / 一年前发布,78,"6,226元/平"
世纪茗苑 3室2厅 南,世纪茗苑 -木材厂,3室2厅 | 95.45平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,76.5,"8,015元/平"
南湖广场 106平米 南北通透 标户 3室 72万,聚博源小区 -南湖广场,3室2厅 | 106.21平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 5个月以前发布,72,"6,780元/平"
安逸生活垄上阳光213平住宅墅清水带80㎡小院5500一平,垄上阳光 -西山,4室2厅 | 213.68平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,13人关注 / 10个月以前发布,99,"4,634元/平"
新市区 鲤鱼山路花田小镇赛博特旁御园公馆精装复式楼,御园公馆 -美居,3室2厅 | 164平米 | 东 西 | 精装 | 低楼层(共19层)  | 板楼,6人关注 / 8个月以前发布,90,"5,488元/平"
万科金域华府精装修三室中间楼层有车位单独出售,万科金域华府Ⅱ期 -长春路,3室1厅 | 104.18平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,3人关注 / 5个月以前发布,115,"11,039元/平"
高新万达长春路旁精装房户型采光好,博学院状元书香门第 -高新万达,3室2厅 | 124.89平米 | 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,4人关注 / 5个月以前发布,138,"11,050元/平"
马德里春天紧凑三室高楼层好房出售,马德里春天小区 -木材厂,3室2厅 | 102.38平米 | 南 北 | 简装 | 高楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,83,"8,108元/平"
房子在顶楼，采光好，视野开阔适宜居住。,新金原小区南区 -小西沟,2室1厅 | 60.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,47,"7,779元/平"
采光好，视野好，楼层好，交通出行便利,双宇博格达城 -天汇汽车城,3室2厅 | 146.16平米 | 南 | 毛坯 | 高楼层(共10层)  | 塔楼,4人关注 / 一年前发布,79.8,"5,460元/平"
马德里春天精装电梯入户3室南北通透拎包入住带地下室,马德里春天小区 -木材厂,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,103,"9,116元/平"
晋达花园小区 一楼三室 精装修 拎包即住 随时看房,晋达花园小区 -西山,3室2厅 | 94.39平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,7人关注 / 5个月以前发布,58,"6,145元/平"
西外环   昊元上品  马德里春天,马德里春天小区 -木材厂,3室2厅 | 102.24平米 | 南 北 | 简装 | 中楼层(共24层)  | 板塔结合,5人关注 / 6个月以前发布,83,"8,119元/平"
青年路日光小区三室两厅南北朝向采光好人车分流,日光小区 -青年路,3室2厅 | 114.4平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 6个月以前发布,61.99,"5,419元/平"
此房满五年，户型方正没有浪费面积，院子有绿化大正,7438家属院 -未知商圈,2室2厅 | 100.34平米 | 东 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,63,"6,279元/平"
天山区青年路06年地暖百信蓝波湾3-2-1-1,百信蓝波湾 -天山区,3室2厅 | 113.15平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,82,"7,248元/平"
高铁片区经开万达华府三室两厅房屋便宜出售,万达华府三期 -经开万达,3室2厅 | 120.28平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,138,"11,474元/平"
新市区 天津北路 嘉华园 3室2厅,嘉华园 -长春路,3室2厅 | 132.05平米 | 北 | 简装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,77,"5,832元/平"
米东三期全新精装修的三室两厅两卫，拎包入住,米东新城三期 -天汇汽车城,3室2厅 | 129.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,67.8,"5,254元/平"
铁路局电梯一梯两户南北通透婚房装修三室两厅一卫,新疆轻工职业技术学院家属院 -铁路局,3室2厅 | 119.78平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 6个月以前发布,118,"9,852元/平"
精装地暖落地窗青年路碱泉街优诗美地二期南北三室,优诗美地二期 -青年路,3室2厅 | 93.67平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 7个月以前发布,93,"9,929元/平"
苏州花园一期 2室2厅 南,苏州花园一期 -美居,2室2厅 | 85平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,56,"6,589元/平"
云岭翠谷 5室3厅 南 北,云岭翠谷 -经开万达,5室3厅 | 170平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,270,"15,883元/平"
兵团第二干休所家属院 3室1厅 南 北,兵团第二干休所家属院 -文化宫,3室1厅 | 105.33平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,82,"7,786元/平"
气象卫星站住宅楼 3室1厅 东 南,气象卫星站住宅楼 -未知商圈,3室1厅 | 121平米 | 东 南 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 4天以前发布,155,"12,810元/平"
和田地区医院干休所 2室2厅 南 北,和田地区医院干休所 -德港万达,2室2厅 | 93.4平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,71,"7,602元/平"
光明路北小区 3室2厅 南 北,光明路北小区 -北门,3室2厅 | 102.26平米 | 南 北 | 其他 | 中楼层(共7层)  | 平房,0人关注 / 6天以前发布,399,"39,019元/平"
格局较好，楼层好，视野开阔，采光,光华路五巷2号 -人民广场,2室1厅 | 58.3平米 | 西 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,87,"14,923元/平"
地矿一水，文博，56，华兵，赛博特，御园世家,地矿一水小区 -美居,2室2厅 | 94.2平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,2人关注 / 8个月以前发布,82,"8,705元/平"
