标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
装修一天没住 税费少 楼层好  刚需必看,怡和苑二期 -万达,2室1厅 | 62.68平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,38,"6,063元/平"
恒大江湾旁精装修三房，总价低，业主诚心出售,望江天悦 -开发区,3室2厅 | 88.5平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,1人关注 / 13天以前发布,50,"5,650元/平"
满五唯一阳光好 楼层好 出行方便 朝南户型 总价少,状元楼 -甘棠公园,2室1厅 | 73.66平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,47.5,"6,449元/平"
柴桑春天 一楼带大院子 带地下室 洋房品质 别墅享受,新湖柴桑春天一区 -快乐城,4室2厅 | 150平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 24天以前发布,200,"13,334元/平"
九方。快乐城。大润发。鹤湖。交通方便,新湖·柴桑春天三区 -快乐城,4室2厅 | 91.45平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,119,"13,013元/平"
房子户型方正，适合学生家长居住陪读,新湖·柴桑春天三区 -快乐城,2室2厅 | 91.27平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,105,"11,505元/平"
一楼带院子可以种菜 湖滨商圈 大润发旁边满五唯一,地质大院 -甘棠公园,2室2厅 | 69.68平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 9天以前发布,52,"7,463元/平"
格局好，阳光好，满2年，小区环境好,柴桑春天二区 -快乐城,1室1厅 | 59.83平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,73.8,"12,335元/平"
新湖庐山国际东边户4房 楼层好采光好车位,新湖庐山国际 -万达,4室2厅 | 136.18平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,143,"10,501元/平"
柴桑春天三区 正规三房 加小书房 南北双阳台,新湖·柴桑春天三区 -快乐城,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,0人关注 / 9天以前发布,135,"12,273元/平"
九方旁跃层结构小三房带花园拎包入住产证满五年唯一,水木清华 -十里,3室2厅 | 105.04平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,65,"6,189元/平"
带一个车位 正规4房 楼层好 视野好,新湖庐山国际 -万达,4室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,145,"10,662元/平"
新湖柴桑春天三区 正规小三房 带电梯楼层好,新湖·柴桑春天三区 -快乐城,3室2厅 | 89.82平米 | 东 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 23天以前发布,109,"12,136元/平"
带阳光房 东边户 洋房好楼层 出门就是万达广场,远洲·九悦廷 -万达,3室2厅 | 108.41平米 | 北 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,137,"12,638元/平"
南北通透 洋房公摊小 自带商圈 快乐城九方 鹤湖边上,新湖·柴桑春天三区 -快乐城,2室1厅 | 84.6平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,96.8,"11,443元/平"
房东诚心出售，拎包入住，满五年,远洲·九悦廷 -万达,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 21天以前发布,66,"8,250元/平"
户型方正，小区配套设施齐全，交通出行方便,万达华府F区 -万达,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 26天以前发布,84,"8,236元/平"
万达商圈，新湖.庐山国际120平米，电梯洋房诚售,新湖庐山国际 -万达,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,15人关注 / 6个月以前发布,138,"11,500元/平"
"九悦廷毛坯房,前后双阳台,可利用面积多,诚心出售",远洲·九悦廷 -万达,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,149,"12,214元/平"
经典大三房，长阳台 楼栋位置好 好楼层 有车位,新湖庐山国际 -万达,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,150,"12,397元/平"
九方商圈  快乐城商圈  房东诚心出售,新湖·柴桑春天三区 -快乐城,3室2厅 | 113.46平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,118,"10,401元/平"
远洲九悦廷小区 复式洋房 阳光无遮挡,远洲·九悦廷 -万达,3室2厅 | 110.9平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 10个月以前发布,137,"12,354元/平"
通透格局，动静分区，视野开阔，南看庐山。,万达华府F区 -万达,3室2厅 | 128.91平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,115.8,"8,984元/平"
