标题,开发商,房子信息,发布信息,售价/万,单价
信业阳光城檀悦 4室2厅 南 北,信业阳光城檀悦 -绿岛湖,4室2厅 | 132.88平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 6天以前发布,200,"15,052元/平"
中海万锦公馆 中海品质 中高楼层 采光好 环境优雅,中海万锦公馆 -伦教,3室2厅 | 118.01平米 | 东南 | 精装 | 中楼层(共32层) | 2019年建 | 塔楼,0人关注 / 5天以前发布,188,"15,931元/平"
西樵城区，位置靓，实用高，刚需好房,江浦西路73号 -西樵,3室2厅 | 84.95平米 | 东南 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,46,"5,415元/平"
此房户型方正 全新未入住 小区环境优美 业主置业广州,保利紫滨公馆 -里水,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共24层) | 2016年建 | 板塔结合,0人关注 / 2天以前发布,168,"18,261元/平"
泷景三期视野开阔可望江对流户型业主诚意出售,泷景三期 -澜石,3室2厅 | 110.73平米 | 南 | 精装 | 中楼层(共37层)  | 板塔结合,0人关注 / 8天以前发布,215,"19,417元/平"
证税满二 采光好 户型方正实用,时代南湾 -北江新区,3室2厅 | 94.15平米 | 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,81,"8,604元/平"
雅居乐买房子带车位，已满五年税费低，看花园安静舒适,顺德雅居乐花园 -大良南区,3室2厅 | 106.32平米 | 西 | 精装 | 25层 | 2011年建 | 塔楼,0人关注 / 7天以前发布,180,"16,931元/平"
满五房源，，南向高层望湖单位，视野，采光好,依云曦城花苑 -狮山,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 16天以前发布,236,"18,880元/平"
万科金色城市，南向望花园，视野开阔，光线通风好,万科金色城市 -桂城,3室2厅 | 88.69平米 | 南 | 精装 | 中楼层(共35层) | 2018年建 | 板塔结合,0人关注 / 8天以前发布,205,"23,115元/平"
江边洋房 品牌小区 南向3房 楼层好 采光好 保养新,三水雅居乐花园 -西南街道,3室2厅 | 95.3平米 | 南 | 精装 | 中楼层(共26层) | 2012年建 | 板塔结合,0人关注 / 11天以前发布,87,"9,130元/平"
"采光通风好,业主换大屋,诚意出售",颐澳领地 -勒流,4室1厅 | 120.24平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 8天以前发布,130,"10,812元/平"
海琴水岸 双地铁 近公园 小区绿化好 满五年唯一免个税,海琴水岸御水湾 -北滘,3室2厅 | 156.12平米 | 西南 西北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 5天以前发布,269,"17,231元/平"
天佑城旁新小区 龙光水悦熙园精装3房2卫出售 拎包入住,龙光水悦熙园 -容桂,3室2厅 | 89.19平米 | 东北 | 精装 | 中楼层(共32层) | 2017年建 | 塔楼,0人关注 / 1个月以前发布,126,"14,128元/平"
