标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
金品时代 品质社区 全阳大三居 业主急售 看房方便,金品时代 -涿州,3室2厅 | 122平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,140,"11,476元/平"
涿州市中央公馆洋房一梯两户精装修大平米四居室,中央公馆 -涿州,4室2厅 | 169.91平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 2个月以前发布,193,"11,359元/平"
南北两居，中间楼层，全明格局！精致装修,云景城 -涿州,2室1厅 | 94.7平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4天以前发布,63,"6,653元/平"
高品质社区 南北通透房子，视野开阔，采光很好,君临天下御景园 -涿州,3室1厅 | 148平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 13天以前发布,179,"12,095元/平"
三义 双塔  教育 全南三居室 明厨明卫精装修 拎包入住,天保郦景 -涿州,3室1厅 | 91.53平米 | 东南 | 精装 | 中楼层(共21层)  | 塔楼,0人关注 / 9天以前发布,66,"7,211元/平"
真正的优质房 香溪溪谷典藏4居室含车位、地下室,香邑溪谷上园 -涿州,4室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共30层)  | 板塔结合,2人关注 / 11天以前发布,108,"8,926元/平"
南北通透精装修 带小院70多平  满二 业主急售价钱可谈,鸿坤理想湾北区 -涿州,3室1厅 | 91.53平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,3人关注 / 3个月以前发布,135,"14,750元/平"
楼栋好，位置佳，多多带看把。想快点卖,K2狮子城北区 -涿州,3室1厅 | 94.37平米 | 南 北 | 毛坯 | 24层  | 板塔结合,23人关注 / 一年前发布,80,"8,478元/平"
70年大产权，  南北通透，中间楼层，采光好无遮挡,K2狮子城北区 -涿州,3室2厅 | 93.55平米 | 南 北 | 毛坯 | 24层  | 板塔结合,1人关注 / 一年前发布,80,"8,552元/平"
此房满五唯一、南北通透户型好、中间楼层、视野开阔,宏远景园 -涿州,2室2厅 | 92.79平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,68,"7,329元/平"
德信公园旁 板楼一层 南北3居室，集中供暖,名流枫景五期 -涿州,3室1厅 | 110.59平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,85,"7,687元/平"
理想湾电梯洋房，一梯两户，满二，随时过户,鸿坤理想湾南区 -涿州,3室2厅 | 132.83平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,155,"11,670元/平"
范阳路 金品时代 南北通透3居室 带车位 带地下室 满二,金品时代 -涿州,3室2厅 | 142.15平米 | 南 北 | 毛坯 | 18层  | 板塔结合,1人关注 / 6天以前发布,180,"12,663元/平"
涿州唯一欧式风格建筑大社区，异国风情，小区环境好,鸿盛凯旋门 -涿州,1室1厅 | 60平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 28天以前发布,42,"7,000元/平"
鸿坤理想湾北区全朝阳小三居，可贷款，房主诚意出售。,鸿坤理想湾北区 -涿州,3室1厅 | 92平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 23天以前发布,69,"7,500元/平"
三阳开泰户型，有小房和车库 房本满五 老式精装修,欣欣庄园 -涿州,3室1厅 | 120平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 16天以前发布,79,"6,584元/平"
德信公园旁 新板楼三居 集中供暖 带装修,名流枫景五期 -涿州,3室1厅 | 111平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,68,"6,127元/平"
开发区 君临天下御景园 南北三居室,君临天下御景园 -涿州,3室2厅 | 144平米 | 南 北 | 简装 | 中楼层(共20层)  | 板楼,1人关注 / 24天以前发布,175,"12,153元/平"
户型动静分离，位置好，品质高，出门就是德信公园,名流枫景洋房 -涿州,3室2厅 | 132.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,96,"7,243元/平"
蓝天美林湾 3室2厅 南 北,蓝天美林湾 -涿州,3室2厅 | 114.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,85,"7,403元/平"
金竹花园 3室2厅 南 北,金竹花园 -涿州,3室2厅 | 161平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,1人关注 / 12天以前发布,160,"9,938元/平"
满五唯一，户型通透，业主诚心出售，中装,水岸花城 -涿州,2室2厅 | 93.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,54,"5,786元/平"
香邑溪谷 3室1厅 南 北,香邑溪谷 -涿州,3室1厅 | 96.03平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,80,"8,331元/平"
精装修 满二  高楼层 视野好,香邑溪谷 -涿州,2室1厅 | 93.17平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 10天以前发布,68,"7,299元/平"
房子户型好属于三阳开泰纯南户型 全天采光好,翡翠城 -涿州,2室1厅 | 95.15平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,3人关注 / 4个月以前发布,61,"6,411元/平"
南关区 板楼中间层 南北2居 证满五 带地下室,金冠家园 -涿州,2室2厅 | 95.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,72,"7,548元/平"
香港豪庭 2室1厅 南,香港豪庭 -涿州,2室1厅 | 86.79平米 | 南 | 简装 | 17层  | 塔楼,1人关注 / 1个月以前发布,63,"7,259元/平"
房本满二 户型方正 总价低 没有尾款,天保郦景 -涿州,1室1厅 | 51.19平米 | 西 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 11个月以前发布,28,"5,470元/平"
汇元新天地 2室2厅 西,汇元新天地 -涿州,2室2厅 | 100.37平米 | 西 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,70,"6,975元/平"
高楼层出行方便 精装修 纯南向两居室 看房方便 满两年,香邑溪谷 -涿州,2室2厅 | 90.48平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,71,"7,848元/平"
欣欣庄园小区 南北通透大三居  好楼层 房本满五,欣欣庄园 -涿州,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9天以前发布,75,"6,250元/平"
南北通透三居室  有房本高楼层 视野宽阔采光好,香邑溪谷悦都小区 -涿州,3室1厅 | 106.89平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 9天以前发布,90,"8,420元/平"
一中家属院物业好采光好！南北通透通风好，房本满五,一中家属院 -涿州,2室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,46,"4,467元/平"
精装修   南北通透户型   两居室   有阁楼,银都花园 -涿州,2室2厅 | 95.21平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 1个月以前发布,62,"6,512元/平"
花园式社区，鸿盛凯旋门精装三居室，2梯3户。,鸿盛凯旋门 -涿州,3室2厅 | 113.04平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,89.8,"7,945元/平"
御景园品质社区，商圈好房，环境好，购物方便,君临天下御景园 -涿州,3室2厅 | 119.62平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,130,"10,868元/平"
涿州金冠家园南北通透带露台复式一梯两户视野采光好,金冠家园 -涿州,3室3厅 | 157.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,91,"5,764元/平"
南北通透，大四居，集体供暖，一层一户,双塔信用社家属院 -涿州,4室2厅 | 174平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,22人关注 / 8个月以前发布,90,"5,173元/平"
户型方正，采光充足，交通便利 生活配套齐全,银都花园 -涿州,4室2厅 | 203.68平米 | 南 北 | 简装 | 2层  | 板楼 | 独栋别墅 ,0人关注 / 3个月以前发布,300,"14,729元/平"
范阳路838站旁，南北大三居，中间楼层，品质社区,金品时代 -涿州,3室2厅 | 143平米 | 南 北 | 毛坯 | 18层  | 板塔结合,12人关注 / 一年前发布,175,"12,238元/平"
"二康医院核 心版块，出门就是就是范阳路,易自住养老。",联合小区二号院 -涿州,4室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 8个月以前发布,95,"7,038元/平"
一梯一户，南北通透大四居，政法街地段,审计局小区 -涿州,4室2厅 | 189平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,168,"8,889元/平"
此房房本满二年，税少 小区环境优美,鸿盛凯旋门 -涿州,1室1厅 | 55平米 | 东 北 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 26天以前发布,33,"6,000元/平"
钻石广场  南向两居 业主诚意出售,钻石广场 -涿州,2室1厅 | 93.78平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 21天以前发布,85,"9,064元/平"
牛津花园 南向 两居室 采光好 视野 开阔无遮挡,鹏渤印象城牛津花园 -涿州,2室1厅 | 76平米 | 南 | 毛坯 | 23层  | 板塔结合,0人关注 / 17天以前发布,54,"7,106元/平"
精装修南向两居室 采光好 视野开阔 有房本满两年,翡翠城 -涿州,2室1厅 | 94.77平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 25天以前发布,59.8,"6,311元/平"
南北两居，采光好，园林式绿化，封闭管理，交通便利,鸿盛凯旋门 -涿州,2室2厅 | 99.93平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,7人关注 / 一年前发布,79,"7,906元/平"
金品时代，满二，毛坯房，全南三居，采光好，视野好,金品时代 -涿州,3室2厅 | 116平米 | 南 | 毛坯 | 17层  | 板塔结合,0人关注 / 1个月以前发布,140,"12,069元/平"
