标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
三岔口 电梯 阳光 套三 环境好 停车方便,西昌市第六中学校教师保障性住房 -三岔口片区,3室2厅 | 107.71平米 | 东南 西南 | 其他 | 低楼层(共17层)  | 平房,0人关注 / 1个月以前发布,99.8,"9,266元/平"
沃尔玛片区优质套3出售，房东急售,康达花园 -城南片区,3室2厅 | 117.6平米 | 东 | 精装 | 中楼层(共7层)  | 塔楼,3人关注 / 3个月以前发布,80,"6,803元/平"
火把广场电梯套三双卫采光好视野开阔,荣昌小区二区 -三岔口片区,3室2厅 | 111.06平米 | 东 | 其他 | 11层  | 塔楼,9人关注 / 8个月以前发布,99,"8,915元/平"
房子精装修，采光好，楼层好。环境好。,南山国际社区 -城南片区,3室2厅 | 70.16平米 | 南 西 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,85.8,"12,230元/平"
环境优美  精装套三  交通方便,林业规划设计院 -长安片区,3室2厅 | 69.3平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 2个月以前发布,56,"8,081元/平"
房子方正，现在是二层楼，套五的,西昌•中迪国际 -城南片区,5室2厅 | 81.96平米 | 东 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,90,"10,981元/平"
火把广场旁电梯精装套三双卫带品牌家具家电急售,金地丽都 -三岔口片区,3室2厅 | 115.01平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,124.8,"10,852元/平"
楼层好，格局好，户型方正，采光好，套三双卫使用面积,合信邛海湾B区 -三岔口片区,3室2厅 | 76.14平米 | 东南 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 1天以前发布,85,"11,164元/平"
西部新城精装套三，户型方正，采光通风好，拎包入住,攀西春天 -西部新城片区,3室2厅 | 103.44平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2天以前发布,95,"9,185元/平"
此房楼层好，户型方正小区人文素质高。配套成熟。,月城丽景 -长安片区,4室2厅 | 130平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,109,"8,385元/平"
花园城一期/正正朝南/套三双卫上新,邦泰花园城 -西部新城片区,3室2厅 | 73.86平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 13天以前发布,88.6,"11,996元/平"
北关好房出售，免费停车，交通方便，南北朝向,会理县人民医院家属楼 -会理县,3室2厅 | 105.61平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 12天以前发布,47,"4,451元/平"
房子采光好，朝小区中庭，小区环境不错。,正黄金色学府 -西部新城片区,3室2厅 | 81.34平米 | 南 | 毛坯 | 低楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,73,"8,975元/平"
西客站悦汇广场旁，小高层电梯房，出行方便，交通便利,月城丽景 -长安片区,3室1厅 | 83.3平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,76.8,"9,220元/平"
紫薇星座精装修 采光好 南北朝向，户型方正，明厨明卫,紫薇星座 -市中心片区,1室1厅 | 57.62平米 | 西南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 6天以前发布,45.6,"7,914元/平"
橄榄花园 3室2厅 南,橄榄花园 -长安片区,3室2厅 | 123.54平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 4天以前发布,89,"7,205元/平"
房子精装修，简洁大方，家具家电齐全，可以拎包入住,航天阳光 -长安片区,3室2厅 | 96.21平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,86,"8,939元/平"
东部套三 诚心出售 精装修  高楼层,布衣闲庭 -三岔口片区,3室2厅 | 123平米 | 西 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,126,"10,244元/平"
：此房是跃层，精装修大套四，带车位出售。,昭觉住西昌第一干休所 -三岔口片区,5室2厅 | 140.16平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,170,"12,129元/平"
外滩十六区，精装套四，带车位出售，朝中庭，,外滩16区 -城南片区,4室2厅 | 134.48平米 | 东 | 其他 | 中楼层(共14层)  | 塔楼,1人关注 / 16天以前发布,138,"10,262元/平"
文汇路繁华地段出行方便 户型方正地段好产权清晰,二八一小区 -市中心片区,2室1厅 | 66.28平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,51,"7,695元/平"
火把广场带花园好房出售。房东急售。,点园小区 -城南片区,3室2厅 | 110平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,95,"8,637元/平"
商圈成熟，生活方便，小户型，居住,鹭洲·威尼斯半岛 -三岔口片区,2室1厅 | 69.3平米 | 东 | 精装 | 低楼层(共20层)  | 塔楼,0人关注 / 3天以前发布,79.8,"11,516元/平"
市区 精装套三好房  业主诚心出售,西昌家园 -老城片区,3室2厅 | 107.81平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 30天以前发布,76,"7,050元/平"
视野好，房东诚心出售，有钥匙，随时可看。,水厂小区 -老城片区,2室2厅 | 95.84平米 | 东 西 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 19天以前发布,60,"6,261元/平"
静动布局.大客厅.大阳台  ...,金色学府天骄 -西部新城片区,3室2厅 | 96.86平米 | 东 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 27天以前发布,74,"7,640元/平"
水岸国际花城B区，电梯跃层，朝东南，视野开阔无遮挡,水岸国际花城B区 -市中心片区,2室2厅 | 40.09平米 | 东南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,45.3,"11,300元/平"
中间楼层   采光好  视野广   无遮挡  装修保持好,公園2018 -三岔口片区,2室2厅 | 78.29平米 | 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,85,"10,858元/平"
长安片区兴景苑温馨套2 房东诚心出售,兴景苑 -长安片区,2室2厅 | 77.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,61.5,"7,936元/平"
海河天街，精装套三，家具家电齐全拧包入住,月城公寓一区 -城南片区,3室2厅 | 91平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,79.8,"8,770元/平"
火把广场旁，阳光宁远片区，带80多平米的大平台,碧海蓝天 -城南片区,5室2厅 | 114.03平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 13天以前发布,168,"14,733元/平"
此房精装修，家具家电齐，采光好，拎包入住.6666,阳光路苑三期 -城南片区,3室2厅 | 88平米 | 西南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,68,"7,728元/平"
此房视野宽阔，采光充足，配套设施齐全，交通便利,馨苑 -长安片区,2室2厅 | 82.24平米 | 东 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,54,"6,567元/平"
合信邛海湾B区 3室2厅 西北,合信邛海湾B区 -三岔口片区,3室2厅 | 66.8平米 | 西北 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,98.8,"14,791元/平"
此房为清水房三室两厅一厨两卫。,合信邛海湾B区 -三岔口片区,3室2厅 | 78平米 | 东南 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 一年前发布,87.8,"11,257元/平"
海河 全新精装 拧包入 钥匙在手 随时看房,月城公寓一区 -城南片区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 7个月以前发布,108.8,"8,370元/平"
湿地公园旁 万达广场旁套三双卫诚心出售,合信邛海湾B区 -三岔口片区,3室2厅 | 77.73平米 | 东 | 毛坯 | 高楼层(共20层)  | 板楼,1人关注 / 一年前发布,91.8,"11,811元/平"
三楼南北通透，户型方正，房屋保养好未占户籍。,老法院家属院 -会理县,3室2厅 | 115.51平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 9个月以前发布,66,"5,714元/平"
西昌 阳光路苑B区  套三双卫 出售,西昌阳光路苑B区 -城南片区,3室2厅 | 99.8平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,53.6,"5,371元/平"
