标题,开发商,房子信息,发布信息,售价/万,单价
艺苑西里 正规三居 满五唯一 无抵押无贷款 看房方便,艺苑西里 -果园,3室1厅 | 109.53平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,6人关注 / 2个月以前发布,378,"34,512元/平"
（店长推荐）西南四环边 御景春天 超大面积 经典两居,御景春天A区 -科技园区,2室2厅 | 92.77平米 | 南 东 | 简装 | 低楼层(共25层) | 2011年建 | 塔楼,45人关注 / 1个月以前发布,426,"45,921元/平"
长城国际东向小户型，随时可看，业主诚心出售,长城国际 -通州北苑,1室1厅 | 48.52平米 | 东 西 | 精装 | 20层 | 2009年建 | 塔楼,51人关注 / 2个月以前发布,175,"36,068元/平"
长阳半岛祥云街4号院三居室，业主诚心出售,长阳半岛4号院 -长阳,3室1厅 | 104.62平米 | 东南 北 | 精装 | 17层 | 2012年建 | 板塔结合,12人关注 / 4个月以前发布,489,"46,741元/平"
龙跃苑二区    中间位置  三居两卫   商品房,龙跃苑二区 -回龙观,3室1厅 | 135.01平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 7天以前发布,616,"45,627元/平"
新街口 低楼层 南北通透三居室,如意里 -新街口,3室1厅 | 73.4平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 7天以前发布,968,"131,881元/平"
运河河畔运乔嘉园板楼三居两卫居住舒适,运乔嘉园 -乔庄,3室2厅 | 114.71平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,1人关注 / 7天以前发布,480,"41,845元/平"
西四带电梯，满五年成本价，视野开阔，方便看房有钥匙,西四北大街160号 -西四,3室1厅 | 71平米 | 东 西 北 | 其他 | 顶层(共16层) | 1987年建 | 塔楼,6人关注 / 7天以前发布,1100,"154,930元/平"
蓟门北里精装修高楼层采光无遮挡,蓟门北里 -知春路,2室1厅 | 57.4平米 | 南 北 | 精装 | 顶层(共6层) | 1988年建 | 板楼,10人关注 / 5天以前发布,528,"91,987元/平"
满五唯一中楼层，不临街不把边，正南向，采光无遮挡,京艺天朗 -玉桥,2室1厅 | 82.61平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,4人关注 / 6天以前发布,349,"42,247元/平"
新出：南区眼镜户型  四居室 双明卫 中间安静位置,如园南区 -西北旺,4室3厅 | 287.77平米 | 东 南 北 | 精装 | 中楼层(共11层) | 2014年建 | 板楼,4人关注 / 26天以前发布,3300,"114,675元/平"
【总监力荐】商品房满五唯一 板楼 低楼层 近地铁双卫,天通苑东二区 -天通苑,2室1厅 | 110.33平米 | 西 东 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,5人关注 / 19天以前发布,429,"38,884元/平"
玉林里精装全明格局三居室满五唯一,玉林里小区 -右安门外,3室1厅 | 81.2平米 | 南 北 | 精装 | 18层  | 塔楼,17人关注 / 14天以前发布,595,"73,276元/平"
商品房电梯复式 南北通透 格局好，随时可看,天通苑北二区 -天通苑,2室2厅 | 152.08平米 | 南 北 | 简装 | 高楼层(共13层) | 2004年建 | 板楼,4人关注 / 10天以前发布,605,"39,782元/平"
大望路方正南北三居 双通透 双地铁 次顶层,风度柏林 -大望路,3室1厅 | 132.46平米 | 南 北 | 简装 | 11层 | 2004年建 | 板楼,4人关注 / 17天以前发布,1350,"101,918元/平"
美然动力A1区 3室2厅 南 北,美然动力A1区 -定福庄,3室2厅 | 140.36平米 | 南 北 | 简装 | 14层 | 2004年建 | 板楼,7人关注 / 12天以前发布,609,"43,389元/平"
安静不临街 双卧朝南  可接受换房周期 带租赁车位,北京新天地一期 -常营,3室2厅 | 120.52平米 | 西南 | 简装 | 中楼层(共28层) | 2007年建 | 板塔结合,4人关注 / 16天以前发布,735,"60,986元/平"
金地仰山西区 4室2厅 南 北,金地仰山西区 -高米店,4室2厅 | 138.45平米 | 南 北 | 简装 | 中楼层(共18层) | 2012年建 | 板楼,4人关注 / 10天以前发布,790,"57,061元/平"
满五唯一，中高楼层，双卧朝南，朝花园，采光视野好,政馨园三区 -宋家庄,3室2厅 | 128.76平米 | 东南 | 简装 | 中楼层(共22层) | 2003年建 | 塔楼,8人关注 / 15天以前发布,725,"56,307元/平"
紫云六号院新上优质U8 好位置 好楼层,长阳半岛怡和路6号院 -长阳,3室2厅 | 162.92平米 | 南 北 | 精装 | 中楼层(共15层) | 2015年建 | 板楼,4人关注 / 8天以前发布,738,"45,299元/平"
文成建筑 精装修三居室 边户 满五年唯一,文成建筑 -成寿寺,3室2厅 | 159.87平米 | 东南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 10天以前发布,1170,"73,185元/平"
天露园一区 3室2厅 南 北,天露园一区 -回龙观,3室2厅 | 130.99平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,7人关注 / 12天以前发布,555,"42,370元/平"
宣颐家园，园林社区，复式设计，无遮挡。,宣颐家园 -旧宫,3室1厅 | 60.23平米 | 西 | 简装 | 中楼层(共5层)  | 塔楼,7人关注 / 14天以前发布,292,"48,481元/平"
诚苑南里 南北三居室 采光通风好 诚心出售,诚苑南里 -新宫,3室2厅 | 130.99平米 | 南 北 | 简装 | 高楼层(共7层) | 2002年建 | 板塔结合,163人关注 / 8个月以前发布,440,"33,591元/平"
武夷花园  南北通透四居室 满五唯一 全明户型,水仙园 -武夷花园,4室2厅 | 153.49平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,6人关注 / 8天以前发布,620,"40,394元/平"
永金里小区 3室2厅 南 北,永金里小区 -五棵松,3室2厅 | 118.98平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,9人关注 / 6天以前发布,898,"75,475元/平"
新上双卫有窗户 落地飘窗 近地铁 前后无遮挡交通便利,奈伦熙府 -杨庄,3室1厅 | 144.27平米 | 西南 | 简装 | 中楼层(共18层)  | 塔楼,5人关注 / 4天以前发布,869,"60,235元/平"
三环丽泽商圈  精装南北双通透 高层3居室 双地铁！,万年花城三期 -玉泉营,3室1厅 | 119.47平米 | 南 北 | 精装 | 20层  | 板塔结合,5人关注 / 6天以前发布,840,"70,311元/平"
天通北苑二区商品房电梯复式 南北通透 格局好,天通苑北二区 -天通苑,2室2厅 | 152.3平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,5人关注 / 5天以前发布,583,"38,280元/平"
中间层 东南角 正规三居室 远眺丽泽商务区,朗琴园 -广安门,3室1厅 | 121.15平米 | 东南 | 精装 | 中楼层(共29层) | 2004年建 | 板塔结合,14人关注 / 4天以前发布,1750,"144,450元/平"
瑞新里小区精装三居室，临花园，户型方方正正无缺角,瑞新里小区 -定慧寺,3室2厅 | 135.05平米 | 东南 南 | 精装 | 中楼层(共14层)  | 板塔结合,4人关注 / 5天以前发布,1750,"129,582元/平"
蓟门桥  满五年唯一   南北三居 诚售  看房有钥匙,蓟门东里 -知春路,3室1厅 | 70.3平米 | 南 北 | 简装 | 低楼层(共15层) | 1985年建 | 塔楼,9人关注 / 6天以前发布,715,"101,707元/平"
东二环城中心商品社区，独立一居室，对花园，诚意出售,京城仁合 -广渠门,1室1厅 | 49.61平米 | 西 | 简装 | 低楼层(共16层) | 2004年建 | 板塔结合,1人关注 / 7天以前发布,550,"110,865元/平"
中建国际港 3室1厅 南 北,中建国际港 -枣园,3室1厅 | 130.24平米 | 南 北 | 精装 | 高楼层(共33层) | 2015年建 | 板塔结合,3人关注 / 7天以前发布,725,"55,667元/平"
一品嘉园 精装修 两居室 拎包入住,一品嘉园 -南中轴机场商务区,2室1厅 | 82.22平米 | 南 北 | 精装 | 顶层(共6层) | 2010年建 | 板楼,2人关注 / 7天以前发布,230,"27,974元/平"
怡然世家精装两居室南向大两居拎包入住,怡然世家 -九棵树(家乐福),2室1厅 | 72.51平米 | 南 | 简装 | 28层  | 塔楼,1人关注 / 5天以前发布,295,"40,685元/平"
满五唯一商品房，2梯3户，户型方正，没有遮挡诚心出售,华纺星海家园 -东坝,1室1厅 | 56.86平米 | 南 | 简装 | 低楼层(共17层) | 2014年建 | 板塔结合,3人关注 / 7天以前发布,318,"55,927元/平"
西城区板楼 南北通透 满五唯一 商品房 户型好,京泽苑 -马连道,2室1厅 | 88.66平米 | 南 北 | 简装 | 低楼层(共10层)  | 板塔结合,6人关注 / 6天以前发布,826,"93,165元/平"
满五年唯一，只有契税，看房方便，价格能谈,大方居 -九棵树(家乐福),2室1厅 | 90.33平米 | 南 北 | 简装 | 低楼层(共15层) | 2008年建 | 板塔结合,10人关注 / 7天以前发布,298,"32,991元/平"
草桥欣园三区  精装修 满五唯一 前后无遮挡,草桥欣园三区 -草桥,2室1厅 | 71.6平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 7天以前发布,530,"74,023元/平"
龙华园 三居室 小区中间 采光好 满五唯一看房方便,龙华园 -回龙观,3室1厅 | 92.62平米 | 南 北 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,4人关注 / 5天以前发布,419,"45,239元/平"
中关村芙蓉里西区塔楼三居 带电梯 有钥匙 看房随时,芙蓉里 -圆明园,3室1厅 | 104.2平米 | 西北 | 精装 | 中楼层(共16层)  | 塔楼,6人关注 / 8天以前发布,1130,"108,446元/平"
马家堡西里，满两年已购房改房，看房随时,马家堡西里 -马家堡,2室1厅 | 59.09平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,2人关注 / 8天以前发布,350,"59,232元/平"
地铁大红门 99年建成板楼中高层 东南向二居 主推荐房,建欣苑四里 -大红门,2室1厅 | 70.08平米 | 东南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,3人关注 / 8天以前发布,369,"52,655元/平"
子满五年唯一，采光好，看房方便，业主诚心卖,保利嘉园一号院 -常营,2室1厅 | 88.53平米 | 东南 | 精装 | 18层  | 塔楼,4人关注 / 8天以前发布,469,"52,977元/平"
商品房，电梯房，户型方正，随时看房 随时签约,中晟馨苑2号院 -马坡,1室1厅 | 69.83平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 7天以前发布,200,"28,641元/平"
电信小区中间楼层，南北通透两居室，诚心出售,电信小区 -军博,2室1厅 | 57.15平米 | 南 北 | 精装 | 中楼层(共5层) | 1979年建 | 板楼,4人关注 / 6天以前发布,570,"99,738元/平"
艺水芳园  双卫两居  满五年 业主在京无其他房产,艺水芳园 -双桥,2室1厅 | 92.64平米 | 东南 | 简装 | 低楼层(共15层) | 2005年建 | 板塔结合,10人关注 / 8天以前发布,446,"48,144元/平"
玺萌公馆  南北通透洋房  2居室双卫  小区中间 诚心卖,玺萌公馆 -草桥,2室2厅 | 113.21平米 | 南 北 | 简装 | 底层(共6层) | 2008年建 | 板楼,3人关注 / 7天以前发布,868,"76,672元/平"
惠新西街33号院 正规两居室 带电梯 业主诚意出售,惠新西街33号院 -惠新西街,2室1厅 | 62.66平米 | 东北 | 精装 | 中楼层(共17层) | 1988年建 | 塔楼,4人关注 / 8天以前发布,519,"82,828元/平"
石园北区，南北通透两居室，电梯好楼层，满五唯一,石园北区 -顺义城,2室2厅 | 77.7平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,6人关注 / 5天以前发布,240,"30,889元/平"
兴政西里 3室1厅 南 北,兴政西里 -黄村中,3室1厅 | 105.95平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,1人关注 / 5天以前发布,386,"36,433元/平"
京贸国际城  满五唯一  精装修  总楼层低 舒适度高,京贸国际城 -武夷花园,2室1厅 | 91.39平米 | 南 北 | 精装 | 18层 | 2011年建 | 板塔结合,1人关注 / 5天以前发布,512,"56,024元/平"
钢铁研究院 1室1厅 东,钢铁研究院 -白石桥,1室1厅 | 61平米 | 东 | 简装 | 高楼层(共16层) | 1994年建 | 塔楼,1人关注 / 4天以前发布,560,"91,804元/平"
西三环莲香园东向   大一居  不临街费用少,莲香园 -六里桥,1室1厅 | 73.32平米 | 东 | 其他 | 低楼层(共24层) | 1998年建 | 塔楼,1人关注 / 6天以前发布,470,"64,103元/平"
远洋山水 精装正规一居室 满五年唯一 高层观景房,远洋山水 -鲁谷,1室1厅 | 67.71平米 | 东 | 精装 | 26层  | 板塔结合,4人关注 / 6天以前发布,460,"67,937元/平"
感化胡同3号院 双南朝向两居室 明厨明卫 无遮挡,感化胡同3号院 -长椿街,2室1厅 | 63.39平米 | 南 | 其他 | 顶层(共6层) | 1992年建 | 板楼,5人关注 / 3天以前发布,745,"117,527元/平"
满五唯一 板楼户型 一梯四户 出行便利,柏林爱乐二期 -常营,2室1厅 | 97.87平米 | 东 西 | 简装 | 中楼层(共11层) | 2004年建 | 板塔结合,3人关注 / 2天以前发布,510,"52,110元/平"
精装修 南北通透 户型方正 临潞河医院 万达广场,新城南关 -万达,2室2厅 | 85.85平米 | 南 北 | 精装 | 顶层(共6层) | 1993年建 | 板楼,1人关注 / 4天以前发布,360,"41,934元/平"
政馨园一区 精装修 高楼层 视野好,政馨园一区 -宋家庄,2室1厅 | 71.16平米 | 南 | 精装 | 18层  | 板塔结合,3人关注 / 4天以前发布,419,"58,882元/平"
爱这城明厨明卫格局 高层 随时看房 无浪费 急售,爱这城一期 -四惠,2室1厅 | 98.36平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 2天以前发布,835,"84,893元/平"
房山 长阳 篱笆房 首创新悦都一区,首创新悦都一区 -长阳,2室1厅 | 75.88平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3天以前发布,328,"43,227元/平"
星海家园星苑 满五唯一 产权清晰 不临街 视野好,兴海家园星苑 -西红门,2室1厅 | 77.71平米 | 南 北 | 简装 | 顶层(共5层) | 2004年建 | 板楼,4人关注 / 7天以前发布,386,"49,672元/平"
望京西园三区南向大三居。大阳台，无遮挡,望京西园三区 -望京,3室1厅 | 173.45平米 | 东南 南 | 简装 | 中楼层(共24层)  | 板塔结合,8人关注 / 1个月以前发布,1100,"63,419元/平"
太阳宫 10号线17号线 南北通透 三居室 有钥匙,丰和园 -太阳宫,3室2厅 | 140.68平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,11人关注 / 22天以前发布,1748,"124,254元/平"
小区1号楼，只有契税，看西山、夕阳、电视塔、视野好,新起点嘉园 -万柳,5室2厅 | 248.4平米 | 西南 | 精装 | 顶层(共19层) | 2002年建 | 塔楼,4人关注 / 29天以前发布,2800,"112,722元/平"
百朗园  2002年商品房小区  人车分流  中高楼层视野好,百朗园 -五棵松,3室1厅 | 141.68平米 | 东南 | 精装 | 17层  | 板塔结合,9人关注 / 28天以前发布,1155,"81,522元/平"
南北通透三居室+观景效果好+84%得房率+中高层,富力城B区 -双井,3室1厅 | 130.5平米 | 南 北 | 精装 | 16层 | 2005年建 | 板塔结合,6人关注 / 1个月以前发布,1500,"114,943元/平"
高层眼镜户型三居，全新房满五唯一，前后园林水系环绕,观湖国际 -朝阳公园,3室2厅 | 187.05平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,22人关注 / 27天以前发布,2189,"117,028元/平"
翠成馨园A区板楼南北通透三居室 一梯两户 双卧朝南,翠成馨园A区 -垡头,3室2厅 | 122.78平米 | 北 南 | 精装 | 中楼层(共5层) | 2003年建 | 板塔结合,12人关注 / 23天以前发布,580,"47,239元/平"
华亭嘉园 东南向 方正户型 观鸟巢水立方,华亭嘉园 -健翔桥,3室1厅 | 193.07平米 | 东南 | 精装 | 32层 | 2000年建 | 塔楼,8人关注 / 18天以前发布,1700,"88,051元/平"
南北通透两居室 双卫设计 景观好视野棒,东湖湾二期 -望京,2室1厅 | 147.16平米 | 南 北 | 精装 | 中楼层(共26层) | 2011年建 | 板塔结合,13人关注 / 30天以前发布,1680,"114,162元/平"
武夷花园 BOBO自由城 满五年唯一  电梯三居 南北通透,BOBO自由城 -武夷花园,3室2厅 | 125.34平米 | 南 北 | 精装 | 中楼层(共9层) | 2005年建 | 板楼,9人关注 / 19天以前发布,789,"62,949元/平"
海淀区 学院路 清枫华景园 南北通透 三居室 小区中间,清枫华景园 -学院路,3室2厅 | 141.12平米 | 南 北 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,23人关注 / 23天以前发布,1550,"109,836元/平"
环境好小区，满五唯一住宅，南北通透两居室，,天通苑北二区 -天通苑,2室2厅 | 109.63平米 | 南 北 | 简装 | 低楼层(共13层) | 2004年建 | 板楼,8人关注 / 26天以前发布,460,"41,960元/平"
位置好不临街不把边！未租过！满五年唯一！诚心出售！,世纪星城三期 -通州北苑,3室2厅 | 145.18平米 | 南 北 | 精装 | 中楼层(共18层) | 2010年建 | 板楼,2人关注 / 27天以前发布,688,"47,390元/平"
顺驰蓝调国际大三居正对花园丽泽商务区改善大三居,顺驰蓝调 -菜户营,3室2厅 | 147.85平米 | 西南 | 简装 | 底层(共20层) | 2008年建 | 板塔结合,8人关注 / 18天以前发布,1130,"76,429元/平"
当代城市家园  小区中间位置  看房方便,当代城市家园 -上地,3室2厅 | 122.11平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,8人关注 / 20天以前发布,1220,"99,910元/平"
店长推荐益辰欣园南北通透两居室诚售,益辰欣园 -科技园区,2室2厅 | 120.35平米 | 南 西 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,1人关注 / 17天以前发布,710,"58,995元/平"
"观湖三居，小区中间位置，南北通透 ,中楼层，视野开阔",顺驰领海 -高米店,3室2厅 | 136.38平米 | 南 北 | 简装 | 12层 | 2008年建 | 板楼,13人关注 / 16天以前发布,660,"48,395元/平"
清河 莱圳家园三期 正规南北通透两居室 高楼层,莱圳家园 -清河,2室2厅 | 87.65平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,17人关注 / 17天以前发布,799,"91,159元/平"
温泉花园A区 2层 精装 三居室满两年原网签价305万,温泉花园A区 -北七家,3室2厅 | 125.92平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,28人关注 / 26天以前发布,336,"26,684元/平"
窦店镇提香草堂 环境优美 配套齐全,提香草堂 -窦店,4室2厅 | 261.55平米 | 南 北 | 精装 | 3层 | 2006年建 | 板楼,4人关注 / 26天以前发布,850,"32,499元/平"
左家庄西街  4居复式结构  双卫   600万,左家庄西街 -国展,4室2厅 | 108.46平米 | 东 西 | 精装 | 顶层(共6层)  | 板楼,16人关注 / 22天以前发布,600,"55,320元/平"
玉泉路 玉阜嘉园 南向三室两卫 不临街 没有遮挡 满五,玉阜嘉园 -玉泉路,3室2厅 | 143.76平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,21人关注 / 24天以前发布,1150,"79,995元/平"
中堂 南北三居室 精装修 看房方便。,中堂 -岳各庄,3室1厅 | 129.85平米 | 南 北 | 精装 | 顶层(共13层) | 2004年建 | 板楼,5人关注 / 29天以前发布,950,"73,162元/平"
永金里小区，低楼层三居，满五年，双卫设计，采光好。,永金里小区 -五棵松,3室1厅 | 120.99平米 | 东 西 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,14人关注 / 28天以前发布,865,"71,494元/平"
长椿街广安门南北通透三居室楼龄新低楼层看房方便诚心,广义街10号院 -长椿街,3室2厅 | 133.47平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,10人关注 / 16天以前发布,1500,"112,385元/平"
颐源居小区东南三居临河观景采光好诚售有钥匙,颐源居小区 -公主坟,3室2厅 | 115.94平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,6人关注 / 22天以前发布,1620,"139,728元/平"
【聚焦好房】满五年南北通透双卫户型好 采光足,荟康苑 -常营,3室2厅 | 102.24平米 | 南 北 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,13人关注 / 21天以前发布,435,"42,547元/平"
满五年唯一 产权清晰 南北通透 视野好无遮挡,世贸国际公寓 -东大桥,3室2厅 | 258.01平米 | 南 北 | 精装 | 中楼层(共31层) | 2001年建 | 板楼,4人关注 / 17天以前发布,2295,"88,951元/平"
智学苑 满五唯一商品房 中楼层带电梯 不临街 诚意出售,智学苑 -西二旗,3室1厅 | 126.65平米 | 东南 | 简装 | 中楼层(共24层) | 2001年建 | 塔楼,19人关注 / 26天以前发布,769,"60,719元/平"
东南三环 华辉苑小区 满五唯一 商品房,华辉苑 -潘家园,3室2厅 | 150.74平米 | 西北 | 简装 | 中楼层(共23层) | 2000年建 | 塔楼,4人关注 / 17天以前发布,690,"45,775元/平"
海淀 田村 中国房子 南北两居  看房方便,中国房子 -田村,2室2厅 | 114.52平米 | 南 北 | 简装 | 中楼层(共9层) | 2004年建 | 板楼,10人关注 / 29天以前发布,918,"80,161元/平"
2015年交房 经典4+1户型  观景房,保利中央公园 -望京,4室2厅 | 144.92平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,9人关注 / 17天以前发布,2190,"151,118元/平"
此房满五唯一，把边联排别墅采光好，花园大,美树假日嘉园 -北七家,4室2厅 | 217.66平米 | 北 南 西 | 简装 | 3层 | 2004年建 | 暂无数据,15人关注 / 28天以前发布,958,"44,014元/平"
西翠芳庭 南北大三居，满五年商品房，看房随时,西翠芳庭 -青塔,3室1厅 | 119.46平米 | 南 北 | 精装 | 低楼层(共22层) | 2003年建 | 塔楼,23人关注 / 29天以前发布,580,"48,552元/平"
永定路  永定路甲19号院  单位分房 带电梯 精装修,永定路甲19号院 -五棵松,3室2厅 | 110.69平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,13人关注 / 15天以前发布,1100,"99,377元/平"
富瑞苑带电梯+全天物业管理+不临街+满五唯一+新装修,富瑞苑 -广渠门,3室2厅 | 152.55平米 | 西南 | 精装 | 中楼层(共18层)  | 塔楼,3人关注 / 16天以前发布,1520,"99,640元/平"
兴政西里   高楼层   通透性好,兴政西里 -黄村中,3室2厅 | 101.99平米 | 南 北 | 简装 | 顶层(共6层)  | 板楼,14人关注 / 27天以前发布,310,"30,396元/平"
通惠家园 1室1厅 东,通惠家园 -四惠,1室1厅 | 59.63平米 | 东 | 精装 | 28层 | 2001年建 | 板塔结合,2人关注 / 7天以前发布,325,"54,503元/平"
顺悦家园 南北通透 两居室 精装修,顺悦家园 -马坡,2室1厅 | 80.38平米 | 南 北 | 精装 | 高楼层(共28层) | 2014年建 | 板塔结合,3人关注 / 7天以前发布,240,"29,859元/平"
新增  北京上舍方正三居室  满五唯一  诚意出售,北京上舍 -广渠门,3室1厅 | 125.05平米 | 东南 北 | 精装 | 高楼层(共15层) | 2008年建 | 塔楼,12人关注 / 16天以前发布,1399,"111,876元/平"
大西洋新城A区 南北通透三居室 户型方正不临街近地铁,大西洋新城A区 -望京,3室2厅 | 132.93平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,12人关注 / 15天以前发布,1099,"82,676元/平"
四环边 低密度一梯一户平墅，全明格局，带车库,汤泉逸墅 -四季青,4室2厅 | 313.57平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,6人关注 / 15天以前发布,3500,"111,618元/平"
和义东里一区 满五年唯一商品房 近地铁采光好配套齐全,和义东里一区 -和义,3室1厅 | 83.71平米 | 东 南 北 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,18人关注 / 16天以前发布,362,"43,245元/平"
世界名园南区 3室2厅 南 北,世界名园南区 -窦店,3室2厅 | 134.29平米 | 南 北 | 其他 | 中楼层(共6层) | 2011年建 | 板楼,1人关注 / 15天以前发布,210,"15,638元/平"
此房满五年，南北通透格局好，楼层高，视野开阔！,国美第一城2号院 -朝青,3室2厅 | 136.04平米 | 南 北 | 精装 | 27层 | 2006年建 | 板塔结合,28人关注 / 14天以前发布,790,"58,072元/平"
双车位 南北大三居 中层采光好 不临街，满五唯一,郦城三区 -四季青,3室2厅 | 171.16平米 | 南 北 | 简装 | 中楼层(共5层) | 2003年建 | 板楼,12人关注 / 10天以前发布,1920,"112,176元/平"
西三区南北通透三居，双落地阳台。双明卫！,天通西苑三区 -天通苑,3室2厅 | 160.91平米 | 南 北 | 简装 | 中楼层(共13层) | 2003年建 | 板楼,4人关注 / 10天以前发布,513,"31,882元/平"
华彩国际公寓 双卧南户型 全明格局不临街,华彩国际公寓 -望京,3室2厅 | 171.27平米 | 南 北 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,5人关注 / 10天以前发布,1800,"105,098元/平"
低密度社区下叠 视野好无遮挡 南花园 停车方便,中海安德鲁斯庄园东区 -百子湾,5室2厅 | 285.47平米 | 南 北 | 简装 | 4层 | 2005年建 | 板楼,8人关注 / 15天以前发布,1450,"50,794元/平"
