标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
新大润发万达商圈，银海区地段。户型方正，朝南采光好,九州家园南区 -银海区,2室2厅 | 77.95平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,33,"4,234元/平"
重庆路电梯3房 房东自住，全屋品牌家具家电,金缘世家 -海城区,3室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,30人关注 / 一年前发布,37,"4,158元/平"
恒大名都可看海，中间楼层、视野好,恒大名都 -银海区,2室1厅 | 69.19平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,26人关注 / 4个月以前发布,41.6,"6,013元/平"
电梯大3房，南北通透，证件在手，户型方正。,海甸花园 -银海区,3室1厅 | 124平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,51,"4,113元/平"
新大润发商圈 华天佳苑 电梯精装 三房两厅两卫两阳台,华天佳苑 -银海区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 14天以前发布,49.8,"5,135元/平"
证件在手，户型方正，全新装修。,桐洋新城 -海城区,3室2厅 | 82.74平米 | 南 | 简装 | 高楼层(共9层)  | 板塔结合,1人关注 / 2个月以前发布,37,"4,472元/平"
万达商圈，正规复式楼，带大露台，5房2厅，71万,同和水岸香堤 -银海区,5室2厅 | 159.99平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,70,"4,376元/平"
世纪城朝南三房。精装修。满五唯一。视野好,镒建世纪城 -银海区,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,59.5,"6,686元/平"
此房源满五唯一，房产证在手，朝南通透的大一房,海甸花园 -银海区,4室2厅 | 160平米 | 南 | 简装 | 高楼层(共12层)  | 塔楼,9人关注 / 一年前发布,57.66,"3,604元/平"
独门独院，私人空间大，花园大，精装，,碧桂园北纬21° -银海区,3室2厅 | 130.64平米 | 南 | 精装 | 2层  | 板塔结合,0人关注 / 28天以前发布,235,"17,989元/平"
同和水岸香堤 精装3房2卫 南北通透双阳台万达商圈急售,同和水岸香堤 -银海区,3室2厅 | 89.84平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,49.9,"5,555元/平"
万达商圈 万泉城 复式带露台 业主诚意出售 随时看房,万泉城一区 -银海区,4室2厅 | 145.2平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,63.5,"4,374元/平"
爱琴海景 3室2厅 南,爱琴海景 -银海区,3室2厅 | 100.24平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,51,"5,088元/平"
广东路 金域华府 大4房 装修好未入住 诚意出售,金域华府 -银海区,4室2厅 | 130.28平米 | 北 南 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 20天以前发布,84,"6,448元/平"
领秀一方 2室2厅 北,领秀一方 -海城区,2室2厅 | 81.11平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 6天以前发布,39.8,"4,907元/平"
双商圈 精装三房 采光好 视野开阔,恒大名都 -银海区,3室2厅 | 90.97平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,58.8,"6,464元/平"
欧式园林风格 户型方正 采光良好 南北通透中间楼层,香槟郡 -海城区,3室1厅 | 92.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,39,"4,221元/平"
一线海景房30平大阳台，南北通透三面采光，精装修,欣冠领海天域 -海城区,3室2厅 | 118.88平米 | 东 东南 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,79.8,"6,713元/平"
小区成熟，近市场，近海，近车站，出门公交车站,星海湾花园 -海城区,4室2厅 | 132.69平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 5天以前发布,52.8,"3,980元/平"
地理位置好 小区基本都是本地人住 楼层好 价钱便宜,阳光海滨城 -海城区,3室2厅 | 131.86平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 9天以前发布,61,"4,627元/平"
新大润发旁 园林小区 嘉盛名都 全新精装修 3房2卫,嘉盛名都 -银海区,3室2厅 | 88.28平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,64.9,"7,352元/平"
金滩 海滨公园  一线海景无遮挡,正虹海景湾 -海城区,4室2厅 | 194.02平米 | 南 北 | 简装 | 高楼层(共19层)  | 板塔结合,13人关注 / 5个月以前发布,75.6,"3,897元/平"
万达。吾悦广场商圈的国企大盘。南北朝向的大户型,银投乾坤国际城 -银海区,4室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,71,"5,868元/平"
金滩品质小区富丽华海御，126平朝南大三房 大主卧,富麗華海御 -海城区,3室2厅 | 126.8平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,87.5,"6,901元/平"
西藏路宏润公寓小区 电梯5楼 三房二厅 111平方,宏润公寓 -海城区,3室2厅 | 111.05平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,54.8,"4,935元/平"
正规三房二厅双卫一阳一厨，视野开阔,正虹金星花苑 -海城区,3室2厅 | 140.12平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,49.8,"3,555元/平"
广东路21度公馆160平米大平层,21度公馆 -银海区,4室2厅 | 130.83平米 | 南 北 | 简装 | 高楼层(共24层)  | 板塔结合,3人关注 / 7个月以前发布,93,"7,109元/平"
北国之春三房二房精装修干净整通风采光好看房方便,北国之春 -海城区,3室2厅 | 121.79平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,51,"4,188元/平"
银滩边第九湾小区 视野宽阔 毛坯大五房 随意改造,第九湾蓝山上湾 -银海区,5室2厅 | 168.65平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,21人关注 / 一年前发布,78.8,"4,673元/平"
市花公园，步梯二楼，康养一房，配套齐全。,碧雅苑 -银海区,1室0厅 | 33.63平米 | 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 20天以前发布,12,"3,569元/平"
万达吾悦双商圈 室内干净整洁 业主几乎未入住,昊海梧桐 -银海区,2室1厅 | 68.54平米 | 东北 | 精装 | 低楼层(共31层)  | 板塔结合,4人关注 / 13天以前发布,29,"4,232元/平"
此房满二唯一 万达吾悦商圈 南北通透,紫薇.英伦小镇 -银海区,3室2厅 | 100.38平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,80,"7,970元/平"
急售 成熟配套 老年人不会开车的方便医疗，购物，,东辉·翰林鑫苑 -银海区,3室2厅 | 131.76平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,58,"4,402元/平"
智弘银城绿洲 5室3厅 南 北,智弘银城绿洲 -银海区,5室3厅 | 207平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,140,"6,764元/平"
嘉和冠山海 三房二厅 正规精装户型 拎包入住 保养很好,嘉和冠山海 -海城区,3室2厅 | 88.86平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,36人关注 / 6个月以前发布,49.8,"5,605元/平"
北部湾广场，地段优越，精装大三房2厅，便宜出售,万家兴小区 -海城区,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,1人关注 / 9天以前发布,46.9,"3,399元/平"
圣美阳光家园 1室1厅 南,圣美阳光家园 -银海区,1室1厅 | 51.31平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,21,"4,093元/平"
吾悦商圈 恒大名都一房一厅一卫 吉售,恒大名都 -银海区,1室1厅 | 53平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 14天以前发布,26.5,"5,000元/平"
金滩旁 园林小区 采光好 户型方正,碧园海语城 -海城区,4室2厅 | 119.76平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,6人关注 / 一年前发布,70,"5,846元/平"
新大润发旁边大三房136平米有地下车位一个朝南,哈尔滨广场 -银海区,3室2厅 | 136.06平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,58,"4,263元/平"
