标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
次新房 西边户河景房  多边采光通透好,枫林湾花园 -东山镇,4室2厅 | 138.5平米 | 南 西 北 | 精装 | 低楼层(共20层)  | 板塔结合,8人关注 / 5个月以前发布,380,"27,437元/平"
瑞凯国际 70年产权住宅性质 电梯房满五唯一,瑞凯国际 -大厂,1室0厅 | 45.96平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 10天以前发布,55,"11,967元/平"
鼓楼区 满五 中间楼层 一号线红山站 无遮挡采光好,东井一村 -小市,2室1厅 | 60.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,6人关注 / 5个月以前发布,155,"25,587元/平"
户型方正 三房 商品房 南部新城 秦虹大明路 诚心卖房,东南花苑 -秦虹,2室2厅 | 102.94平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,350,"34,001元/平"
精装修 采光充足 视野好 诚心出售,荣昌花园 -溧水城南,2室2厅 | 108.23平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 10天以前发布,83,"7,669元/平"
不靠高架  边户楼栋位置好楼层视野佳  没有增值税,汇景和园 -洪家园,3室1厅 | 86.82平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,218,"25,110元/平"
满五年 采光好 独立小区 中间楼层 张府园地铁,王府园小区 -升州路,3室1厅 | 55.16平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 5天以前发布,281,"50,943元/平"
户型方正，精装采光好 带储藏室。,天景山公寓春秀苑 -东山镇,3室2厅 | 92.32平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,175,"18,956元/平"
此房满五年，有电梯，户型方正，采光好,香山美墅 -将军大道,4室2厅 | 127.92平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,16人关注 / 6个月以前发布,409,"31,974元/平"
南京南站 大三房 30万精装 带大露台带阁楼 东边户,天地新城天琴座 -岔路口,3室2厅 | 160.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,10人关注 / 12天以前发布,275,"17,160元/平"
三房 急卖急卖 五塘广场 地铁口 价格能谈,五塘新村 -五塘广场,3室1厅 | 53.01平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 5天以前发布,115,"21,695元/平"
苜蓿园月牙湖99年商品房中楼层 满五年无个税 配套成熟,富丽山庄 -月牙湖,3室2厅 | 119.99平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4天以前发布,370,"30,836元/平"
朝天宫  省中医 低单价 低总价大两房 业主诚心出售,堂子街 -朝天宫,2室1厅 | 69.78平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 6天以前发布,160,"22,930元/平"
边户，不临街，采光通风好，看山景,阳光聚宝山庄 -樱驼花园,3室2厅 | 127.75平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 8天以前发布,359,"28,102元/平"
店长推荐   业主诚心出售好楼层好位置,翠屏城 -禄口,3室1厅 | 94.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 7天以前发布,90,"9,565元/平"
威尼斯水城一楼带院子 精装修 满二,威尼斯水城第十四街区 -桥北,4室2厅 | 135.81平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 29天以前发布,400,"29,453元/平"
新街口商圈，地铁1，2 号线、配套齐全、交通方便,金轮大厦 -华侨路,3室1厅 | 153.4平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板楼,3人关注 / 21天以前发布,353,"23,012元/平"
精装边户，采光很棒。保养很好，业主诚心出售,威尼斯水城第十六街区 -桥北,3室2厅 | 113.46平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 13天以前发布,210,"18,509元/平"
