标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
政协宿舍 3室2厅 南,政协宿舍 -西山运动场,3室2厅 | 97.67平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,39,"3,994元/平"
可以目宋何必接S教育之城品质环境兼得精装房小區中庭,美宇悦庭 -白马湖,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 25天以前发布,74.5,"7,526元/平"
此房无抵押，产权清晰，楼层好，采光也还不错,金鱼岭花园C区 -延安路,2室2厅 | 90.57平米 | 东南 | 其他 | 低楼层(共7层)  | 平房,0人关注 / 6天以前发布,32,"3,534元/平"
市政府朝小区中庭清水大三房洋房,石油新城东二区 -市政新区,3室1厅 | 117.43平米 | 东南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 8天以前发布,64.8,"5,519元/平"
嘉陵汽车站旁 步梯中间楼层 带15平储藏间,同乐巷 -嘉陵广场,3室2厅 | 114.31平米 | 西北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,42,"3,675元/平"
电梯房 户型方正精致装修带全套家具家电设计合理,金山大厦 -嘉陵广场,2室2厅 | 80.27平米 | 东南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 6天以前发布,37.5,"4,672元/平"
地段成熟，标准两房采光好，出行方便,怡和花园 -西山运动场,2室1厅 | 82平米 | 东南 西南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 10天以前发布,22,"2,683元/平"
成熟位置中间楼层大三房大三房大三房,马家大院 -王府井,3室1厅 | 115.98平米 | 西南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,29.9,"2,579元/平"
市区繁华地段 精装修 采光好 房东诚心出售,小康巷 -滨江大道,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,32,"4,572元/平"
大盘小区 ，安全系数高，小三房，配套齐全..,逸合山语城 -江东大道,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,56,"5,234元/平"
