标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
莱茵湖畔 138平 5房2卫带露台 出售,莱茵湖畔 -琅东,4室2厅 | 137.67平米 | 北 | 简装 | 低楼层(共17层)  | 塔楼,1人关注 / 15天以前发布,135,"9,807元/平"
北湖商圈地铁五号线 明秀东农贸市场,皇龍新城 -东沟岭,3室2厅 | 111.97平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,1人关注 / 29天以前发布,90,"8,038元/平"
【店长推荐】小两房带露台，视野采光好，户型靓,和居·邕江郡 -白沙星光,2室1厅 | 46.54平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 4天以前发布,48,"10,314元/平"
和思 · 相思湖畔A区 4室2厅 南,和思 · 相思湖畔A区 -相思湖,4室2厅 | 112.98平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 4天以前发布,109,"9,648元/平"
园区小高层洋房 全屋硅藻泥  南北通透 满五唯一,世洋丽豪园 -东盟商务区,4室2厅 | 140.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 15天以前发布,234,"16,651元/平"
两梯两户，万达茂旁，出行购物便利，南北户型,万达茂·江山云邸 -五象文旅,4室2厅 | 143.3平米 | 东南 | 其他 | 低楼层(共51层)  | 板塔结合,0人关注 / 8天以前发布,126,"8,793元/平"
五象湖 龙光玖珑湖二期 精装修 三房两厅两卫,龙光玖珑湖二期 -五象湖,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 19天以前发布,130,"14,607元/平"
四号地铁口！玖珑府未入住精装四房，视野开阔，采光好,龙光玖珑府 -经开区,4室1厅 | 117.25平米 | 北 | 精装 | 高楼层(共40层)  | 板塔结合,0人关注 / 21天以前发布,128,"10,917元/平"
万象汇旁玖珑湖二期，中间楼栋，东边套，高楼层方便看,龙光玖珑湖二期 -五象湖,5室2厅 | 143.53平米 | 东南 南 北 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 10天以前发布,225,"15,677元/平"
五象湖商圈 万科魅力之城 四房出售 120万含产权车位,万科魅力之城 -五象湖,4室2厅 | 89.41平米 | 东南 南 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 11天以前发布,120,"13,422元/平"
塞纳维拉花园 4室2厅 南,塞纳维拉花园 -凤岭北,4室2厅 | 172.76平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,11人关注 / 一年前发布,160,"9,262元/平"
