标题,开发商,房子信息,发布信息,售价/万,单价
西南北三面采光，格局方正，小区安静，二个阳台,美仁新村北区 -公园小学及周边,3室1厅 | 85.78平米 | 南 西 北 | 精装 | 高楼层(共8层) | 1987年建 | 板楼,1人关注 / 4天以前发布,560,"65,284元/平"
格局方正，花园式小区，视野开阔，交通方便,华林紫微小区 -瑞景,3室1厅 | 93平米 | 南 北 | 简装 | 7层 | 2006年建 | 板楼,1人关注 / 5天以前发布,450,"48,388元/平"
尊海少见户型，东南向，装修好，安静舒适,禹洲尊海 -海沧体育中心,3室1厅 | 88.76平米 | 东南 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼,0人关注 / 6天以前发布,379,"42,700元/平"
满二 全明格局 朝南房 通便利,中联观云溪 -同安区,3室2厅 | 91.57平米 | 东南 | 毛坯 | 中楼层(共15层)  | 板楼,1人关注 / 3天以前发布,168,"18,347元/平"
一梯2户 明厨明卫 封闭小区，筼筜湖畔视野好,吉祥家园 -市政府,3室2厅 | 127.64平米 | 西 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 25天以前发布,888,"69,571元/平"
四房二厅二卫全明结构交通便利视野开阔,亿力乐园 -禾祥西路,4室2厅 | 153.31平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,0人关注 / 11天以前发布,1330,"86,753元/平"
金海湾安静 中间楼层 南北通透采光好 精装修三房,金海湾 -杏林桥头,3室2厅 | 112.42平米 | 南 北 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,0人关注 / 14天以前发布,349,"31,045元/平"
02年小区 带80平露台使用180平，朝南大三房 人车分流,古龙商城 -禾祥西路,3室1厅 | 138.5平米 | 西南 | 简装 | 低楼层(共16层) | 2002年建 | 塔楼,0人关注 / 14天以前发布,950,"68,593元/平"
蓝月湾二期大三房 两梯两户 南北通透 三面采光 视野好,未来海岸蓝月湾二期 -未来海岸北师大,3室1厅 | 126.93平米 | 南 北 | 简装 | 中楼层(共18层) | 2007年建 | 板楼,0人关注 / 6天以前发布,385,"30,332元/平"
纺织路 3室2厅 东 南,纺织路 -杏东,3室2厅 | 67.2平米 | 东 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,188,"27,977元/平"
万科金域蓝湾 南北通透  看中庭 采光好,万科金域蓝湾二期 -瑞景,4室2厅 | 133.98平米 | 南 北 | 精装 | 中楼层(共31层) | 2010年建 | 板楼,3人关注 / 25天以前发布,988,"73,743元/平"
龙湖春江彼岸一期 上叠东边套 不靠马路,龙湖春江彼岸别墅 -马銮湾中心片区,4室2厅 | 124.21平米 | 东南 南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 16天以前发布,578,"46,535元/平"
禾祥西路 沃尔玛 精装2房 南北通透 现买现住 总价低,禾祥西路182号以上 -禾祥西路,2室1厅 | 65.09平米 | 南 北 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,3人关注 / 13天以前发布,380,"58,381元/平"
中高楼层，自住装修，可拎包入住，户型好 看湖,滨水小区二期 -集美新城,3室1厅 | 71.85平米 | 东南 北 | 精装 | 中楼层(共34层) | 2012年建 | 板塔结合,0人关注 / 8天以前发布,258,"35,909元/平"
电梯高楼层，三面采光看山看海180度景观，交通便利。,玉泉花园 -保税区,3室2厅 | 153.06平米 | 南 北 西 | 简装 | 高楼层(共9层) | 2000年建 | 板塔结合,3人关注 / 14天以前发布,538,"35,150元/平"
禾祥西 嘉成花园 电梯 南北  抽教科院,嘉成花园 -禾祥西路,3室2厅 | 151.25平米 | 南 北 | 简装 | 中楼层(共11层) | 1999年建 | 板楼,1人关注 / 11天以前发布,950,"62,810元/平"
楼层好，南北通透，采光充足，配套齐全,豆仔尾路 -公园小学及周边,2室2厅 | 83.69平米 | 南 北 | 简装 | 中楼层(共7层) | 1990年建 | 板楼,1人关注 / 13天以前发布,598,"71,455元/平"
59平改好的3房 你信吗 还不赶快来约我看房吗,美地雅登二里 -新店,3室1厅 | 59.09平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,3人关注 / 29天以前发布,146,"24,709元/平"
杏北新城，中间安静三房，精装，南北通风光线好，诚售,杏北新城二和三组团 -锦园,3室2厅 | 99.9平米 | 南 北 | 精装 | 11层  | 暂无数据,0人关注 / 24天以前发布,215,"21,522元/平"
绿苑小区  正规三房   采光好   税费少,绿苑小区一期 -滨海社区,3室2厅 | 103.95平米 | 南 | 简装 | 中楼层(共17层) | 2007年建 | 板楼,0人关注 / 27天以前发布,349,"33,574元/平"
