标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
急售！宝华山下低密度品质住宅，格局方正采光无遮挡,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 111.33平米 | 南 | 简装 | 中楼层(共19层)  | 板塔结合,0人关注 / 23天以前发布,116,"10,420元/平"
精装  拎包入住  满五  三室  业主诚卖！！！,四季金辉 -宝华商圈,3室2厅 | 86.04平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 21天以前发布,93,"10,809元/平"
仙林东宝华 彩虹城 双地铁 近万达户型方正 采光无遮挡,彩虹城 -宝华商圈,3室2厅 | 83.59平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,79,"9,451元/平"
临湖苑 婚装房 设施全 配套齐全 出行方便,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,90,"7,144元/平"
彩虹城 精装满二 三开间朝南，楼层好，配套设施齐,彩虹城 -宝华商圈,3室2厅 | 86.47平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 14天以前发布,79,"9,137元/平"
满二 无贷，开发商装修，采光好,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92.19平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 10天以前发布,58,"6,292元/平"
恒大雅苑 毛坯大三房 视野采光好 诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 6天以前发布,85,"6,800元/平"
全屋定制 没有住过 无贷款 满二年 中间楼层,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 8天以前发布,83,"8,557元/平"
户型方正，南北通透，小区人车分流,远洋心里 -宝华商圈,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,78,"8,864元/平"
通透，4房，得房率高 ，配套齐全，多层,九曲花苑 -宝华商圈,4室2厅 | 135.83平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,140,"10,308元/平"
