标题,开发商,房子信息,发布信息,售价/万,单价
全天采光。复式大平层阳光大露台。。,长春都市花园 -长淮,4室2厅 | 108.74平米 | 南 北 | 简装 | 高楼层(共5层) | 2002年建 | 板楼,0人关注 / 7天以前发布,121.5,"11,174元/平"
户型，边户，楼层好，视野开阔，配套齐全,新华阳光国际 -柏堰,3室2厅 | 91.66平米 | 南 | 其他 | 中楼层(共11层) | 2011年建 | 板塔结合,1人关注 / 12天以前发布,163,"17,784元/平"
央企大四房，精装带墙暖，满二业主诚售有二次装修,保利海上五月花C区 -环湖CBD,4室2厅 | 136.47平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 8天以前发布,386,"28,285元/平"
文一名门湖畔  通透大三房  中间楼层  精装婚房  急售,文一名门湖畔 -四里河,3室2厅 | 99.1平米 | 南 | 精装 | 29层 | 2015年建 | 板楼,1人关注 / 7天以前发布,225,"22,705元/平"
科大旁 市政供暖  地铁六号线  正规单位大院,电科苑 -稻香村,3室1厅 | 86.18平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,0人关注 / 3天以前发布,145,"16,826元/平"
华夏品质小区，业主诚心卖，看房子方便,华夏茗湾学府 -工业园,3室1厅 | 99.11平米 | 南 北 | 毛坯 | 30层 | 2018年建 | 板楼,1人关注 / 3天以前发布,248,"25,023元/平"
自住精装带暖气  视野开阔采光刺眼,华地紫园 -兴园,3室2厅 | 101.25平米 | 南 北 | 精装 | 高楼层(共32层) | 2014年建 | 板塔结合,0人关注 / 4天以前发布,269,"26,568元/平"
单价低 看房有钥匙 顶楼带阁楼 户型正,丽水天锦苑 -龙岗,5室1厅 | 163.27平米 | 南 | 简装 | 高楼层(共6层) | 2010年建 | 板楼,0人关注 / 4天以前发布,120,"7,350元/平"
此房满二，洋房，精装修，诚心出售。,当代MOMΛ未来城 -磨店,4室2厅 | 135.09平米 | 南 | 精装 | 中楼层(共11层) | 2018年建 | 板塔结合,3人关注 / 15天以前发布,175,"12,955元/平"
少荃湖 带供暖 精装修 中高楼层 房东诚心出售,当代MOMΛ未来城 -磨店,3室2厅 | 88.44平米 | 南 | 精装 | 中楼层(共34层) | 2018年建 | 板塔结合,4人关注 / 17天以前发布,133.8,"15,129元/平"
精装修，标准三房，公摊面积小，采光好，拎包入住,兴海苑D区 -七里塘,3室1厅 | 85.62平米 | 南 | 精装 | 18层  | 板塔结合,1人关注 / 11天以前发布,108,"12,614元/平"
满五唯一，三房朝南，商品房，业主诚心卖,隆庭佳苑 -城东,3室1厅 | 88.54平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,118,"13,328元/平"
地铁口，精装修，可拎包入住，中间楼层，采光不挡,斯瑞新景苑 -龙岗,2室2厅 | 98.92平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,93,"9,402元/平"
