标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
坐北朝南户型，中间楼层，带一个柴间。,阳光小区 -吉水县,3室2厅 | 105.02平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 24天以前发布,56,"5,333元/平"
小区地段好，城北优质小区，户型方正，读书方便,紫郡花园 -吉州区,3室2厅 | 132.75平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,84,"6,328元/平"
江景大平层，采光充足，小区环境好，诚意出售。,六合盛世鹭洲观澜 -吉州区,4室2厅 | 204平米 | 东 | 精装 | 高楼层(共15层)  | 板楼,2人关注 / 4个月以前发布,185,"9,069元/平"
上江界东边户，南北通透大三房，满五 采光充足,上江界 -青原区,3室2厅 | 128.78平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,83.5,"6,484元/平"
望族名家3-2-1-2 精装修三房，看房方便，业主急售,望族名家 -吉安县,3室2厅 | 136.18平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,93.8,"6,888元/平"
好地段，是电梯房，南北通风，总价低,阳光小区 -青原区,3室2厅 | 108.34平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,54,"4,985元/平"
产证满2年，南北双阳台，前后无遮挡，生态园近在咫尺,港龙上宾尊域 -吉州区,3室2厅 | 132.45平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,1人关注 / 9个月以前发布,75,"5,663元/平"
此房满二年，楼层好，户型好，小区环境好。,庐贤雅居 -吉安县,3室2厅 | 104.48平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,59,"5,648元/平"
聚源西区    精装修3房   楼层好   视野好,聚源西区 -吉州区,3室2厅 | 119.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,78,"6,510元/平"
井大阳光城2房1厅1卫，精装，采光好,井大阳光城三期 -青原区,2室1厅 | 83.71平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,1人关注 / 31天以前发布,37,"4,421元/平"
井大商圈 八十多平  不到三十万,井大阳光城三期 -青原区,1室2厅 | 81.75平米 | 南 | 简装 | 中楼层(共22层)  | 塔楼,0人关注 / 8天以前发布,28,"3,426元/平"
环境优美，交通便利，，，，，，，，，，，，，，，，,桥北花苑小区 -吉水县,3室2厅 | 145.42平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 17天以前发布,48,"3,301元/平"
南北朝向，采光好，大阳台，散步好去处，房子..,庐陵苑 -吉州区,3室2厅 | 102.44平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,69.8,"6,814元/平"
香榭丽都 好楼层 户型南北对流 精装修 保养不错,香榭丽都 -吉州区,2室2厅 | 90.74平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 4个月以前发布,89,"9,809元/平"
满五唯一装修新，拎包去住，业主诚心卖,阳光华庭 -吉安县,3室2厅 | 120.63平米 | 南 西南 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 5个月以前发布,88,"7,296元/平"
户型方正，采光很好 拎包入住 配套齐全 小区出入方便,理想城南区 -青原区,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,89,"6,900元/平"
业主急卖，城南恒大帝景，正三房两卫，天然氧吧。,恒大帝景 -吉州区,3室2厅 | 122.3平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,13人关注 / 7个月以前发布,96,"7,850元/平"
