标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
乐园小区一区 2室1厅 南 北,乐园小区一区 -西安路,2室1厅 | 73.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,35.8,"4,851元/平"
此房南北通透五室两厅一卫楼龄新绿化好楼上两层,泽信吉府 -中海,3室1厅 | 105.31平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 11天以前发布,105.8,"10,047元/平"
视野开阔 封闭小区 交通便利 购物方便,中华景苑 -丰满二实验,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 6天以前发布,55.5,"5,187元/平"
万达商圈经  典户型  精装修  随时可看,万达·江畔华城B区 -万达广场,3室2厅 | 101.69平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 3个月以前发布,93,"9,146元/平"
中海世家 好楼层 好位置 好户型 房主认赔20,中海世家 -松花江中学,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 29天以前发布,90,"7,564元/平"
新出房源 筑石佳岸 低于小区均价急售 精装修   可贷款,筑石云 -星光江城,2室1厅 | 86.03平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 31天以前发布,42.8,"4,976元/平"
万科 尊享大平层 7.5米打开间 一天没住过,万科城 -万科城,4室2厅 | 211.81平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,2人关注 / 23天以前发布,180,"8,499元/平"
恒大华府 一楼举架高 装修好 带部分家具家电,恒大华府 -中东,3室2厅 | 145.14平米 | 南 北 | 其他 | 低楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,96.5,"6,649元/平"
碧水山城   精装小2室 支持贷款,隆泰碧水山城B区 -铁东,2室1厅 | 55平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,1人关注 / 7天以前发布,27.5,"5,000元/平"
江南 滨江公园  多层 3室 大H户型 支持贷款,高新B区 -厦门街,3室1厅 | 116平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,62.8,"5,414元/平"
地理位置优越，周 边商圈成熟，小区环境好，适宜.. 户,泊逸臺 -农林街,3室2厅 | 139.8平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,110,"7,869元/平"
依山小筑 2室1厅 东 西,依山小筑 -西安路,2室1厅 | 43平米 | 东 西 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 10天以前发布,21.8,"5,070元/平"
铁城丽景花园  多层2楼 拎包入住精装修,铁成骊景 -十一中,3室2厅 | 85.75平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,54.8,"6,391元/平"
四室两卫不把山不临街品牌精装采光好,伴山郡 -中海,4室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 19天以前发布,88.8,"6,938元/平"
盈胜毓园环境美，安静居住舒适，江边也近,盈胜毓园 -厦门街,3室2厅 | 131.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,115,"8,730元/平"
