标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
阳光城巴塞 三室南北两卫 地铁口 带车位,阳光城壹号巴塞阳光 -秦都区,3室2厅 | 126.21平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 28天以前发布,192,"15,213元/平"
中华路地铁口 华电西区简装两室诚心出售 钥匙在手,华电西区 -秦都区,2室1厅 | 62.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2天以前发布,51,"8,193元/平"
联排中户，已搭 建，随时可看，价位可谈,阳光城上林府 -秦都区,4室3厅 | 169.61平米 | 南 | 毛坯 | 低楼层(共5层)  | 暂无数据,1人关注 / 29天以前发布,399,"23,525元/平"
南北，格局好，诚心出售，近地铁口,丽彩金寓良苑 -秦都区,2室2厅 | 94.4平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 21天以前发布,83,"8,793元/平"
小区经典户型，四室南北通透！！！,中华小区 -秦都区,4室2厅 | 123.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,115,"9,338元/平"
中间楼层，采光好，房屋宽敞，户型方正,玉珠楼小区 -秦都区,3室2厅 | 111.13平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,65,"5,850元/平"
秦皇路中段。庆利苑、.86.45平米。75万、,庆利苑 -秦都区,2室2厅 | 86.45平米 | 东南 南 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 24天以前发布,71,"8,213元/平"
沈家小区 少有二层毛坯房 近实验 适合家有老人 有钥匙,沈家小区 -秦都区,2室1厅 | 49平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,43,"8,776元/平"
万达商圈 多层两室 楼层好户型端正,航院小区 -秦都区,2室2厅 | 81.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 11天以前发布,46,"5,666元/平"
精装一室。拎包入住，适合养老，出租,丽彩怡和润源 -秦都区,1室1厅 | 44.45平米 | 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 7天以前发布,43.6,"9,809元/平"
聆水居 不错的两室户型好南侧大落地窗,聆水居 -秦都区,2室1厅 | 72.33平米 | 东 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,89.4,"12,361元/平"
