标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
哈西 华润凯旋门 毛坯 楼层好 业主诚心出售,华润·凯旋门 -哈西商圈,3室1厅 | 104.12平米 | 南 | 其他 | 32层  | 板楼,9人关注 / 一年前发布,155,"14,887元/平"
南岗区 学府路 地铁好房 哈西 枫蓝国际 业主诚心出售,枫蓝国际 -哈西商圈,2室1厅 | 74.24平米 | 西 | 精装 | 33层  | 板楼,6人关注 / 6个月以前发布,78,"10,507元/平"
哈西 学苑嘉园 复旦街 两室明厅 地铁口好房 业主急售,学苑嘉园 -哈西商圈,2室1厅 | 118.95平米 | 南 北 | 简装 | 中楼层(共25层)  | 板塔结合,11人关注 / 一年前发布,120,"10,089元/平"
地铁 婚装大两室 南北通透 精装修 支持贷款,枫蓝国际 -哈西商圈,2室1厅 | 114.43平米 | 南 北 | 精装 | 32层  | 板楼,2人关注 / 2个月以前发布,130,"11,361元/平"
中海寰宇天下，二期，俩室南北通透，A户型看房方便,中海寰宇天下 -群力新区,2室1厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,42人关注 / 一年前发布,106,"11,911元/平"
会展商圈 拎包入住 采光好 看房方便,红平小区 -先锋路商圈,2室1厅 | 75平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,3人关注 / 5个月以前发布,66.5,"8,867元/平"
滨江凤凰城  两室一厅  私产有证,滨江凤凰城 -玛克威,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 7个月以前发布,49,"8,910元/平"
错过拍大腿 两室明厅 东西向 看房方便,恒泰嘉园 -哈南商圈,2室1厅 | 89.31平米 | 南 东 西 | 简装 | 高楼层(共7层)  | 板楼,23人关注 / 2个月以前发布,19.8,"2,217元/平"
安定街 2室1厅 南 北,安定街 -安字片,2室1厅 | 53.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,45.8,"8,517元/平"
08年两室明厅76.8米仅售77万,报达文化嘉园第一期 -工农大街,2室1厅 | 76.8平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,19人关注 / 一年前发布,59.8,"7,787元/平"
恒盛家花园两室明厅 采光好 南向 满2年,恒盛皇家花园 -群力新区,2室1厅 | 92.09平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,119.8,"13,010元/平"
共乐小区  96年  可公积金  可拎包入住,共乐小区 -公路大桥,2室1厅 | 53.29平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,33,"6,193元/平"
金安三室明厅好楼层通透户型精装修格局板正,金安·向日葵 -群力新区,3室2厅 | 135.35平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,10人关注 / 一年前发布,245,"18,102元/平"
天鹅湾 2室1厅 南 北,天鹅湾 -群力新区,2室1厅 | 101平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,14人关注 / 5个月以前发布,130,"12,872元/平"
果园星城C区 2室1厅 南 北,果园星城C区 -安埠商圈,2室1厅 | 69.57平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,61.7,"8,869元/平"
群力商圈 两室一厅 南北通透  电梯高层,天薇丽景园 -工农大街,2室1厅 | 86.58平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,21人关注 / 11个月以前发布,87.5,"10,107元/平"
群力 恒盛豪庭 中间位置 封闭小区 视野开阔,恒盛豪庭 -群力新区,1室1厅 | 51平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,51人关注 / 一年前发布,43,"8,432元/平"
恒盛豪庭 一室一厅 楼层好 采光好,恒盛豪庭 -群力新区,1室1厅 | 57.19平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,27人关注 / 一年前发布,49.3,"8,621元/平"
会展商圈 公园丽景大户型 南北通透 精致装修 三室,公园丽景(南岗区) -南岗会展商圈,3室1厅 | 185.39平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 16天以前发布,246,"13,270元/平"
两室一厅 低楼层 年限新 近地铁 出行生活方便,沙曼小区二街区 -师大附小沙曼小区,1室1厅 | 48.11平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,38.8,"8,065元/平"
封闭小区出门地铁南北通透房屋精装拎包住看房方便,三辅三道街27号 -菜艺商圈,3室2厅 | 139.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,115,"8,252元/平"
出售群力东区恒大帝景小区158米大平层精装修可贷款,恒大帝景 -群力新区,4室1厅 | 157.54平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 11天以前发布,186,"11,807元/平"
北兴教育园高层东西通透两室一厅高装封闭小区,北兴教育园B区 -阿拉伯广场,2室1厅 | 95平米 | 东 西 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 5天以前发布,86,"9,053元/平"
安埠小区北区5楼两室明厅精装修49米38.8万可公积金,安埠小区北区 -安埠商圈,2室1厅 | 49.07平米 | 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,38.8,"7,908元/平"
六顺街两室一厅，交通好屋内干净整洁采光充足视。,六顺街 -菜艺商圈,2室1厅 | 72.03平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,43.8,"6,081元/平"
此房位置好 采光好 精装修 南北通透户型,东方哥德堡 -哈尔滨新区,2室1厅 | 98.01平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,49,"5,000元/平"
香庆街 2室1厅 西,香庆街 -尚志公园,2室1厅 | 56.85平米 | 西 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,46.8,"8,233元/平"
万科招商风华  下楼是公园 电梯中间楼层 视野好,万科招商二期 -动力区,3室1厅 | 138.55平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 21天以前发布,125,"9,023元/平"
哈慈商圈 2室清水房  看房方便 出行方便 中间楼层,格兰云天 -动力区,2室1厅 | 89.93平米 | 南 北 西 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,72,"8,007元/平"
两室明厅 南北通透 香安 一一六 02年房产可公积金,三辅小区(菜艺街) -菜艺商圈,2室1厅 | 126.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,97.8,"7,757元/平"
乐松健康路幸福路，健康馨苑，楼层好，采光好，格局好,健康馨苑 -动力区,2室1厅 | 120.04平米 | 东 西 北 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,92,"7,665元/平"
立汇美罗湾 2室2厅 东 南,立汇美罗湾 -动力区,2室2厅 | 79.8平米 | 东 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,51,"6,391元/平"
南直路地铁2号线 珠江俊景院内 2楼精装修,珠江小区 -菜艺商圈,3室1厅 | 97.35平米 | 东 西 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,76.5,"7,859元/平"
金色江湾一线观江大三室240米看房随时,金色江湾(松北区) -松北商圈,3室2厅 | 240平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,248,"10,334元/平"
