标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
老本拎包入住南北通透全天采光看房方便 业主急售,银城花园 -丰南区,2室1厅 | 78.1平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,41,"5,250元/平"
友谊里社区！三层！大三室！老本！无公摊！,友谊里 -路南区,3室2厅 | 118.71平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10天以前发布,163,"13,731元/平"
老本节省税费，业主着急卖，看房随时,鹭港小区 -路北区,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 6天以前发布,180,"12,858元/平"
吾悦广场 南北通可贷款中楼层采光视野不挡,金港静园 -路北区,2室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,122,"12,843元/平"
21小区 2室2厅 南 北,21小区 -丰润区,2室2厅 | 97.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,88,"9,039元/平"
凤凰园 2室2厅 南,凤凰园 -路北区,2室2厅 | 92.75平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,1人关注 / 8天以前发布,100,"10,782元/平"
楼间距宽，采光好，南北通透，楼间距宽，南北通透,新世界水景花苑 -丰南区,3室2厅 | 122.71平米 | 南 北 | 精装 | 高楼层(共10层)  | 板塔结合,0人关注 / 8天以前发布,67,"5,461元/平"
南新道旁  福乐园  南北通两居  老本可贷款,常泰里福乐园 -路南区,2室2厅 | 70平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6天以前发布,65,"9,286元/平"
房子是商品房，70年产权，现在是老本了过户费低,白石家园 -丰南区,2室2厅 | 86.82平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 17天以前发布,54.5,"6,278元/平"
景泰怡景文园 2室1厅 南 北,景泰怡景文园 -路北区,2室1厅 | 89.78平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,133,"14,814元/平"
房子是南北通透的三居室，全明格局，带地下室有车位。,鹭港小区 -路北区,3室1厅 | 117.5平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,155,"13,192元/平"
老本唯一，精装修，楼层好，全天采光，诚心出售。,丽水馨苑 -丰南区,3室2厅 | 114.64平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,8人关注 / 10个月以前发布,73,"6,368元/平"
都市花园的户型好  三室两厅两卫,都市花园小区 -高新区,3室2厅 | 122.41平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,165,"13,480元/平"
锦绣天地 3室2厅 南 北,锦绣天地 -丰南区,3室2厅 | 104.03平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,16人关注 / 8个月以前发布,92,"8,844元/平"
老本 楼龄新 精装修 房主诚意出售,鹭港小区 -路北区,3室2厅 | 132.77平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,55人关注 / 一年前发布,175,"13,181元/平"
凤凰园楼层好2室位置好交通发达配套齐全可贷款！！！,凤凰园 -路北区,2室1厅 | 81.25平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 10个月以前发布,105,"12,924元/平"
此房老本不唯一，南北通，三局好户型，有地下室 车位,碧玉华府 -路北区,3室2厅 | 146.7平米 | 南 北 | 简装 | 高楼层(共19层)  | 板塔结合,15人关注 / 一年前发布,190,"12,952元/平"
