标题,开发商,房子信息,发布信息,售价/万,单价
万达商圈，毛坯房，满两年，带车位，采光好，诚心出售,路劲金茂府 -南湖区,3室2厅 | 105.04平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 7天以前发布,260,"24,753元/平"
幸福高品质物业，精致，小区环境优美，视觉广阔,孔雀城学府澜湾 -嘉善县,3室1厅 | 87.52平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 7天以前发布,145,"16,568元/平"
带电梯，小区中间位置，带汽车位，无户口，钥匙在店,望湖名都 -南湖区,3室2厅 | 118.8平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 6天以前发布,330,"27,778元/平"
此房楼层好，视野宽阔，采光充足，房子保养好，诚心卖,恒大绿洲 -秀洲区,4室2厅 | 159.76平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 5天以前发布,185,"11,580元/平"
带自行车库，好楼层，单价低，拎包入住。,文华路 -桐乡市,3室2厅 | 147平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,137,"9,320元/平"
长三角先行示范区.中新产业园.新小区满两年税费少,旭辉梦想城 -嘉善县,3室2厅 | 85.97平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 25天以前发布,125,"14,540元/平"
次新小区  人车分离  南北通  带车位 诚心卖 看房随时,富盛名邸 -南湖区,3室2厅 | 111.95平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 24天以前发布,210,"18,759元/平"
万达 水果市场商圈 简装 易出租 户型方正 带车位,元一柏庄二期 -南湖区,3室2厅 | 122.75平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 14天以前发布,188,"15,316元/平"
江南一品 凤鸣新六 中间楼层 带车位,江南一品 -桐乡市,3室2厅 | 125.38平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 14天以前发布,250,"19,940元/平"
房满两年，楼层好，视野开阔，采光无遮挡，看房方便，,谈公北路166弄 -嘉善县,2室1厅 | 61.1平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,80,"13,094元/平"
房东诚心出售，面积大位置好，小区绿佳,百合春天 -嘉善县,5室2厅 | 154.54平米 | 南 东南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,204,"13,201元/平"
