标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
华润五星品质 花园绿化 三室两厅两卫 采光嘎嘎的,华润海中国四期 -华润海中国,3室2厅 | 132.04平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 7天以前发布,198,"14,996元/平"
拥军小区，仓上一楼，附带仓房，看房随时,拥军小区 -站前,3室1厅 | 87.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,70,"8,000元/平"
火车站旁2楼 南北通透2室2厅 有仓房,友好街32号 -站前,2室2厅 | 84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,68,"8,096元/平"
华润洋房中间户上跃，跃层面积大采光视野好（店长推荐,华润二十四城 -泡崖四区,3室2厅 | 128.16平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 4天以前发布,290,"22,628元/平"
封闭小区，南北通透 带阳台 户型规矩 近春柳地铁站,华新苑 -侯家沟,2室1厅 | 71.12平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,95,"13,358元/平"
华润海中国十期1楼下跃 装修好 业主诚心出售,华润海中国十期 -华润海中国,3室2厅 | 108.82平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,3人关注 / 6天以前发布,235,"21,596元/平"
海航YOHO湾 标准户型 70年产权 房主诚心出售,海航YOHO湾 -倚山里,3室1厅 | 108.13平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 5天以前发布,105,"9,711元/平"
龙湖联排精装修 加车库一共328万 328万 底价报盘,龙湖滟澜山 -溪之谷,2室3厅 | 145.57平米 | 南 北 | 精装 | 4层  | 板楼 | 联排别墅 ,231人关注 / 一年前发布,285,"19,579元/平"
房主诚心出售 户型好 近花园 交通便利 精装修 地脚好,侯二小区 -侯家沟,1室1厅 | 36.89平米 | 西 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,53.5,"14,503元/平"
凤凰熙岸 次新小区 中楼层 视野开阔 精装修 南北两室,中海凤凰熙岸 -生态新城,2室2厅 | 65.18平米 | 东 南 北 | 精装 | 低楼层(共19层)  | 板楼,3人关注 / 6天以前发布,80,"12,274元/平"
开发区双D港 三室 南北 毛坯 小窑湾 轻轨 采光好 看海,光伸卧龙港湾 -金湾新城,3室1厅 | 107.99平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 13天以前发布,98,"9,075元/平"
34水仙 97年 三南卧带大客厅 单价低 一楼带院子,34中长红街 -唐山街,3室2厅 | 93.15平米 | 西南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 7天以前发布,159,"17,070元/平"
西安路罗斯福后身一楼双南向房子 带60平大院子,北昌平小区 -西安路,2室1厅 | 80.77平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 16天以前发布,120,"14,858元/平"
框架地热封闭小区 装修好 视野开阔光线充足方便看房,泡崖康顺园 -泡崖八区,1室1厅 | 53.38平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4天以前发布,72,"13,489元/平"
近早市，近医院，交通便利，配套齐全，出行方便,椒房 -金三角,2室1厅 | 60.75平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,82,"13,498元/平"
湾里南小区南向一室楼层好采光好，装修保持好,湾里南小区 -金湾新城,1室1厅 | 47.26平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 7天以前发布,44.2,"9,353元/平"
亿达蓝筹海精装南北通厅通透两室采光好位置好诚心出售,亿达蓝筹海 -金湾新城,2室2厅 | 118.1平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 6天以前发布,90,"7,621元/平"
南北楼层好，视野宽阔，采光充足。,松江小区 -甘井子,2室1厅 | 53.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,70,"13,129元/平"
南北通透一室一厅住宅，无遮挡视野好配套全,东城天下 -东城,1室1厅 | 57.5平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 8天以前发布,35,"6,087元/平"
万科商圈 南北通厅 次新小区 拎包入住 有车位 落地窗,西山阳光水岸 -万科假日,2室2厅 | 89.2平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 6天以前发布,155,"17,377元/平"
15年次新小区 近快轨站 近金发地批发市场 配套成熟,正源吉祥e家祥福园 -城润,3室1厅 | 85.98平米 | 南 西 北 | 简装 | 低楼层(共32层)  | 板楼,1人关注 / 11天以前发布,89.9,"10,456元/平"
倚山里精装修两室 框架 中高楼层 卧室大窗户 带仓房！,倚山里小区 -倚山里,2室1厅 | 72.81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,66.6,"9,148元/平"
金润小区A区 多层框架 五楼 交通方便 位置好,金润小区A区 -金润,2室1厅 | 53.3平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4天以前发布,53,"9,944元/平"
Mini印象 七贤岭地铁口 步行万达 70年产权 可用公积金,MINI印象 -高新园区,1室1厅 | 51.15平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 6天以前发布,70,"13,686元/平"
地铁  小区位置好 户型规整 80平大花园,电业逸彩园 -马栏,3室2厅 | 124.75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 11天以前发布,220,"17,636元/平"
门店推荐 ！房主急售 近轻轨 3室精装修！,新希望乐城 -城润,3室1厅 | 86.7平米 | 南 西 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 8天以前发布,78.6,"9,066元/平"
婚房精装修 采光好  视野好 拎包入住,山河御景 -金湾新城,2室1厅 | 73.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4天以前发布,69.8,"9,483元/平"
大有恬园一期 前排 高楼层视野好 全体采光 随时看,大有恬园 -凌水,2室2厅 | 70.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,135,"19,179元/平"
亿锋 三室 带独立走廊  实木装修 保持好,亿锋广场一期 -亿锋,3室2厅 | 97.15平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 4天以前发布,155,"15,955元/平"
中间楼层 采光好 小区前排 户型格局方正,乾豪欢乐颂 -金湾新城,2室1厅 | 72.05平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 5天以前发布,69,"9,577元/平"
西山园中园 标准一室一厅 封闭小区 南向,西山园中园 -南沙,1室1厅 | 52.59平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 6天以前发布,126,"23,959元/平"
三鼎花园电梯洋房三室两厅两卫，双南卧。,三鼎春天A区 -第五郡,3室2厅 | 116.39平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 9天以前发布,299,"25,690元/平"
跃层南北通厅通透 落地大窗 采光视野好 绿树园林小区,华丽山庄 -二七,2室1厅 | 141.1平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 7天以前发布,260,"18,427元/平"
