标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园 3室2厅 南 北,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2天以前发布,116,"9,355元/平"
红桥南面 毛坯房 三室两厅一厨一卫 小区环境好,天庆嘉园 -秦州区,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,1人关注 / 4个月以前发布,136,"10,462元/平"
万达天御二期现房125平  可按揭,天水万达广场 -万达,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,140,"11,200元/平"
景园水岸都市 三室两厅 中间楼层 诚心出售,景园水岸都市 -伏羲庙,3室2厅 | 117.32平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 暂无数据,4人关注 / 一年前发布,120,"10,229元/平"
长开小区、*大两室、满五、上学方便、可按揭可全款,长开小区 -七里墩,2室2厅 | 114.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,93,"8,113元/平"
七里墩长开小区，小区配套成熟，环境舒适,长开小区 -七里墩,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,98,"8,522元/平"
和谐家园三室两厅两卫精装修，看房提前预约,和谐家园(孙家坪路) -七里墩,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 4天以前发布,95,"7,422元/平"
新房现房  地段好 教育资源近  随时看房,如意苑 -七里墩,3室2厅 | 124.5平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 3天以前发布,100,"8,033元/平"
：现房，方正户型，南北通透，三室满足一家三代入住，,长开小区 -七里墩,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,85,"7,392元/平"
坚家河景园水岸都市  电梯房三居室  诚心出售 可议价,景园水岸都市 -伏羲庙,3室2厅 | 122.26平米 | 南 北 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 7天以前发布,112,"9,161元/平"
福迪瑞福  交通方便  有市菜市场  地理位置好,福迪瑞府 -秦州区,4室2厅 | 159.23平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 3天以前发布,175,"10,991元/平"
