标题,开发商,房子信息,发布信息,售价/万,单价
精装联排  拎包入住  随时看房   业主急售,香海花園 -张家窝,3室3厅 | 322.06平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,5人关注 / 30天以前发布,400,"12,421元/平"
此房面积大采光好，总价低，交通便利,采油小区 -大港,2室1厅 | 72.82平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,21.6,"2,967元/平"
生态城 叠拼别墅 上叠 位置好 使用面积大,世茂国风锦唐 -中新生态城,3室2厅 | 144.7平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,37人关注 / 一年前发布,240,"16,587元/平"
电梯房，低楼层，无遮挡，私产满五唯一，三片西康路,三乐里 -新兴街,1室1厅 | 49.07平米 | 西 | 简装 | 低楼层(共24层)  | 板塔结合,4人关注 / 22天以前发布,246,"50,133元/平"
此房满两年，低楼层，采光充足，配套实施完善,天物郁江溪岸 -尖山,3室1厅 | 119.1平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 7天以前发布,450,"37,784元/平"
金地艺城华府 一跃二洋房带院，诚意出售,金地艺城华府北泽雅居 -宜兴埠,4室1厅 | 132.19平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,89人关注 / 6个月以前发布,259,"19,594元/平"
世茂玖熙，南北通透，改善三室，采光无遮挡，诚心出售,世茂玖熙 -中新生态城,3室2厅 | 116.79平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4天以前发布,200,"17,125元/平"
月光园电梯洋房 环境好 一梯两户品质高  落地窗采光好,城市之光月光园 -春华街,3室2厅 | 143.06平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,9人关注 / 22天以前发布,440,"30,757元/平"
户型好，落地窗，采光无遮挡，业主诚心卖,云华里 -华苑,3室1厅 | 115.72平米 | 东南 | 简装 | 中楼层(共12层)  | 板塔结合,4人关注 / 7天以前发布,288,"24,888元/平"
1号线次新房，中间楼层视野采光好,盛庭豪景 -北仓镇,2室1厅 | 79.81平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 7天以前发布,129,"16,164元/平"
外环内 两梯四户楼龄新 业主诚意出售 价位合适 户型好,汇海南里 -万新街,2室1厅 | 97.37平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 3天以前发布,108,"11,092元/平"
"满五唯一,采光无遮挡，双地铁，水上旁，次顶",科海里 -水上公园街,3室1厅 | 117.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 29天以前发布,295,"25,212元/平"
福安里 精装修 南北通透  一楼 采光无遮挡 看房有钥匙,福安里(塘沽区) -新村街,1室1厅 | 39.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,132,"33,258元/平"
万科物业 户型方正满五唯一 精装业主诚售 价格可议,仕林苑 -双港,2室1厅 | 80.43平米 | 东北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 16天以前发布,147,"18,277元/平"
仁恒海和院文熙花园 3室2厅 南 北,仁恒海和院文熙花园 -咸水沽,3室2厅 | 125.85平米 | 南 北 | 毛坯 | 11层  | 板塔结合,0人关注 / 12天以前发布,290,"23,044元/平"
宝龙南苑 一梯一户 视野宽阔，采光充足，交通便利,宝龙南苑 -中新生态城,3室2厅 | 112.53平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 13天以前发布,120,"10,664元/平"
三水片汉江里一楼，精装修进出方便,汉江里 -东海街,1室1厅 | 34.92平米 | 东北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 4天以前发布,122,"34,937元/平"
联发品质，两室一楼带院子，物业好,联发欣悦学府 -北塘街,2室1厅 | 75.38平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,95,"12,603元/平"
天津 宝坻 城南小三室 金地新城大境 户型好 位置好,金地·新城大境 -潮阳大道,3室2厅 | 92.39平米 | 南 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 11天以前发布,90,"9,742元/平"
瑞地里 3室1厅 南 北,瑞地里 -水上公园街,3室1厅 | 91.22平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 9天以前发布,250,"27,407元/平"
此房南北通透，格局好，大两室两厅两卫，户型不多见,世富嘉园 -第二大街,2室2厅 | 135.48平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 9天以前发布,233,"17,199元/平"
此房过五年 交通方便 文明里菜市场 公交站 精装,华蓉里 -杭州道,2室1厅 | 53.01平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,71,"13,394元/平"
明园里，满五唯一，四楼，带客厅，看房方便,明园里 -王顶堤,1室1厅 | 45.15平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,106,"23,478元/平"
和平区 天赐园 优质改善小区 南北通透四室,天赐园 -南营门街,4室2厅 | 189.11平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,1人关注 / 6天以前发布,890,"47,063元/平"
新上好房 精装修 地采暖 小区好位置 地铁50米 急售,日华里 -华苑,3室2厅 | 112.18平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 29天以前发布,278,"24,782元/平"
河西的房子为什么单价这么便宜呢？还是170平米呀！,富润里 -天塔街,4室2厅 | 170.01平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 9天以前发布,275,"16,176元/平"
