标题,开发商,房子信息,发布信息,售价/万,单价
美的三期，环境好，适合老人小孩居住,美的蝴蝶海三期 -梅山岛,2室2厅 | 79.58平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,10人关注 / 7个月以前发布,89,"11,184元/平"
下应街道颜值代表 次新小区 品质居住 大四房开阔视野,融创涌宁府 -下应,4室1厅 | 139.78平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 11天以前发布,470,"33,625元/平"
精装修标准， 标备齐全。还有全屋地暖,瀚宁府 -庄市,3室2厅 | 119.32平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 6天以前发布,369,"30,926元/平"
小区安静，，配套成熟 生活便利,东庭名苑 -云龙,4室1厅 | 127.89平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 5天以前发布,199,"15,561元/平"
业主诚心卖，价格可以沟通，看房也很方便的，楼层好,中基理想城 -钟公庙,3室1厅 | 101.42平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,270,"26,622元/平"
中河丽园  三室两厅一卫一厨.........,中河丽园 -大碶,3室2厅 | 109.58平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,208,"18,982元/平"
江景房 带车位 满二新小区 观景双阳台 好楼层视野好,聚江苑 -杭州湾新区,3室2厅 | 101.59平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,102,"10,041元/平"
水木年华苑 3室1厅 东南,水木年华苑 -集士港,3室1厅 | 100.71平米 | 东南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 8天以前发布,199,"19,760元/平"
此小区位置好，户型好，楼层好，出行方便，配套成,汀香苑 -杭州湾新区,3室2厅 | 147.22平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 10天以前发布,115,"7,812元/平"
阳光城君望府 3室2厅 南,阳光城君望府 -横街,3室2厅 | 107.44平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 4天以前发布,210,"19,546元/平"
此房三开间朝南 户型方正 楼层好 视野开阔 日照时间长,景瑞望府 -姜山,3室1厅 | 87.98平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 31天以前发布,232,"26,370元/平"
急售都市南山三房 前面无遮挡 精装修 拎包入住 有钥匙,都市南山 -姜山,3室2厅 | 75.66平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,205,"27,095元/平"
