标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
金山华府，毛坯三房一卫，南北通透，视野好,金山华府 -未知商圈,3室2厅 | 117.48平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,40,"3,405元/平"
绿地四期卢浮公馆 3室1厅 南 北,绿地四期卢浮公馆 -龙狮桥乡,3室1厅 | 126.53平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 30天以前发布,110,"8,694元/平"
大发四期 毛坯房 中间楼层双阳台 满二 有钥匙随时看,大发宜景城四期 -龙狮桥乡,2室1厅 | 88.7平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,51,"5,750元/平"
1号公园精装三房 拎包入住 满两年 中层 随时看房诚售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 9天以前发布,61.8,"6,372元/平"
置地天玺 4室2厅 西南,置地天玺 -龙狮桥乡,4室2厅 | 129.2平米 | 西南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,160,"12,384元/平"
新上好房 配套成熟商圈 地理位置优越 交通便利,恒大绿洲 -龙狮桥乡,3室2厅 | 104.01平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 20天以前发布,89,"8,557元/平"
安庆碧桂园·长江万里 3室2厅 南,安庆碧桂园·长江万里 -龙狮桥乡,3室2厅 | 130.74平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 11天以前发布,76,"5,814元/平"
1号公园精装三房 户型方正 满两年 房东急售 随时看房,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.62平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,3人关注 / 一年前发布,75.8,"5,804元/平"
万达商圈精装证满通透三室  诚心急售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,25人关注 / 一年前发布,71,"6,340元/平"
林语堂3期 飞机户前后无遮挡视野开阔 一梯两户公摊小,宜海林语棠三期 -龙狮桥乡,3室2厅 | 127.36平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,113.5,"8,912元/平"
碧桂园三层顶墅 精装修 满二 大平台6米挑高大厅,碧桂园1号公园 -龙狮桥乡,6室4厅 | 306.33平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,31人关注 / 一年前发布,278,"9,076元/平"
山水云间 证满五唯一  户型方正 两房朝南,碧桂园山水云间 -龙狮桥乡,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,3人关注 / 一年前发布,78,"5,653元/平"
1号公园 精装修三房 中高楼层 全天采光 前后无遮挡,碧桂园1号公园 -龙狮桥乡,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,6人关注 / 一年前发布,77,"5,878元/平"
滨江CBD 公园旁 中间楼层大三房 土地出让金已交,水岸花都 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,67.5,"5,400元/平"
业主20万装修未住过，21楼，南北直通厅，边户，碧桂园,碧桂园1号公园 -龙狮桥乡,3室1厅 | 111平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 21天以前发布,95.8,"8,631元/平"
滨江CBD，全新毛坯，新交付好房,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 141.91平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,125,"8,809元/平"
安庆东部新城配套齐全，交通方便，生活便捷,安庆苏宁悦城 -龙狮桥乡,4室2厅 | 139.5平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,126,"9,033元/平"
安庆东部新城成熟商圈，配套齐全,逸龙新河湾 -龙狮桥乡,3室2厅 | 125.16平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,124,"9,908元/平"
天下名筑纯毛坯3房  小区环境优美  采光好,天下名筑 -老峰镇,3室2厅 | 111.5平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,19人关注 / 一年前发布,70,"6,279元/平"
房子精装修，有大平台，采光视野无遮挡，满五唯一,绿地二期巴赫公馆 -龙狮桥乡,3室1厅 | 120.85平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 9天以前发布,120,"9,930元/平"
香水百合繁华地段 此房证满 视野开阔 上下两层 价可议,雨润香水百合 -龙狮桥乡,4室2厅 | 193平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 14天以前发布,145.8,"7,555元/平"
恒大绿洲 不临街 精装 大四房 单价6000+,恒大绿洲 -龙狮桥乡,4室2厅 | 157.09平米 | 南 | 精装 | 33层  | 板塔结合,3人关注 / 1个月以前发布,96.8,"6,163元/平"
安庆碧桂园钻石郡 6室1厅 南,安庆碧桂园钻石郡 -龙狮桥乡,6室1厅 | 254平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 27天以前发布,173,"6,812元/平"
置地皖江四季  经典飞机户型 南北通透 生活方便,置地皖江四季 -龙狮桥乡,3室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 25天以前发布,117,"8,479元/平"
精装好房未入住过，东边户采光视野很好,碧桂园•中梁东方印 -大桥,3室2厅 | 101.57平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 7天以前发布,65,"6,400元/平"
飞机户型，装修保养都很好，视野开阔，楼栋位置佳,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 9天以前发布,60,"6,186元/平"
1号公园精装三房 中高层 满五唯一 拎包入住 房东急售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112.63平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,75,"6,659元/平"
电梯洋房带阁楼露台，业主精心装修，拎包即住，有车位,杭派·滟澜香堤 -龙狮桥乡,3室2厅 | 103.84平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,92,"8,860元/平"
绿地四期 中楼层 独门独户 自用一部电梯 南北通透的,绿地四期卢浮公馆 -龙狮桥乡,3室2厅 | 116.19平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,13人关注 / 6个月以前发布,99,"8,521元/平"
前排、无遮挡全天候采光！视野开阔！进门处入户花园！,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 118.77平米 | 南 | 毛坯 | 18层  | 板楼,13人关注 / 一年前发布,92,"7,747元/平"
"此房不满二年，视野开阔，采光充足,中间楼层",碧桂园1号公园 -龙狮桥乡,2室2厅 | 82.9平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,36人关注 / 一年前发布,45.5,"5,489元/平"
雨润香水百合 地段好 三个阳台公摊小 洋房107平三房,雨润香水百合 -龙狮桥乡,3室2厅 | 107.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,21人关注 / 6个月以前发布,102,"9,528元/平"
房龄新，楼间距大，环境优雅，配套设施齐全,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 136.11平米 | 南 北 | 精装 | 18层  | 板楼,5人关注 / 5个月以前发布,110,"8,082元/平"
新河景观带，中上好楼层，视野开阔，全新毛坯未入住。,绿地四期卢浮公馆 -龙狮桥乡,3室2厅 | 116.48平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,96.9,"8,320元/平"
碧桂园钻石郡精装三房，全天采光，满2年，视野开阔,安庆碧桂园钻石郡 -龙狮桥乡,3室2厅 | 107.68平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,77.8,"7,226元/平"
房东诚心出售，低楼层，看房方便，采光通风很好,锦都花园 -怀宁县,3室2厅 | 136.84平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 7个月以前发布,55,"4,020元/平"
大发四期精装三房 婚房装修 拎包入住 满两年 房东急售,大发宜景城四期 -龙狮桥乡,3室2厅 | 111.36平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,83.8,"7,526元/平"
秦潭湖畔 万达旁 碧桂园山水云间 90平单价6200,碧桂园山水云间 -龙狮桥乡,2室2厅 | 90.07平米 | 南 | 简装 | 高楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,54,"5,996元/平"
房东亏40万急售！一线湖景江景房，视野好，全天采光,碧桂园凤凰湾 -龙狮桥乡,4室2厅 | 139.52平米 | 南 北 | 精装 | 高楼层(共25层)  | 平房,0人关注 / 22天以前发布,108,"7,741元/平"
公园旁的小区，楼层好，环境好，生活便利，看房有钥匙,湖滨新村 -菱湖,2室1厅 | 59.6平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 23天以前发布,38.8,"6,511元/平"
置地皖江四季 3室1厅 南 北,置地皖江四季 -龙狮桥乡,3室1厅 | 133平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 11天以前发布,125,"9,399元/平"
低楼层，户型好，采光充足，精装修保养好,东安花园 -龙狮桥乡,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,75,"7,426元/平"
吾悦广场，东边套，中间楼层，采光好，南北通透精装修,新城吾悦首府二期 -新河,3室2厅 | 122.72平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,125,"10,186元/平"
月亮城小区 3室1厅 南,月亮城小区 -玉琳路,3室1厅 | 85.86平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,76,"8,852元/平"
热电路19号 3室1厅 南 北,热电路19号 -德宽路,3室1厅 | 86.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,36,"4,153元/平"
置地皖江四季毛坯大三房中间楼层,置地皖江四季 -龙狮桥乡,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 21天以前发布,105,"8,678元/平"
此房为全新房，房间朝南，楼层好，可享受全天日照。,大发宜景城四期 -龙狮桥乡,2室2厅 | 88.95平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,4人关注 / 6个月以前发布,53,"5,959元/平"
北部新城春熙街旁  宜秀蓝湾小区,宜秀蓝湾 -北部新城,4室2厅 | 140.73平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,10人关注 / 一年前发布,71,"5,046元/平"
一号公园97平 大三房 自己装潢 诚意出售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 96.03平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,69,"7,186元/平"
红旗小区 六七复式 采光充足 户型方正 证满五年,红旗小区 -新河,3室2厅 | 110.41平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,62,"5,616元/平"
绿地一期卡莎公馆 精装修，户型视野好，采光很强,绿地一期卡莎公馆 -龙狮桥乡,2室2厅 | 82平米 | 南 北 | 精装 | 18层  | 板塔结合,0人关注 / 12天以前发布,80,"9,757元/平"
东边套，平层，绿地二期毛坯三房，诚心出售,绿地二期巴赫公馆 -龙狮桥乡,3室1厅 | 120.49平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,79,"6,557元/平"
绿地二期巴赫公馆精装三房，商圈成熟，看房方便,绿地二期巴赫公馆 -龙狮桥乡,3室2厅 | 112.89平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,90,"7,973元/平"
曙光苑景 中间楼层大三房 单价低 总价不高 大户型,曙光苑景 -新河,3室1厅 | 133平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 5天以前发布,84,"6,316元/平"
绿地四期，中高好楼层，拎包入住,绿地四期卢浮公馆 -龙狮桥乡,3室2厅 | 103.35平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,89.9,"8,699元/平"
此房已经满了五年，户型方正，精装，采光好地理位置优,林语棠一期 -龙狮桥乡,3室2厅 | 129.25平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,9人关注 / 一年前发布,90,"6,964元/平"
满五唯一，精装两房，钥匙在店，急急急卖,绿地二期巴赫公馆 -龙狮桥乡,2室1厅 | 85.97平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,72,"8,376元/平"
全新豪 华装修，中上楼层，拎包入住，业主诚出售,碧桂园1号公园 -龙狮桥乡,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 13天以前发布,80,"8,248元/平"
绿地四期毛坯房，南北通透，户型方正，采光好。,绿地四期卢浮公馆 -龙狮桥乡,3室1厅 | 107.5平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,80,"7,442元/平"
中间楼层，一梯一户，4房大平层 飞机户，贯通式的阳台,碧桂园1号公园 -龙狮桥乡,4室2厅 | 176.67平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,103,"5,831元/平"
