标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
三江新区优质三房，视野开阔无遮挡,正黄金色领地 -临港,3室2厅 | 94平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,10人关注 / 一年前发布,78.8,"8,383元/平"
锦绣龙城大四房望中庭房东在外地发展不回四川诚心出售,锦绣龙城 -南岸西区,4室2厅 | 125平米 | 西北 | 毛坯 | 低楼层(共16层)  | 板塔结合,27人关注 / 一年前发布,148,"11,840元/平"
邦泰天誉二期清水2房2卫诚心出售,邦泰天誉二期 -南岸西区,2室1厅 | 102.44平米 | 东南 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 9个月以前发布,95,"9,274元/平"
丽雅大院精装修四室两厅两卫，未住过人，诚心出售,丽雅大院 -南岸西区,4室2厅 | 137.53平米 | 东南 | 精装 | 8层  | 板楼,0人关注 / 3个月以前发布,253.8,"18,455元/平"
公馆贰号 1室1厅 西北,公馆贰号 -南岸西区,1室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
吉祥名都大三房 配套齐全 全中庭  看房方便,吉祥名都 -南岸西区,3室1厅 | 118平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,6人关注 / 8个月以前发布,73,"6,187元/平"
标准的3室2厅1厨2卫洋房，采光好，带大露台,山水原著三期原香岭 -南岸西区,3室2厅 | 135平米 | 南 | 其他 | 11层  | 板塔结合,6人关注 / 一年前发布,183,"13,556元/平"
金沙尚品精装三房双卫  正看江户型 采光好,华富金沙尚品 -柏溪镇,3室2厅 | 119平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,2人关注 / 1个月以前发布,72.8,"6,118元/平"
精装三房  漂亮温馨 拎包可入住,山水原著二期缇香湾 -南岸西区,3室2厅 | 105平米 | 东南 南 | 其他 | 低楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,128,"12,191元/平"
西区双公园，底跃大户型精装房，小区安静典雅,锦绣龙城 -南岸西区,6室3厅 | 119.68平米 | 西南 | 精装 | 低楼层(共16层)  | 板塔结合,8人关注 / 一年前发布,239,"19,970元/平"
急售丨观山观江丨围合式中庭丨新装修,江源半岛 -南岸东区,4室2厅 | 138.85平米 | 北 | 精装 | 中楼层(共21层)  | 暂无数据,14人关注 / 一年前发布,128.8,"9,277元/平"
莱茵河畔跃层，实得150平，钥匙在手 看房方便。,莱茵河畔-丽江湾 -南岸东区,4室2厅 | 106平米 | 北 | 其他 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,128,"12,076元/平"
鑫空间精装四连跃花园带露台使用面积大,鑫空间 -南岸西区,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共22层)  | 暂无数据,18人关注 / 一年前发布,112.8,"12,675元/平"
金江春天精装房带全实木家具拧包入住,金江春天 -柏溪镇,3室2厅 | 89.52平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,5人关注 / 一年前发布,83,"9,272元/平"
花草树木身边绕，安静舒适之家，,城中央-培根小镇 -城北新区,2室2厅 | 81.69平米 | 东南 | 其他 | 低楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,52.6,"6,439元/平"
财 富 中 心 简约风格大五室，顶楼跃层带花园,天府映像 -南岸西区,5室2厅 | 190.62平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,12人关注 / 9个月以前发布,138.8,"7,282元/平"
老城区四合小院三房两厅带花园拎包入住,东街17号小区 -老城区,3室2厅 | 96.36平米 | 东南 | 简装 | 低楼层(共2层)  | 暂无数据,5人关注 / 一年前发布,93,"9,652元/平"
鑫嘉园三室两厅精装带水循环地暖、中.央空调 人车分流,鑫嘉园 -南岸西区,3室2厅 | 134.83平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,5人关注 / 一年前发布,118,"8,752元/平"
前看三江口 合江门夜景，背后看整个南岸，业主急卖,华侨城纯水岸 -南岸东区,4室2厅 | 163.57平米 | 南 | 毛坯 | 高楼层(共44层)  | 板塔结合,1人关注 / 22天以前发布,178,"10,883元/平"
临港翡翠城 清水房 3房2卫 中庭 中高楼层 无遮挡,白沙翡翠城 -临港,3室2厅 | 89平米 | 西南 | 其他 | 高楼层(共17层)  | 塔楼,4人关注 / 一年前发布,78.8,"8,854元/平"
城北新区凯悦金沙旁毕加索精装两房急售，拎包入住,城中央-毕加索庄园 -城北新区,2室2厅 | 67.66平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,17人关注 / 一年前发布,50,"7,390元/平"
精装三房家具家电齐全带车位房东诚心出售随时可看房,德福名城 -城北新区,3室2厅 | 100.47平米 | 东 | 其他 | 中楼层(共25层)  | 塔楼,5人关注 / 一年前发布,84,"8,361元/平"
地中海蓝湾 精装3房 带家具家电 一起出售 价格可谈,地中海蓝湾 -临港,3室2厅 | 124平米 | 西南 | 其他 | 低楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,115.08,"9,281元/平"
西区洋房四连跃前后花园围绕实的得三百多平小洋房,山水原著三期原香岭 -南岸西区,6室3厅 | 122.79平米 | 东南 | 精装 | 7层  | 板塔结合,13人关注 / 一年前发布,248,"20,198元/平"
急售 精装三房双卫 全朝中庭  满两年税少,天立学府华庭 -临港,3室2厅 | 95.93平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,93.8,"9,778元/平"
山水原著精装4室2厅2卫临东方时代广场急卖 拎包入住,山水原著一期溢香谷 -南岸西区,4室2厅 | 74.47平米 | 南 | 其他 | 高楼层(共30层)  | 塔楼,9人关注 / 一年前发布,116.6,"15,658元/平"
临港新小区 精装四房 另带子母车位 视野开阔,临港中央 -临港,4室2厅 | 134.41平米 | 东南 | 其他 | 高楼层(共29层)  | 板楼,3人关注 / 一年前发布,139.8,"10,402元/平"
邦泰泰国际 跃层房 总共3层    精装房 带家具家电出售,邦泰临港国际 -临港,5室3厅 | 71平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,7人关注 / 一年前发布,124,"17,465元/平"
南岸沃尔玛旁 四房带家具家电出售 出行购物方便,汇东小区 -南岸东区,4室2厅 | 142.36平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,82.8,"5,817元/平"
莱茵河畔雪绒花园精致3房诚意出售带车位,莱茵河畔-雪绒花园 -南岸东区,3室2厅 | 126.87平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,13人关注 / 一年前发布,124.8,"9,837元/平"
临港中央精装三房，直接拎包入住,临港中央 -临港,3室1厅 | 85.38平米 | 西南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 2天以前发布,86.8,"10,167元/平"
南岸西区独栋别墅中式装修风格带前后大花园,碧水山庄 -南岸西区,6室3厅 | 473平米 | 东南 | 精装 | 低楼层(共1层)  | 暂无数据,0人关注 / 3个月以前发布,880,"18,605元/平"
临三江！纯中式装修！身入其中！有吟诗作画的冲动！,戎州花园 -南岸东区,5室2厅 | 277平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,32人关注 / 一年前发布,279.8,"10,102元/平"
宜都崇文小区楼梯两房，出行方便，居住舒适,宜都崇文小区 -南岸西区,2室2厅 | 87.06平米 | 西南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 11个月以前发布,65.8,"7,559元/平"
万达旁，中间楼层，视野采光好，户型端正，单价便宜,绿洲家园二期 -南岸东区,3室2厅 | 147平米 | 东北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,99.8,"6,790元/平"
房东诚意出售梁雁河湾住房一套。,梁雁河湾 -上江北,4室2厅 | 130.68平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,1人关注 / 一年前发布,70,"5,357元/平"
标准精装两室，满两年.业主诚心出售,龙源府邸 -南岸西区,2室1厅 | 75.86平米 | 东南 | 其他 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,92.5,"12,194元/平"
山水原著精装三房、格局清晰楼层好、看七星山,山水原著二期缇香湾 -南岸西区,3室2厅 | 107.5平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,9人关注 / 10个月以前发布,126,"11,721元/平"
离柏小，育才私立只有20米，离菜市场50米,正街庆兴园小区 -柏溪镇,3室2厅 | 100.9平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,58.8,"5,828元/平"
格局，楼层好，视野宽阔，采光充足.出行方便,莱茵河畔-西湖湾 -南岸东区,2室2厅 | 102.15平米 | 东南 | 其他 | 高楼层(共19层)  | 板塔结合,8人关注 / 一年前发布,96.8,"9,477元/平"
鑫嘉园顶楼跃层，带露台，视野开阔，,鑫嘉园 -南岸西区,6室1厅 | 175平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,180,"10,286元/平"
，鑫悦湾 好的户型，家具保养好,鑫悦湾 -南岸西区,4室2厅 | 136平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,120,"8,824元/平"
邦泰天誉一期清水4房，房东诚心卖，看房方便，,邦泰天誉一期 -南岸西区,4室2厅 | 139.6平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,155,"11,104元/平"
莱茵河畔豪 装大四房价格带车位，诚心出售,莱茵河畔-阳光半岛 -南岸东区,4室2厅 | 134平米 | 北 | 精装 | 中楼层(共25层)  | 板塔结合,10人关注 / 一年前发布,177,"13,209元/平"
丽雅龙城精装大3室，看中庭看江视野好,丽雅龙城 -南岸西区,3室2厅 | 138平米 | 北 | 精装 | 高楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,220,"15,943元/平"
北新公馆客厅带3.9米大阳台，视野开阔，舒适阳光房,经典北新公馆 -城北新区,3室2厅 | 90.2平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,58.6,"6,497元/平"
天誉一期 洋房区 清水房出售，五室三卫，地理位置优越,邦泰天誉一期 -南岸西区,5室2厅 | 171.07平米 | 西南 | 毛坯 | 高楼层(共9层)  | 暂无数据,2人关注 / 一年前发布,216,"12,627元/平"
塞纳国际三室两厅两卫全自主装修,塞纳国际三期 -新村,3室2厅 | 103.3平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,59.9,"5,799元/平"
金江外滩清水大三室两厅两卫单价6900,金江外滩B区 -柏溪镇,3室2厅 | 97.6平米 | 西南 | 毛坯 | 中楼层(共26层)  | 平房,29人关注 / 一年前发布,68,"6,968元/平"
全中庭位置，四房，带车位加库房，楼层高，正中间位置,丽雅大院 -南岸西区,4室2厅 | 156平米 | 东南 | 简装 | 7层  | 板楼,10人关注 / 11个月以前发布,236,"15,129元/平"
碧水长滩洋房清水四房电梯入户，带产权车位出售,阳光碧水长滩 -新村,4室2厅 | 113.85平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,105,"9,223元/平"
拉菲中间楼层大两室首付19万，业主急售,拉菲-好望山 -城北新区,2室2厅 | 85.59平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,57,"6,660元/平"
宜都花园 3室2厅 南 西南,宜都花园 -南岸东区,3室2厅 | 114平米 | 南 西南 | 其他 | 中楼层(共11层)  | 塔楼,2人关注 / 一年前发布,118,"10,351元/平"
临港长江桥头太阳岛三房两厅一厨双卫,太阳岛 -临港,3室2厅 | 108.42平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,78,"7,195元/平"
华彩城全中庭两室，采光楼层巴适。,华泓华彩城 -上江北,2室2厅 | 60.41平米 | 西南 | 其他 | 高楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,66.5,"11,009元/平"
南岸东区 莱茵河畔 西湖湾三房出售，周 边配套齐全,莱茵河畔-西湖湾 -南岸东区,3室2厅 | 104.38平米 | 东 | 其他 | 高楼层(共19层)  | 板塔结合,9人关注 / 一年前发布,105,"10,060元/平"
莱茵-月光半岛（豪 装）可拎包入住全进口家私,莱茵河畔-月光半岛 -南岸东区,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,168,"12,825元/平"
金帝庄园大阳台，位置看江看中庭,正和金帝庄园B区 -中坝,3室2厅 | 135平米 | 东南 | 其他 | 低楼层(共27层)  | 暂无数据,9人关注 / 一年前发布,128,"9,482元/平"
航天小区方正两室诚心出售带家具家电,航天小区 -南岸东区,2室1厅 | 62.04平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,41.8,"6,738元/平"
鲁能.峯景清水大四房临公园，价格带车位，看房有钥匙,鲁能峯璟 -南岸西区,4室2厅 | 135.5平米 | 东北 | 毛坯 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,135,"9,964元/平"
大地坡邦泰天誉二期，大三房，采光好，视野开阔,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 西南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,138,"11,312元/平"
南岸西区碧峰园6跃7户型出售 ~~,碧峰园 -南岸西区,4室2厅 | 233平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,17人关注 / 一年前发布,130,"5,580元/平"
南岸西区鑫领寓一楼带可使用花园,鑫领寓 -南岸西区,3室2厅 | 115.48平米 | 东南 | 其他 | 低楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,106,"9,180元/平"
邦泰天誉 清水即买即装修 小区环境优美 临春天里,邦泰天誉一期 -南岸西区,5室2厅 | 165平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,3人关注 / 一年前发布,180,"10,910元/平"
滨江国际，简装三房双证齐全，看房方便！！,正和滨江国际A区 -中坝,3室2厅 | 113.5平米 | 西南 | 其他 | 中楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,88.2,"7,771元/平"
邦泰天誉二期双阳台大3房带车位,邦泰天誉二期 -南岸西区,3室2厅 | 121平米 | 北 | 其他 | 中楼层(共17层)  | 塔楼,1人关注 / 一年前发布,130,"10,744元/平"
鑫菁英精装三房 视野开阔 楼层好 大地坡 丽雅,鲁能鑫菁英 -南岸西区,3室2厅 | 112.29平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,105,"9,351元/平"
大地坡邦泰天誉带车位毛胚高楼层大阳台电梯入户,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 11个月以前发布,147,"12,050元/平"
西区 邦泰天誉二期4室2厅2卫  139平方,邦泰天誉二期 -南岸西区,4室1厅 | 139平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 11个月以前发布,140,"10,072元/平"
金帝庄园少有的空中别墅，中间楼层，,正和金帝庄园B区 -中坝,5室3厅 | 415平米 | 西南 | 其他 | 高楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,398,"9,591元/平"
莱茵河畔全新装修带双露台三房单卫,莱茵河畔-西湖湾 -南岸东区,3室2厅 | 104平米 | 北 | 其他 | 低楼层(共19层)  | 板塔结合,11人关注 / 一年前发布,115,"11,058元/平"
丽雅大院139户型，看中庭，户型好，实得面积大,丽雅大院 -南岸西区,4室2厅 | 139平米 | 东 | 其他 | 7层  | 板楼,20人关注 / 一年前发布,188,"13,526元/平"
