标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
精装3房直接拎包入住光线视线好,东辰心语 -中南路,3室2厅 | 95.09平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 16天以前发布,62,"6,521元/平"
水悦城民生家园 精装三房两阳台 满五看房方便大小书包,民生家园 -东山开发区,3室2厅 | 114.31平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,75,"6,562元/平"
西江康城 3室2厅 南,西江康城 -东山开发区,3室2厅 | 100.79平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 8天以前发布,59,"5,854元/平"
东郡A区精装大三房，产证满五唯一，入住不到1年,东郡A区 -五一广场,3室1厅 | 120.11平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 4天以前发布,95,"7,910元/平"
（卡哇咿）CBD华祥双子星座景观高层精装三室未入住,华祥·双子星座 -华祥,3室2厅 | 86.74平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3天以前发布,90,"10,376元/平"
秋语台 大三房 入户花园  楼层很好 房东诚心出售,兴润·秋语台 -东站,4室2厅 | 133.23平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,91.5,"6,868元/平"
水悦城 电梯中层精装大三房 85W 满五年 业主诚心急售,民生丽岛 -东山开发区,3室2厅 | 140.68平米 | 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 6天以前发布,83,"5,900元/平"
东郡B区 精装二房 满五唯一 有钥匙,东郡B区 -五一广场,2室2厅 | 83.11平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,65,"7,821元/平"
长江市场小区房精装46万 拧包入住,泉源小区 -夷陵区,2室2厅 | 96.89平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,46,"4,748元/平"
简装两房，拎包入住，配套设施齐全，交通出行方便,桔城小区 -东站,2室2厅 | 81.82平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 13天以前发布,45,"5,500元/平"
