标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
市区 火车站 经二路 货场路 多层 三楼 采光视野好,货场路小区 -火车站,3室2厅 | 95.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,29,"3,025元/平"
急售 此房中间楼层 看房方便 拎包入住,建厂小区 -火车站,2室2厅 | 64.35平米 | 南 北 | 简装 | 7层  | 板塔结合,0人关注 / 14天以前发布,23,"3,575元/平"
经二路火车站 货场路 奎星楼1楼 配套齐全便宜！！,奎星楼 -火车站,2室1厅 | 44.01平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 6天以前发布,15,"3,409元/平"
第五大道 联盟花园 电梯小高层 精装修三居室 看房方便,联盟花园南区 -上马营,3室2厅 | 117.04平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 13天以前发布,56.5,"4,828元/平"
桥南建安小区精装未住 带全新家具 中层明厨明卫,建安集团小区 -桥南,2室2厅 | 60.64平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5天以前发布,26.8,"4,420元/平"
新福路轩苑大三室，精装修，业主诚心出售,轩苑臻品 -新福路,3室2厅 | 123.64平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 19天以前发布,68,"5,500元/平"
火车站 开元 向东20米电梯房精装修未入住，,香榭里街区 -火车站,2室1厅 | 98.09平米 | 南 | 其他 | 27层  | 塔楼,0人关注 / 5天以前发布,47.5,"4,843元/平"
华通 人民街2008年房子 低楼层两室 房子干净 产权清晰,摩天院 -群众路,2室1厅 | 63.34平米 | 南 | 精装 | 7层  | 板塔结合,2人关注 / 20天以前发布,26.5,"4,184元/平"
急售2018年装修入住不到两年，电梯中层，拎包入住,环北新城 -上马营,3室2厅 | 113.84平米 | 南 北 | 精装 | 23层  | 板楼,1人关注 / 12天以前发布,49,"4,305元/平"
南北通透 拎包入住 产权明确 诚心出售,凌云·现代城 -高新区,3室2厅 | 126.27平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,82,"6,495元/平"
百翠园电梯三室 户型方正 南北通透 电梯房,百翠园 -新福路,3室2厅 | 115.97平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,64.8,"5,588元/平"
金台区 人民路 三居室 低楼层 简装修 拎包入住,中山东路小区 -群众路,3室1厅 | 80.39平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 1个月以前发布,23.5,"2,924元/平"
轩苑盛世二期B区 3室2厅 南 北,轩苑盛世二期B区 -新福路,3室2厅 | 123.31平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,69.8,"5,661元/平"
巨一时代广场 3室2厅 南 北,巨一时代广场 -火车站,3室2厅 | 135.1平米 | 南 北 | 精装 | 27层  | 板楼,0人关注 / 26天以前发布,80,"5,922元/平"
水木清华 南北通透 采光好的 看房方便,水木清華 -高新区,2室2厅 | 92.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,53.9,"5,855元/平"
房东诚心出售 品质洋楼  小区品质高 楼层好,聚丰香树湾 -高新区,3室2厅 | 101.5平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 28天以前发布,53,"5,222元/平"
南北通透大三室河景见南山精装修带家电保持好中高楼层,东岭新时代二期 -陈仓园,3室2厅 | 139.89平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,86,"6,148元/平"
沁心园丨电梯两室丨户型周正丨业主诚售,沁心园 -桥南,2室1厅 | 83.39平米 | 西 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 26天以前发布,38,"4,557元/平"
全明户型，千米楼间距，采光好，看房随时,金水湾 -新福路,2室2厅 | 93.93平米 | 东 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,41.6,"4,429元/平"
经二路火车站 金陵新村 手续齐全 南北通透3房 干净！,金陵新村一区 -火车站,3室2厅 | 78.69平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,5人关注 / 2个月以前发布,27.5,"3,495元/平"
桥南华夏盛世家园精装两室明厨明卫看房有钥匙,华夏盛世佳园 -桥南,2室1厅 | 98平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,45,"4,592元/平"
新福路 水韵新苑 多层三室 精装出售,水韵新苑 -新福路,3室2厅 | 119.66平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,55.8,"4,664元/平"
业主急售  一楼 一楼   小区环境好,瑞泉佳园 -桥南,2室1厅 | 84.6平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,33,"3,901元/平"
高新一路 次新小区 书香门第 房本满二 价位可小刀,臻和天下 -高新区,3室2厅 | 109.93平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,69.8,"6,350元/平"
本房为纯南户采光好简装修，有本可按揭,山水文苑 -高新区,2室2厅 | 97.94平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 11天以前发布,53,"5,412元/平"
