标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
东升旁 东升社区 4楼 可拎包入住,东升社区 -东升社区,3室2厅 | 126.91平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,60,"4,728元/平"
电梯中层 精装南北通透带杂物间,天邦·钻石山 -八字门,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 14天以前发布,83.8,"6,397元/平"
巴黎东路电业局旁港岳豪庭 3室2厅,港岳豪庭 -八字门,3室2厅 | 82平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,19人关注 / 一年前发布,52,"6,342元/平"
步行街桥头社区小3房，带阳台！满五唯一，过户便宜。,桥头社区 -步行街,3室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,28,"4,000元/平"
炮台山  美丽家园 毛坯1房 随时看房,美丽家园小区 -炮台山,1室0厅 | 41平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,5人关注 / 10个月以前发布,30.8,"7,513元/平"
南湖新区，滨湖新境界电梯精装三房，拎包入户，满2,滨湖•新境界 -南湖新区,3室2厅 | 127.84平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 3天以前发布,84.8,"6,634元/平"
南湖广场急售 十四 白杨坡 证齐满五 四房两厅两卫,碧灏花园 -李家冲,4室2厅 | 170.5平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 12天以前发布,106,"6,218元/平"
八字门英伦世家旁东郡首府 三室两厅南北通 双阳台设计,东郡首府 -八字门,3室2厅 | 128.69平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 2天以前发布,82,"6,372元/平"
梅溪桥港务局单位房，步梯精装三房，楼层 好可贷,港务局家属区 -桥西,3室2厅 | 90.21平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,53.8,"5,964元/平"
岳铁东城名邸 3室2厅 南 北,岳铁东城名邸 -八字门,3室2厅 | 102.6平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,48.8,"4,757元/平"
全新精装房，未住一天，带家具和空调，证件齐全满2年,宏润家園 -南湖新区,3室2厅 | 119.5平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,11人关注 / 7个月以前发布,72,"6,026元/平"
花板桥大润发旁天伦金三角 精装住宅公寓 带家电家具,天伦金三角 -天伦城,1室1厅 | 45.92平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 8天以前发布,36,"7,840元/平"
