标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
交通便利，户型方正，房产证满2年，婚房,牡丹·三江公园 -龙虎塘,3室2厅 | 122.41平米 | 东 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 9天以前发布,210,"17,156元/平"
此房自住理财均OK，非此房莫属！,左邻右里 -东城街道,3室1厅 | 51.18平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,7人关注 / 4个月以前发布,53.8,"10,512元/平"
2020年新房 精装修交付 三开间朝南 科技空调 品质物业,城市中央美居 -永红,3室2厅 | 109.33平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 2天以前发布,198,"18,111元/平"
世茂精装 未入住，随时可以看房全天采光,世茂香槟湖一期 -三井,3室2厅 | 135.1平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 7天以前发布,246.8,"18,268元/平"
奥林匹克花园有钥匙可以随时看房,常州奥林匹克花园 -薛家,3室2厅 | 125.34平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 25天以前发布,119,"9,495元/平"
品牌装修 婚房三室 必买好房 随时可看,绿都万和城七区 -三井,3室2厅 | 96.25平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 29天以前发布,157,"16,312元/平"
新市府，万达旁雅居乐星河湾，三房精装设全，采光好,雅居乐星河湾 -三井,3室2厅 | 97.6平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,191,"19,570元/平"
白马公馆 纯毛坯两房 不靠高架房东诚心出售,白马公馆 -薛家,2室2厅 | 94平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 6天以前发布,128,"13,618元/平"
经典飞机户型，南北通透 业主自住保养好,九龙仓荣华里 -薛家,3室2厅 | 109.83平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 6天以前发布,170,"15,479元/平"
金地格林郡 3室2厅 南,金地格林郡 -三井,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 7天以前发布,152,"15,834元/平"
