标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
康桥 · 蓝湾 2室1厅 南,康桥 · 蓝湾 -白马湖,2室1厅 | 83.8平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 26天以前发布,68,"8,115元/平"
玫瑰苑 三室二厅二卫，户型好，地段好，价格实惠,玫瑰苑 -三闾,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 30天以前发布,63,"5,728元/平"
出行方便 生活便利 户型格局好，视野开阔，产权清晰,常德碧桂园C区 -白马湖,3室2厅 | 115平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,69.8,"6,070元/平"
金丰苑 3室2厅 南,金丰苑 -德山,3室2厅 | 135.93平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,46.8,"3,443元/平"
阳明湖畔 3室1厅 南,阳明湖畔 -桥南,3室1厅 | 122平米 | 南 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 22天以前发布,50,"4,099元/平"
带大平台，带花园，上档次，无公摊,汇景城 -白马湖,5室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,300,"18,988元/平"
柳叶湖畔绕荷花公园而建 带车位马上满两年 环境优美,保利中央公园二期 -柳叶湖,5室2厅 | 161.17平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,1人关注 / 8个月以前发布,123,"7,632元/平"
北正街  滨湖公园  步行街业主诚心出售,水榭花城西城 -滨湖公园,4室2厅 | 152.75平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,11人关注 / 6个月以前发布,96.5,"6,318元/平"
保利中央公园 4室2厅 南 北,保利中央公园 -柳叶湖,4室2厅 | 123.7平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,75,"6,064元/平"
柳叶府 4室2厅 南,柳叶府 -柳叶湖,4室2厅 | 142.19平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,93.8,"6,597元/平"
芷兰 大小河街 南北通透大四房,常德恒大华府 -芷兰,4室2厅 | 159平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,130,"8,177元/平"
