标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
十八城洋房居住舒适，户型方正，装修温馨。,建业十八城 -新华区,4室2厅 | 174.29平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,190,"10,902元/平"
建业春天里139平四室两厅两卫毛坯户型方正适合居住,建业春天里 -湛河区,4室2厅 | 139平米 | 东 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,82.8,"5,957元/平"
常绿大悦城四室两厅两卫毛坯房，有证能贷款,常绿·大阅城 -新华区,4室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 21天以前发布,69,"5,610元/平"
九天庄园前排一线湖景中装3室拎包入住！,常绿·九天庄园 -新华区,3室2厅 | 129.96平米 | 西北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,81,"6,233元/平"
锦绣家和 112平毛坯三房 有证可贷 采光好 前后无遮挡,锦绣家和 -湛河区,3室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 17天以前发布,64,"5,715元/平"
林溪美地四室 户型方正 通透 一楼适合父母孩子居住,常绿·林溪美地 -新华区,4室2厅 | 138.67平米 | 东 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 13天以前发布,95,"6,851元/平"
常绿九天庄园，多层步梯房四室二厅拎包入住诚意出售。,常绿·九天庄园 -新华区,4室2厅 | 159平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 25天以前发布,105,"6,604元/平"
一楼带院，有证，精装修，随时入住。,园丁路 -卫东区,3室2厅 | 101.17平米 | 东 | 精装 | 低楼层(共1层)  | 暂无数据,0人关注 / 29天以前发布,130,"12,850元/平"
联盟路电梯房，春光金世纪210平大五室有证，带露台,春光金世纪小区 -新华区,5室2厅 | 210.8平米 | 西 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 30天以前发布,138,"6,547元/平"
房子精装修，户型好，出行方便，,豫森·平宝港湾 -卫东区,3室2厅 | 116.97平米 | 西南 南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,72.9,"6,233元/平"
水岸豪庭 127.91平 三室两厅两卫,水岸豪庭 -新华区,3室2厅 | 127.91平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,4人关注 / 3个月以前发布,63,"4,926元/平"
领创大地城 3室2厅2卫 交通便利 环境干净舒适,领创大地城 -湛河区,3室2厅 | 122.45平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,90,"7,350元/平"
华廷四季城124平4室精装领包住有证可按揭,华廷四季城 -湛河区,4室2厅 | 124平米 | 东 | 精装 | 高楼层(共33层)  | 暂无数据,3人关注 / 6个月以前发布,64.5,"5,202元/平"
常绿九鼎电梯130平湖景房四室两厅小区干净适合居住,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 西 | 精装 | 中楼层(共29层)  | 暂无数据,14人关注 / 一年前发布,107,"8,231元/平"
银基誉府小区 3室2厅 交通便利 小区环境舒适 适合居住,银基誉府 -湛河区,3室2厅 | 121平米 | 东 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,90,"7,439元/平"
常绿大悦城155平方 五室两厅两卫简单装修适合居住,常绿·大阅城 -新华区,5室2厅 | 155平米 | 东 | 简装 | 低楼层(共29层)  | 暂无数据,16人关注 / 一年前发布,85,"5,484元/平"
此套房源动静分区经典3室2厅2卫户型仅售98,碧桂园天玺 -卫东区,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,98,"8,673元/平"
建工官邸小区3室2厅2卫，精装修，有证可贷款,河南建工观邸 -湛河区,3室2厅 | 126.92平米 | 东南 | 精装 | 中楼层(共21层)  | 暂无数据,7人关注 / 一年前发布,75,"5,910元/平"
东方星河湾三室两厅一卫，交通便利，有证有暖气拎包住,东方星河湾 -湛河区,3室2厅 | 112.85平米 | 东南 | 精装 | 高楼层(共24层)  | 暂无数据,2人关注 / 9个月以前发布,69,"6,115元/平"
挨着湛河的电梯房，有证有暖气，看房方便,秀水名居 -湛河区,3室1厅 | 89平米 | 东南 南 | 精装 | 高楼层(共19层)  | 暂无数据,4人关注 / 6个月以前发布,46,"5,169元/平"
大乘领仕馆106平3室2厅 毛坯现房,大乘领仕馆 -湛河区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,65,"6,133元/平"
新人民医院旁公务员小区，188平大平层四室带车位精装,凤凰花园A02秋实苑 -新华区,4室2厅 | 188.59平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,146,"7,742元/平"
江南世家6+7复式带平台有证有暖价位美丽,江南世家 -湛河区,3室2厅 | 118平米 | 东 东南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,55,"4,662元/平"
园林小区，三室一厅一卫，封闭式小区，更安全,园林小区 -新华区,3室1厅 | 99平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,61,"6,162元/平"
新城区建委家属院 精装带平台有证 更名,建委住宅小区 -新华区,3室2厅 | 146平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,95,"6,507元/平"
蓝湾新城 2室2厅 东,蓝湾新城 -新华区,2室2厅 | 101平米 | 东 | 精装 | 高楼层(共23层)  | 平房,1人关注 / 13天以前发布,76,"7,525元/平"
林溪美境 前排小三室，新装未入住，位置好，有证。,林溪美境 -新华区,3室2厅 | 92.6平米 | 西南 | 简装 | 高楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,68,"7,344元/平"
小高层前排无遮挡精装4室裸房，有证满二，带车位可贷,佳田西湖岸2期 -新华区,4室2厅 | 190.15平米 | 南 北 东 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,178,"9,362元/平"
九龙广场131平3室2厅2卫，好楼层 有证,九龙广场 -湛河区,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,76,"5,802元/平"
九龙广场 毛坯现房 134平3室2厅 首付25万,九龙广场 -湛河区,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,75.8,"5,657元/平"
大乘领仕馆 95平3室 仅售55万,大乘领仕馆 -湛河区,3室2厅 | 94.89平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 9个月以前发布,54,"5,691元/平"
常绿九天庄园 131平 4室两厅 105万,常绿·九天庄园 -新华区,4室2厅 | 130.59平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 10个月以前发布,105,"8,041元/平"
恒大名都 交通便利 小区环境干净舒适 适合居住,平顶山恒大名都 -湛河区,3室2厅 | 125平米 | 西 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,90,"7,200元/平"
百合金山 1室1厅 北,百合金山 -新华区,1室1厅 | 38平米 | 北 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 14天以前发布,23.5,"6,185元/平"
林溪谷精装三室，户型方正，采光无遮挡。,常绿·林溪谷 -湛河区,3室2厅 | 93平米 | 西南 | 精装 | 低楼层(共32层)  | 塔楼,8人关注 / 一年前发布,63,"6,775元/平"
常绿·九天庄园 4室1厅 西,常绿·九天庄园 -新华区,4室1厅 | 130.77平米 | 西 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 23天以前发布,90,"6,883元/平"
精装修拎包入住.有证.随时看房.急卖,常绿·林溪谷 -湛河区,2室2厅 | 68平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 14天以前发布,43,"6,324元/平"
中兴路湛南路口，电梯房精装修拎包入住，全明户型,碧水蓝天 -湛河区,2室2厅 | 99.1平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,77,"7,770元/平"
水岸佳苑108平方，三室两厅一厨一卫，有证可分期！,水岸佳苑 -卫东区,3室2厅 | 108平米 | 西北 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,64,"5,926元/平"
自住标准的装修。房东没有住过，诚心出售。楼层好。,建业十八城 -新华区,3室2厅 | 136平米 | 南 西 北 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 9个月以前发布,100,"7,353元/平"
檀宫  3层复式  全屋家具定制  3个露台,檀宫 -新华区,6室3厅 | 372.84平米 | 东南 | 精装 | 高楼层(共30层)  | 板楼,9人关注 / 11个月以前发布,320,"8,583元/平"
大唐一品澜山两室两厅一卫带车位97万环境干净，适合,大唐一品澜山 -新华区,2室2厅 | 107.5平米 | 西南 | 精装 | 中楼层(共26层)  | 暂无数据,4人关注 / 一年前发布,93,"8,652元/平"
常绿九鼎  94平方  紧凑三室两厅一卫  毛坯房,常绿·九天庄园 -新华区,3室2厅 | 94平米 | 西南 | 毛坯 | 低楼层(共29层)  | 板塔结合,10人关注 / 一年前发布,67,"7,128元/平"
西湖印象 湖景现房 户型合理 钥匙房,西湖印象花园 -新华区,3室2厅 | 138平米 | 西 | 毛坯 | 高楼层(共16层)  | 暂无数据,3人关注 / 一年前发布,155,"11,232元/平"
白龟湖湖景房 逸居印象一梯一户大三室有证支持按揭,逸居印象 -新华区,3室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,98,"6,902元/平"
楼层好，视野宽阔，采光充足，配套设施齐全，交通便利,御景龙庭 -新华区,3室1厅 | 80平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,53,"6,625元/平"
