标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
嘉利滨河香溪精装三居出售，采光通透，视野宽阔,嘉利滨河香溪 -雪峰,3室2厅 | 126.12平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,106,"8,405元/平"
东坝中 心电梯房精装两室，满五税低,东城国际 -东坝,2室2厅 | 78.83平米 | 北 | 简装 | 中楼层(共27层)  | 板塔结合,7人关注 / 一年前发布,72,"9,134元/平"
金城家园优质电梯宽敞大三居好楼层,金城家园二期 -东坝,3室2厅 | 125平米 | 南 东 | 其他 | 中楼层(共17层)  | 暂无数据,16人关注 / 一年前发布,85,"6,800元/平"
东坝国际大酒店旁，三房双卫，刚精装修的，证件齐全。,明珠园 -东坝,3室2厅 | 110.88平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 12天以前发布,105,"9,470元/平"
此房小区环境好 ，，家具家电齐全，适合众多人..,东城国际 -东坝,3室2厅 | 96.73平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,90,"9,305元/平"
此房位于东坝成熟地段，配套齐全，采光面大，简欧风格,广汇思成东方盛世 -东坝,3室2厅 | 131.54平米 | 西南 | 其他 | 中楼层(共22层)  | 暂无数据,4人关注 / 一年前发布,98,"7,451元/平"
普罗旺斯旁正兴花园 精装四室中间楼层 采光倍儿棒,正兴花园 -雪峰,4室2厅 | 120平米 | 北 | 精装 | 高楼层(共20层)  | 暂无数据,8人关注 / 一年前发布,108,"9,000元/平"
御锦湾98平精装套三、优选楼层,御锦湾 -东坝,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,100,"10,205元/平"
利州广场旁电梯房，精装套二，业主诚心出售！,金橄榄广场 -东坝,3室2厅 | 91.36平米 | 北 | 精装 | 低楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,85,"9,304元/平"
利州广场旁三室两厅精装出售，医院近,双羽凤凰城 -东坝,3室2厅 | 139.59平米 | 南 北 | 精装 | 高楼层(共12层)  | 暂无数据,2人关注 / 10个月以前发布,123,"8,812元/平"
此小区环境好 安静 出行方便 房子户型方正,汉寿雅居 -东坝,3室2厅 | 113.8平米 | 东 | 精装 | 低楼层(共20层)  | 暂无数据,7人关注 / 一年前发布,96,"8,436元/平"
全新装修，全明户型，卧室客厅都可看江景,托斯卡纳 -万源,3室2厅 | 84.76平米 | 南 西南 | 精装 | 中楼层(共32层)  | 暂无数据,9人关注 / 一年前发布,110.8,"13,073元/平"
"苴国市场精装房3楼,户型方正，采光佳",苴国市场小区 -东坝,3室2厅 | 147.53平米 | 北 | 其他 | 中楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,89,"6,033元/平"
交通便利，小区环境感觉舒适，适合居住,泰和园 -东坝,3室2厅 | 152.58平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,95,"6,227元/平"
老城简装四室双卫，户型方正，出行方便，,新福花园 -老城,4室2厅 | 168.55平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,102,"6,052元/平"
此房位置好’采光好。楼下是市场。,聚福苑 -东坝,2室2厅 | 97.99平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,53,"5,409元/平"
九州家园172平，133万，拎包入住。产权清晰,九州家园 -东坝,4室3厅 | 172平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,133,"7,733元/平"
钻石套二，老城中芯，精装修，电梯,都市广场 -老城,2室2厅 | 88.55平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,1人关注 / 一年前发布,80,"9,035元/平"
奥体旁， 品质小区，精装三室，拎包入住,长虹东城时代 -雪峰,3室2厅 | 101.66平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,5人关注 / 一年前发布,100,"9,837元/平"
此房满五唯一，跃层，电梯江景房，,翡翠城 -东坝,2室2厅 | 99.98平米 | 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,100,"10,003元/平"
地处繁华，相邻医院，出行方便，生活便利,中心医院宿舍 -老城,3室1厅 | 92.18平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,5人关注 / 11个月以前发布,51,"5,533元/平"
带屋顶花园，旁边就是黑石坡森林公园，高品质电梯房,长虹东城时代 -雪峰,2室1厅 | 69.26平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,65,"9,385元/平"
雪峰红盘，装修好 关门卖 小区绿化好,欧锦城 -雪峰,3室2厅 | 86.85平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,92,"10,593元/平"
百利城旁 多层三居室 小区停车方便 价格可谈,金桂苑 -东坝,3室2厅 | 143平米 | 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,90,"6,294元/平"
龙眼花园2室2厅1卫1厨室整齐风光房 装修风格任你选,龙眼花园 -东坝,2室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,60,"6,452元/平"
满五唯一 婚房装修 全新关门出售随时可看,水榭花都二期 -东坝,3室2厅 | 133.49平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,97.8,"7,327元/平"
东坝临万达 靠河边 将装修三居室 有车库可放2辆,翡翠城 -东坝,3室2厅 | 124.98平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 5个月以前发布,96,"7,682元/平"
"诚卖 普罗旺斯二期好户型套4房源，牌子装修,看房方便",普罗旺斯二期 -雪峰,4室2厅 | 112平米 | 西南 | 精装 | 中楼层(共28层)  | 暂无数据,5人关注 / 一年前发布,135,"12,054元/平"
大小区 精装修 关门卖 证满两年,广元碧桂园 -雪峰,4室2厅 | 141平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,120,"8,511元/平"
平桥  河边  大型  小区 精 装房急 卖,凤琴岚湾 -东坝,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,16人关注 / 一年前发布,93,"8,612元/平"
东坝次新小区，中 心地段，房子优质，朝南,康隆财富旺角二期 -东坝,3室1厅 | 106.63平米 | 西南 南 | 精装 | 低楼层(共28层)  | 平房,1人关注 / 一年前发布,104.9,"9,838元/平"
雪峰精装三居出售，河景房，采光好，拎包入住,广元碧桂园 -雪峰,3室2厅 | 114平米 | 西北 | 精装 | 中楼层(共26层)  | 板楼,6人关注 / 一年前发布,86,"7,544元/平"
江南星城 2室2厅 交通便利 小区环境干净舒适 适合居住,江南星城 -南河,2室2厅 | 102.27平米 | 西 | 其他 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,73,"7,138元/平"
湿地公园旁，满五税少，户型方正，间间采光,正黄金域华府 -东坝,2室2厅 | 73平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,76,"10,411元/平"
东坝河边光明公寓 大三居 交通便利,光明公寓 -东坝,3室2厅 | 139.36平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,95,"6,817元/平"
此房南北通透，采光很好，格局好。带屋顶花园。,金泽苑 -东坝,4室2厅 | 172.75平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,110,"6,368元/平"
数码广场  老城大三室   低楼层,城市绿洲 -老城,3室2厅 | 119.33平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,76.8,"6,436元/平"
【高品质的服务，精装套三，户型方正，万达旁边】,广元碧桂园 -雪峰,3室2厅 | 114.49平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 10个月以前发布,86.6,"7,564元/平"
【利州广场旁边，精装修3房，配套齐全，拎包入住】,尚景苑 -东坝,3室3厅 | 170平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,112.8,"6,636元/平"
巴黎时光  三室  两厅 一厨 一卫 精装房,巴黎时光 -雪峰,3室2厅 | 90.46平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,4人关注 / 7个月以前发布,70,"7,739元/平"
此房3室2厅1厨2卫，拎包如住 。,广宇国际 -老城,3室2厅 | 131.77平米 | 东 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,149,"11,308元/平"
精装修套二 拎包入住 网红户型,欧锦城 -雪峰,2室1厅 | 65.24平米 | 东南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 5天以前发布,65,"9,964元/平"
雪峰教育园区，朝南，临河电梯公寓,港湾国际 -雪峰,3室2厅 | 85.7平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,5人关注 / 10个月以前发布,72,"8,402元/平"
温馨大三房 带花园 户型方正 采光通透,启明星花园 -东坝,3室2厅 | 123.05平米 | 北 | 其他 | 低楼层(共15层)  | 暂无数据,13人关注 / 10个月以前发布,94,"7,640元/平"
奥体旁雪峰精装修，三房双卫，电梯洋房，拎包入住,阳光利州公馆 -雪峰,3室1厅 | 90.33平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 8天以前发布,116,"12,842元/平"
翡翠城 3室2厅 东南,翡翠城 -东坝,3室2厅 | 121.72平米 | 东南 | 其他 | 低楼层(共28层)  | 暂无数据,1人关注 / 7个月以前发布,112,"9,202元/平"
房屋满五唯一 中间楼层 ，小区停车方便，,福兴家园 -老城,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,72,"5,035元/平"
世纪景苑 好房出售 装修简单 看房方便,世纪景苑 -东坝,3室1厅 | 140.39平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,95,"6,767元/平"
此房满五唯一，税少，看山面水，户型通透,正黄金域华府 -东坝,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,106,"10,096元/平"
电梯入户，带花园三房 ，随时看房,水榭花都二期 -东坝,3室2厅 | 129.5平米 | 西北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,102,"7,877元/平"
老城大小区 震后电梯房 精装两室,龙眼花园 -东坝,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,9人关注 / 一年前发布,57,"6,706元/平"
东坝地段 ，精装三室 拎包入住  采光好，小孩上学方便,东坝供电所宿舍楼 -东坝,3室2厅 | 158.99平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,75,"4,718元/平"
雪峰大居室，房源采光通透，交通便利，配套设施齐全,皓鹏景园 -雪峰,4室2厅 | 125平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,7人关注 / 一年前发布,95,"7,600元/平"
铂金轻奢地段，双证齐全，价格实惠全明采光，视野开阔,知松苑 -东坝,3室2厅 | 112.55平米 | 西南 | 其他 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,73,"6,487元/平"
利州广场旁精装套二、客厅主卧带阳、 业主诚心出售！,东城国际 -东坝,2室2厅 | 78.38平米 | 北 | 精装 | 高楼层(共27层)  | 板楼,5人关注 / 一年前发布,75,"9,569元/平"
雪峰奥体旁邻河边港湾国际小区，精装套二，诚心出售啦,港湾国际 -雪峰,2室1厅 | 85.7平米 | 东北 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 11个月以前发布,74,"8,635元/平"
交通便利，小区干净，干净舒适，适合居住,东环明珠 -东坝,2室2厅 | 105平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,5人关注 / 一年前发布,78,"7,429元/平"
大三室 位置好  简装 业主诚心出售,地利小区 -老城,3室2厅 | 135.32平米 | 西 东 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,73,"5,395元/平"
此房急售，满五唯一，大三居室，品质小区。,南岸阳光 -万源,3室2厅 | 129平米 | 北 | 简装 | 高楼层(共16层)  | 暂无数据,19人关注 / 一年前发布,118,"9,148元/平"
长虹东城时代 中间楼层 精装两居 南北朝向 客厅向阳,长虹东城时代 -雪峰,2室2厅 | 67平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,10人关注 / 一年前发布,56,"8,359元/平"
劳动大厦旁，多层中间楼层，精装修的大三居,育才苑 -东坝,3室2厅 | 146平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,96,"6,576元/平"
博文街173号 3室2厅 南 北,博文街173号 -东坝,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,41人关注 / 一年前发布,59,"4,797元/平"
朝南的，精装修 家电齐全.....,东城国际 -东坝,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 一年前发布,140,"11,966元/平"
凤凰唐城一期。。大三房。。江景房。。。。。。。,天立凤凰唐城 -东坝,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,7人关注 / 一年前发布,105,"10,500元/平"
万达旁，成熟商圈，配套齐全，你值得拥有,天悦府 -万源,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,87,"9,887元/平"
东坝国大旁广旺花苑精装大套三 钻石楼层满2年 朝南,广旺花苑 -东坝,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,110,"8,030元/平"
万源托斯卡纳精装江景三房 房子南向 户型方正 采光好,托斯卡纳 -万源,3室2厅 | 89平米 | 北 | 精装 | 高楼层(共31层)  | 塔楼,4人关注 / 一年前发布,133,"14,944元/平"
万源大户型精装3室值得你拥有。！,东方曼哈顿 -万源,3室2厅 | 93平米 | 东北 | 精装 | 高楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,120,"12,904元/平"
公园房的大房子，大三室带书房，精装修，拎包入住！,正兴苑 -东坝,4室2厅 | 147.7平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,108,"7,313元/平"
震后洋房   南北对流   楼层佳 采光足,香山怡园 -东坝,4室2厅 | 164平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,3人关注 / 10个月以前发布,99,"6,037元/平"
精装三居，品牌家具家电，关门大卖,水岸华府 -万源,3室2厅 | 97.5平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,95,"9,744元/平"
利州广场旁，精装大三居，拎包入住,骏龙居 -东坝,3室2厅 | 120平米 | 东 | 简装 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,85,"7,084元/平"
万达广场旁 满二税低 精致装修 带9层新家具家电采光佳,万达中央华城 -万源,2室2厅 | 79.9平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 一年前发布,82,"10,263元/平"
御锦湾 一梯两户  通透精装三室,御锦湾 -东坝,3室2厅 | 110.5平米 | 东北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,99,"8,960元/平"
东坝中间楼层，精装三房双卫 拎包入住。,启明星花园 -东坝,3室2厅 | 127.88平米 | 西 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,118,"9,228元/平"
御锦湾 精装大三居 带地暖 装修耗资30万+ 拎包入住,御锦湾 -东坝,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,18人关注 / 一年前发布,120,"10,435元/平"
天立凤凰唐城精装修套三双卫带车位出售,天立凤凰唐城 -东坝,3室2厅 | 134.5平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,114,"8,476元/平"
东坝精装大户型的三室，中间楼层。可以直接入住。！,科兴园二期 -东坝,3室2厅 | 136.5平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,3人关注 / 一年前发布,115,"8,425元/平"
万源河边位置精装修朝南3居室出售,东方曼哈顿 -万源,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,3人关注 / 一年前发布,112,"10,667元/平"
雪峰普罗旺斯精装套三 中间楼层采光好 靠广外万达,普罗旺斯一期 -雪峰,3室2厅 | 83平米 | 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,105,"12,651元/平"
和信大盘精装两居，楼层佳采光好！,凤凰世纪城御都 -东坝,2室1厅 | 85.6平米 | 东南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,67,"7,828元/平"
东坝 高品质 小区，户户 带花园。,圣世逸品 -东坝,4室2厅 | 122平米 | 东北 | 精装 | 中楼层(共22层)  | 板塔结合,6人关注 / 一年前发布,156,"12,787元/平"
此房满五唯一，装修保养好，户型方正，中间楼层,富康家园 -老城,2室2厅 | 98.25平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58,"5,904元/平"
