标题,开发商,房子信息,发布信息,售价/万,单价
富力桃园，精装两房，南北对流，业主诚心放卖，随时看,富力桃园 -罗冲围,2室1厅 | 76.29平米 | 西南 | 精装 | 低楼层(共32层) | 2004年建 | 塔楼,5人关注 / 2个月以前发布,262,"34,343元/平"
近地铁 南北对流格局 户型方正 高楼层 小区环境优美,碧桂园豪进广场 -白江,4室2厅 | 138.21平米 | 南 | 毛坯 | 中楼层(共31层) | 2016年建 | 塔楼,1人关注 / 6天以前发布,300,"21,707元/平"
店长推荐，凯德山海连城大平层，3.3层高，阳台风景好,凯德山海连城 -莲花山,4室1厅 | 182.53平米 | 南 | 精装 | 28层  | 塔楼,0人关注 / 4天以前发布,500,"27,393元/平"
华港花园 漂亮三房 安静 通风采光好,华港花园 -天河公园,3室2厅 | 87.42平米 | 西南 | 简装 | 中楼层(共28层) | 2004年建 | 塔楼,2人关注 / 6天以前发布,540,"61,752元/平"
广粤尊府，两梯两户，西南向双主套望江 满五唯一,凯旋新世界广粤尊府 -珠江新城东,3室2厅 | 199.07平米 | 西南 | 精装 | 低楼层(共16层) | 2012年建 | 塔楼,1人关注 / 4天以前发布,1759,"88,311元/平"
少有子母户型，南北对流，三阳台设计间隔好，中楼层好,豪进山湖珺璟 -白江,4室2厅 | 188.3平米 | 东南 | 毛坯 | 低楼层(共31层) | 2011年建 | 塔楼,0人关注 / 9天以前发布,375,"19,916元/平"
汇东国际花园，大三房，南北通透双阳台，满五唯一,汇东国际花园 -白江,3室1厅 | 129.9平米 | 南 北 | 简装 | 高楼层(共28层) | 2012年建 | 塔楼,0人关注 / 4天以前发布,250,"19,246元/平"
锦绣天伦 高层2房 证过5年唯一 视野开阔 官湖地铁站,敏捷锦绣天伦 -新塘北,2室2厅 | 80.85平米 | 北 | 简装 | 高楼层(共32层) | 2015年建 | 塔楼,0人关注 / 7天以前发布,145,"17,935元/平"
南向高层 三房2卫 装修保养好 采光通风好 满五唯一,碧桂园凤凰城凤馨苑 -凤凰城,3室1厅 | 101.06平米 | 南 | 精装 | 高楼层(共18层) | 2002年建 | 塔楼,0人关注 / 5天以前发布,168,"16,624元/平"
高楼层视野好，满五年，有钥匙看房方便，近地铁,碧桂园豪进广场 -白江,3室2厅 | 116.53平米 | 东南 北 | 毛坯 | 高楼层(共31层) | 2016年建 | 塔楼,0人关注 / 30天以前发布,240,"20,596元/平"
店长推荐 八字头 华景里4房 安静看花园 看房方便,信华经理人家园 -华景新城,4室1厅 | 122.42平米 | 东 西 | 简装 | 中楼层(共29层) | 2012年建 | 塔楼,0人关注 / 13天以前发布,684,"55,854元/平"
优质公园小区一期双阳台南北对流好户型,豪进山湖珺璟 -白江,3室1厅 | 123.35平米 | 南 | 精装 | 低楼层(共20层) | 2011年建 | 塔楼,1人关注 / 14天以前发布,230,"18,647元/平"
怡海楼中层复式  270度单边采光 瞰江景园景 全新未住,怡港花园 -黄埔区府,6室2厅 | 237.76平米 | 东南 | 毛坯 | 高楼层(共24层) | 2006年建 | 塔楼,1人关注 / 10天以前发布,797,"33,509元/平"
华景新城，南向四房，望天河公园，精装修保养好,历德雅舍 -华景新城,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共30层) | 2007年建 | 塔楼,2人关注 / 6天以前发布,916,"65,370元/平"
花都湖旁地铁口小区二楼南向，带私家平台花园。,华南苑 -旧区,3室2厅 | 76.53平米 | 南 | 简装 | 低楼层(共9层)  | 塔楼,2人关注 / 7天以前发布,84,"10,977元/平"
南向格局，看湖看海 视野宽阔，采光充足,碧桂园天玺湾 -进港大道,3室1厅 | 103.94平米 | 东南 | 其他 | 高楼层(共18层) | 2014年建 | 板塔结合,0人关注 / 3天以前发布,240,"23,091元/平"
文德广场 满五年不唯一 三房看房方便,文德广场 -越秀南,3室1厅 | 74.79平米 | 东 西 | 简装 | 中楼层(共29层) | 2000年建 | 塔楼,0人关注 / 6天以前发布,425,"56,826元/平"
紫荆小区 原装电梯 华阳 花园小区安静两房,紫荆小区 -林和,2室1厅 | 80.61平米 | 东 | 其他 | 中楼层(共15层) | 1998年建 | 塔楼,0人关注 / 7天以前发布,610,"75,673元/平"
华南碧桂园三房南向 楼层适中景观好 位置优越少有放卖,华南碧桂园紫翠苑 -华南碧桂园,3室2厅 | 107平米 | 南 | 精装 | 7层 | 2001年建 | 塔楼,0人关注 / 7天以前发布,355,"33,178元/平"
越秀区 小北地铁D出口 南向 麓湖公园 产权清晰,麓景路 -麓景,2室1厅 | 66.33平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,1人关注 / 5天以前发布,220,"33,168元/平"
地铁五号线文冲 城市花园 满五年 中层三房 有钥匙,万科城市花园 -文冲,3室2厅 | 89.11平米 | 东 东北 | 精装 | 中楼层(共18层) | 2003年建 | 塔楼,1人关注 / 6天以前发布,367,"41,176元/平"
君华江畔豪园 2室1厅 东南 南 北,君华江畔豪园 -滨江西,2室1厅 | 48.04平米 | 东南 南 北 | 精装 | 中楼层(共18层) | 2012年建 | 塔楼,0人关注 / 3天以前发布,288,"59,951元/平"
荔福路 2室1厅 西南,荔福路 -沙园,2室1厅 | 72.48平米 | 西南 | 简装 | 高楼层(共9层)  | 塔楼,0人关注 / 7天以前发布,185,"25,525元/平"
金乐大厦 3室2厅 东南,金乐大厦 -中大,3室2厅 | 124.75平米 | 东南 | 简装 | 中楼层(共17层) | 1999年建 | 塔楼,0人关注 / 23天以前发布,470,"37,676元/平"
枫丹雅筑 东南向三房 采光通风好 厅出阳台,枫丹雅筑 -龙口西,3室2厅 | 113.46平米 | 南 | 简装 | 高楼层(共31层) | 2004年建 | 板塔结合,4人关注 / 27天以前发布,899,"79,235元/平"
金逸雅居，花园中间位置的中高楼层的三房,金逸雅居 -黄埔区府,3室2厅 | 106.31平米 | 东北 | 简装 | 中楼层(共17层) | 2006年建 | 塔楼,1人关注 / 26天以前发布,387,"36,330元/平"
江南西商圈 电梯大三房 双阳台 采光视野好 满五无重税,宝岗大道 -宝岗,3室2厅 | 105平米 | 东 西 | 简装 | 高楼层(共9层)  | 暂无数据,1人关注 / 29天以前发布,355,"33,810元/平"
地铁五号线文冲 城市花园 全新装修 未住 四房 有钥匙,万科城市花园 -文冲,4室1厅 | 142.95平米 | 南 | 精装 | 中楼层(共18层) | 2003年建 | 塔楼,0人关注 / 17天以前发布,589,"41,176元/平"
全新精装大四房，业主无住过 户型方正 位置好,珠江壹城 -神岗镇,4室2厅 | 145.78平米 | 西南 | 精装 | 高楼层(共28层) | 2018年建 | 板塔结合,0人关注 / 16天以前发布,199.8,"13,706元/平"
高楼层视野开阔前面无遮挡，南北对流，动静分离,丰泰城市公馆 -新塘北,3室1厅 | 124.02平米 | 南 | 精装 | 高楼层(共23层) | 2015年建 | 塔楼,0人关注 / 13天以前发布,199,"16,046元/平"
新塘广场便宜三房，业主诚心卖......,新塘广场 -新塘南,3室1厅 | 102.37平米 | 西南 | 简装 | 高楼层(共29层) | 2000年建 | 塔楼,1人关注 / 10天以前发布,128,"12,504元/平"
