标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
南滨佳苑 3室2厅 南,南滨佳苑 -经开区,3室2厅 | 95平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 6天以前发布,68.8,"7,243元/平"
河边上临湖的三室两厅两卫简装，老证，看房方便,旌湖星辰 -经开区,3室2厅 | 113平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,63,"5,576元/平"
东电一区一楼带花园精装三室拎包入住,东电一生活区 -城北,3室1厅 | 65平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,42.8,"6,585元/平"
秦宓小区 3室2厅 东,秦宓小区 -城北,3室2厅 | 106.65平米 | 东 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,59,"5,533元/平"
黄河桥头单价七千出头，精装正临湖视野开阔无遮挡朝东,外滩地一号 -城北,3室2厅 | 116平米 | 东 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 6天以前发布,85,"7,328元/平"
天山北路101号 3室2厅 东南,天山北路101号 -玉泉,3室2厅 | 106平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,49.8,"4,699元/平"
市钟心多层3楼，精装修4室拎包入住,半截巷28号 -文庙,4室2厅 | 125平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4天以前发布,59.8,"4,784元/平"
黄河片区  精装修 可拎包入住 房东诚心出售,地王豪庭 -黄河片区,4室2厅 | 142平米 | 西南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 23天以前发布,157,"11,057元/平"
怡警花园南区 3室2厅 东南,怡警花园南区 -高铁新区,3室2厅 | 115平米 | 东南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,66.8,"5,809元/平"
工商银行宿舍宝山街33号 4室2厅 南 北,工商银行宿舍宝山街33号 -玉泉,4室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 21天以前发布,58.6,"5,052元/平"
