标题,开发商,房子信息,发布信息,售价/万,单价
景茂名都东郡 4室2厅 东,景茂名都东郡 -蛟龙港,4室2厅 | 116.76平米 | 东 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 5天以前发布,270,"23,125元/平"
本固楼 3室1厅 东南,本固楼 -猛追湾,3室1厅 | 133.77平米 | 东南 | 简装 | 中楼层(共8层) | 2000年建 | 板楼,3人关注 / 2个月以前发布,130,"9,719元/平"
静水香榭 3室2厅 南 北,静水香榭 -温江老城,3室2厅 | 152.15平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板塔结合,52人关注 / 一年前发布,100,"6,573元/平"
银丰别墅 4室2厅 北,银丰别墅 -橡树湾,4室2厅 | 152.76平米 | 北 | 精装 | 高楼层(共4层)  | 平房,1人关注 / 3天以前发布,138,"9,034元/平"
星辉中路14号 3室1厅 西南,星辉中路14号 -马鞍路,3室1厅 | 68.75平米 | 西南 | 简装 | 低楼层(共7层) | 2000年建 | 板楼,0人关注 / 7天以前发布,75,"10,910元/平"
翡翠城一期 4室1厅 西北,翡翠城一期 -东湖,4室1厅 | 195.99平米 | 西北 | 简装 | 高楼层(共11层) | 2004年建 | 板塔结合,5人关注 / 21天以前发布,730,"37,247元/平"
龙舟路55号 3室1厅 南,龙舟路55号 -三官堂,3室1厅 | 81.67平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,88.8,"10,874元/平"
置信逸都B区 3室2厅 西南,置信逸都B区 -郫县万达,3室2厅 | 119.38平米 | 西南 | 精装 | 高楼层(共33层) | 2014年建 | 板塔结合,1人关注 / 5天以前发布,123,"10,304元/平"
麓山国际圣芭芭拉 4室2厅 南,麓山国际圣芭芭拉 -麓山,4室2厅 | 234.16平米 | 南 | 精装 | 下叠(共5层) | 2010年建 | 板楼 | 叠拼别墅 ,4人关注 / 13天以前发布,718,"30,663元/平"
龙湖弗莱明戈一期 3室2厅 南,龙湖弗莱明戈一期 -郫县城区,3室2厅 | 83.36平米 | 南 | 精装 | 高楼层(共34层) | 2012年建 | 板塔结合,0人关注 / 7天以前发布,120,"14,396元/平"
新筑巴伦西亚一期 3室1厅 北,新筑巴伦西亚一期 -新津,3室1厅 | 86.51平米 | 北 | 毛坯 | 低楼层(共15层)  | 平房,0人关注 / 4天以前发布,105,"12,138元/平"
玉林六巷4号 2室1厅 南 北,玉林六巷4号 -玉林,2室1厅 | 58.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4天以前发布,88,"15,116元/平"
中信城左岸 3室2厅 北,中信城左岸 -南湖,3室2厅 | 87.81平米 | 北 | 精装 | 高楼层(共26层) | 2015年建 | 板塔结合,3人关注 / 6天以前发布,185,"21,069元/平"
花样年花郡 3室2厅 南 北,花样年花郡 -万象城,3室2厅 | 111.52平米 | 南 北 | 精装 | 低楼层(共32层) | 2008年建 | 板塔结合,1人关注 / 6天以前发布,223,"19,997元/平"
北辰南湖香麓 3室1厅 北,北辰南湖香麓 -南湖,3室1厅 | 109.41平米 | 北 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 7天以前发布,225,"20,565元/平"
