标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
一楼带花园 带等大地下室 全明精装修 家具家电全带,德商国际花园 -沈抚新区,5室2厅 | 118.26平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,6人关注 / 9个月以前发布,134,"11,331元/平"
德商国际花园 3室2厅 南 北,德商国际花园 -沈抚新区,3室2厅 | 98.47平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 11天以前发布,58,"5,891元/平"
万科金域蓝湾3-3-1-4 231.00平  南侧小院 2层地下室,万科金域蓝湾 -沈抚新区,3室3厅 | 231平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 21天以前发布,168,"7,273元/平"
南北两室两厅一卫 中间楼层中间户型,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 30天以前发布,35.8,"5,053元/平"
房子精装南北通透，满五唯一，有贷款，单独，看房方便,万科金域蓝湾 -沈抚新区,3室1厅 | 115.21平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,100,"8,680元/平"
万科2.2期 18年交付  三室两卫 诚心出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 108.46平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 22天以前发布,64,"5,901元/平"
跃层  看房方便  户型方正 采光好,德商国际花园 -沈抚新区,4室2厅 | 186平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 8天以前发布,120,"6,452元/平"
沈抚新区德商国际花园一楼带地下精装修出售,德商国际花园 -沈抚新区,4室3厅 | 177.7平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,169.9,"9,562元/平"
德商国际花园 3室2厅 南 北,德商国际花园 -沈抚新区,3室2厅 | 207平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,130.5,"6,305元/平"
沈抚别墅 房本209平 实际400平 带车库,香堤墅 -沈抚新区,2室3厅 | 209平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,15人关注 / 8个月以前发布,180,"8,613元/平"
万科金域蓝湾退台式洋房，顶跃，精装三室两厅三卫,万科金域蓝湾 -沈抚新区,3室2厅 | 184.97平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,8人关注 / 一年前发布,154,"8,326元/平"
（沈抚万科城市之光3-2-1-2 108.00平 145 万）,沈抚万科城市之光 -沈抚新区,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 11天以前发布,145,"13,426元/平"
一梯两户电梯洋房 园中园高档住宅 低密度好户型,德商国际花园 -沈抚新区,3室1厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,52.2,"5,382元/平"
精装修 拎包即住 看房方便 采光好,中金公元启城 -沈抚新区,2室2厅 | 95平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4天以前发布,57.8,"6,085元/平"
沈抚万科 电梯洋房 价格可议 看房方便,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 8天以前发布,72.8,"6,741元/平"
沈抚新区 万科金域蓝湾 三室 精装修,万科金域蓝湾 -沈抚新区,3室2厅 | 115.11平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,3人关注 / 一年前发布,74.8,"6,499元/平"
电梯洋房 近浑河 21年9月新交房源 园区物业好 采光好,沈抚中南熙悦 -沈抚新区,3室2厅 | 97.59平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,69,"7,071元/平"
房子满两年，精装修，三室两厅一卫，南北通透,沈抚万科城市之光 -沈抚新区,3室2厅 | 115.34平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,13人关注 / 9个月以前发布,69.6,"6,035元/平"
德商国际花园 3室2厅 南 北,德商国际花园 -沈抚新区,3室2厅 | 100.33平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,55,"5,482元/平"
97德商满二赞户型97平，三室两厅一卫，清水，电梯洋房,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,62.8,"6,475元/平"
出售 沈抚新区 德商国际花园 电梯洋房,德商国际花园 -沈抚新区,3室2厅 | 97.69平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,59,"6,040元/平"
南北通透大三室 清水房 随意装修 很哇塞,德商国际花园 -沈抚新区,3室2厅 | 119.83平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,68,"5,675元/平"
带花园 地下室 地下车位 大户型 采光好 价格可议,德商国际花园 -沈抚新区,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,118,"8,551元/平"
万科精装洋房，格局好，三室两卫，诚意出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,99,"7,616元/平"
商品房 满五 唯一 购房只交契税,德商国际花园 -沈抚新区,3室2厅 | 110.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,66.5,"6,044元/平"
房子户型好价格可议，随时看房，满二年,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.54平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,92,"7,048元/平"
万科洋房精装三室，不把山不临街不挡光，楼层好。,沈抚万科城市之光 -沈抚新区,3室2厅 | 100.98平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 10个月以前发布,79,"7,824元/平"
房源户型好，位置好，价格可议，看房方便。,万科金域蓝湾 -沈抚新区,3室2厅 | 131.26平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,129.7,"9,882元/平"
急售！沈抚新区 德商洋房顶跃 带20平露台 精装号户型,德商国际花园 -沈抚新区,4室3厅 | 158平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,31人关注 / 一年前发布,85.5,"5,412元/平"
洋房，满二年，没有贷款，三室两厅两卫,明骏雅居 -沈抚新区,3室2厅 | 124.62平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,77,"6,179元/平"
沈抚新区 德商国际花园双南卧  三室两厅两卫 有大露台,德商国际花园 -沈抚新区,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,75,"6,303元/平"
新翻修，用的都是好材料，无异味，房主诚心出售,万科金域蓝湾 -沈抚新区,3室2厅 | 114.05平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,76,"6,664元/平"
精装三室洋房，自住标准装修，全屋定制,同城一品 -沈抚新区,4室2厅 | 132.22平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,64.5,"4,879元/平"
南北三室两卫大户型 楼层好 采光充足 物业服务好,沈抚万科城市之光 -沈抚新区,3室2厅 | 106.98平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,4人关注 / 10个月以前发布,79.5,"7,432元/平"
电梯大户型 河景房 大开间 南北通透 采光好 一天没住,浑河城 -其它,3室2厅 | 137.02平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 9个月以前发布,90,"6,569元/平"
方圆位置好，户型好，精装修，拎包入住。,万科金域蓝湾 -沈抚新区,3室2厅 | 109.36平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,80,"7,316元/平"
此房为21年新交房房源 南北格局 采光好 近东北育才,沈抚中南熙悦 -沈抚新区,3室2厅 | 88平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 6个月以前发布,41,"4,660元/平"
此房为21年9月交房的新房源 房子已满二,沈抚中南熙悦 -沈抚新区,3室1厅 | 87.63平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 6个月以前发布,43,"4,907元/平"
国际鑫城 退台式洋房一楼下跃 南向花园 拎包入住,国际鑫城 -沈抚新区,5室4厅 | 168.93平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,128,"7,578元/平"
万科金域蓝湾 4室2厅 南 北,万科金域蓝湾 -沈抚新区,4室2厅 | 148平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,119,"8,041元/平"
中金公元启城C地块标准户型低价出售,中金公元启城 -沈抚新区,3室2厅 | 108.7平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,14人关注 / 一年前发布,43,"3,956元/平"
沈抚 近育才好楼层 河景高层 楼下就是浑河 随时看房,沈抚中南熙悦 -沈抚新区,3室1厅 | 105平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,56,"5,334元/平"
此房南北通透格局好、视野开阔、采光充足。,明骏雅居 -沈抚新区,3室2厅 | 124.62平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,73,"5,858元/平"
出售万科城市之光新楼，全新户型。,沈抚万科城市之光 -沈抚新区,3室2厅 | 96.82平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,11人关注 / 一年前发布,61,"6,301元/平"
自持物业 入住率8成 室内温度,沈抚万科城市之光 -沈抚新区,3室2厅 | 115.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,80,"6,931元/平"
万科4室2厅2卫，电梯洋房，位置好，前方景观带,沈抚万科城市之光 -沈抚新区,4室2厅 | 142.42平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,98.5,"6,917元/平"
沈抚新区德商国际花园 采光好 房主急售 价格可议,德商国际花园 -沈抚新区,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,53.8,"5,435元/平"
