标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
通湖巷1号，套三精装，拎包入住，出入方便,通湖巷1号 -竹湖园,3室2厅 | 111.63平米 | 东南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 5天以前发布,50.8,"4,551元/平"
望江苑三室三厅，视野好 采光好,民祥巷2号 -电影院+中心广场,3室3厅 | 137平米 | 西北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 20天以前发布,39.8,"2,906元/平"
万象城三室两厅 采光好 楼层低可贷款,学园路14号 -九附二+九附六,3室2厅 | 77.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 22天以前发布,32,"4,130元/平"
华芝御景城清水房满二唯一交通方便,华芝御景城御苑一二期 -仁和区,3室2厅 | 89.71平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 8天以前发布,51,"5,685元/平"
人民街154号，水木风华旁边相邻四小,人民街154号 -电影院+中心广场,3室2厅 | 120.12平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 13天以前发布,45,"3,747元/平"
天悦湾清水三室两厅双卫次顶楼采光好,金泰天悦湾 -炳三区,3室2厅 | 104.22平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,54,"5,182元/平"
太谷广场清水两室边户诚心出售看房方便,太谷悦城 -炳三区,2室2厅 | 82平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,58.8,"7,171元/平"
情园大厦三室两厅双卫，交通便利，采光好，视野开阔。,情园大厦 -电影院+中心广场,3室2厅 | 138.21平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 15天以前发布,38,"2,750元/平"
金海世纪城 精装两室 视野好 生活便利 出行方便,金海世纪城 -炳三区,2室2厅 | 87.51平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 1天以前发布,69.9,"7,988元/平"
曼哈顿旁精装大两室，房东急售，价格便宜，拎包入住,凤凰西街11号 -电影院+中心广场,2室2厅 | 100.14平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,29.9,"2,986元/平"
此房户型方正，采光良好，小区安静舒适，出行方便,天娇名城 -瓜子坪,3室2厅 | 90.46平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 11天以前发布,45,"4,975元/平"
鸿海巷4号 3室2厅 南,鸿海巷4号 -九附二+九附六,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,49,"3,770元/平"
炳三区学府花园大三室   拎包入住,金海学府花园 -炳三区,3室2厅 | 120平米 | 东南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,78,"6,500元/平"
九附二马德里精装128平米86万可以小刀 有钥匙看方便看,印象马德里 -九附二+九附六,4室2厅 | 129.64平米 | 东 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,70,"5,400元/平"
金海四期朗庭精装四房 南北通透 带车位家具家电出售,金海世纪城 -炳三区,4室2厅 | 138.55平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,130,"9,383元/平"
此房是商品房，三室两厅一厨两卫，交通便利，适合居住,苏铁中路289号 -玉泉,3室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,57,"4,161元/平"
