标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
国悦城！凤凰层！精装未入住，老证，不用出新征税！,国悦城 -汽车东站,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 14天以前发布,102,"8,794元/平"
建业壹号城邦四期，楼间距大，老证，中楼层楼边户,建业壹号城邦 -宝龙,3室2厅 | 141平米 | 西 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 10天以前发布,130,"9,220元/平"
中间楼层，采光充足，交通便利，位置的好都懂得,弘泰文化佳园 -新悦城,3室2厅 | 142平米 | 东 西 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,108,"7,606元/平"
东区精装3室！公摊小！得房率高！停车免费！,文渊花园 -大学城,3室2厅 | 100平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,76,"7,600元/平"
三楼      三室   满五唯一    价格低,铁路小区14号院 -八里营,3室1厅 | 71.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 10天以前发布,21.8,"3,061元/平"
建业三期 中间楼层 精装未住带全部家具家电,建业壹号城邦 -宝龙,3室2厅 | 120.63平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 11天以前发布,122,"10,114元/平"
河师大牧野公园和谐公园市政府伟业东郡北牧野花园,牧野花园 -伟业,2室2厅 | 93平米 | 西南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 15天以前发布,73,"7,850元/平"
饮马口临河观景户型，南户采光视野都不错，电梯中层,金谷时代广场 -牧野公园,1室1厅 | 51.92平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 12天以前发布,27,"5,201元/平"
步行街近 大三房 精装修 房东急售,学后街 -二中,3室2厅 | 124.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,65.9,"5,311元/平"
博瑞沁园 3室2厅 南 北,博瑞沁园 -柳青路,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 8天以前发布,83,"6,640元/平"
有选择城南庄房子的，一定看过这套房子再决定,城南庄四巷 -新乡站,3室1厅 | 86.39平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,79,"9,145元/平"
户型方正大三室，业主急售随时可看，采光很好,牧北东小区 -河师大,3室2厅 | 112.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,49.8,"4,427元/平"
宝龙商圈，东旭小区，房东诚意出售，单价低,东旭小区 -宝龙,4室2厅 | 205.4平米 | 东南 西南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,96.5,"4,699元/平"
老城区    南北通透   三室两厅  看房有钥匙,中州小区 -市中心医院,3室2厅 | 129.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,26人关注 / 一年前发布,52,"4,002元/平"
华中首座 70年产权 LOFT复式 精装修电梯 体育广场,华中·首座 -汽车东站,2室2厅 | 81.23平米 | 西 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 30天以前发布,64.9,"7,990元/平"
橄榄城 精装修两房带平台 采光全天无遮挡,嘉联·橄榄城 -橄榄城,2室2厅 | 89.9平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 12天以前发布,71.8,"7,987元/平"
二楼精装，南北通透户型好，楼层低，,新运二号院 -市中心医院,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 14天以前发布,36.8,"6,345元/平"
常青藤 楼层适中 采光好 毛坯随意装,诚城•常青藤 -大学城,3室1厅 | 115平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 21天以前发布,89,"7,740元/平"
