标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
豪  华装修160万，大品牌家具家电，低密度纯洋房社区,长江国际花园 -旺庄,4室2厅 | 190.27平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 11天以前发布,408,"21,444元/平"
梁溪区天渝骄园小三房 清水毛坯 百年东林 繁华盛岸,天渝骄园 -山北,3室2厅 | 106.61平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 12天以前发布,156,"14,633元/平"
新惠家园2室1厅，稀有小高层，白金酒店旁，百乐广场旁,新惠家园 -山北,2室1厅 | 67.8平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,94,"13,865元/平"
塔影苑，诚心出售，看房有钥匙，价格好谈,塔影苑 -上马墩,4室2厅 | 164.04平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,229,"13,961元/平"
全安镇单价罪低的 看房方便 业主诚意 罪好全款,和泽佳苑 -安镇,4室2厅 | 317.71平米 | 南 北 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,1人关注 / 11天以前发布,360,"11,332元/平"
锡东商务区，精致三室映月湖畔，采光刺眼，小区位置好,红豆香江豪庭二期 -安镇,3室2厅 | 89.18平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 26天以前发布,185,"20,745元/平"
东北塘 满堂院 大三房 中间楼层  毛坯 随时可看,融科满堂院 -东北塘,3室2厅 | 129.28平米 | 南 | 简装 | 中楼层(共10层)  | 板塔结合,0人关注 / 26天以前发布,178,"13,769元/平"
洛社商品房、采光好中间楼层、精装修、业主自住,华诚花苑 -洛社,3室2厅 | 145.49平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 28天以前发布,141,"9,692元/平"
长江路地铁口满五朝南双阳台品质装修业主诚心出售,润泽雅居 -旺庄,2室2厅 | 98.68平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 24天以前发布,150,"15,201元/平"
地铁口荟聚边洋房大四房采光视野好诚心出售,蓝光雍锦园 -东亭,4室1厅 | 141.56平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 17天以前发布,264,"18,650元/平"
纯边套 自住精装 中间楼层 看房随时 和畅,中海珑玺 -塘铁桥,3室1厅 | 109.66平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 29天以前发布,272,"24,804元/平"
房子纯毛坯新房·很干净楼层好采光佳,美新玫瑰庄园 -坊前,3室2厅 | 85.73平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,1人关注 / 7天以前发布,146,"17,031元/平"
万象城旁 锡铁巷顶带阁楼四居室 实用面积多 产权清晰,锡铁巷家园 -万象城/东绛,4室2厅 | 96.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 14天以前发布,130,"13,471元/平"
锡东新城  全新毛坯三房 中上层 看房方便 诚心出售,融创东方御园 -安镇,3室1厅 | 89.9平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 10天以前发布,189,"21,024元/平"
新上减肉，刚需电梯三房有证可贷款，户型方正,洋溪人家 -钱桥,3室1厅 | 88.44平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,88,"9,951元/平"
单价才14000 春江花园三期 全新毛坯大三房 百米到地铁,春江花园C区（锡山） -东亭,3室2厅 | 126.55平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 8天以前发布,183,"14,461元/平"
婚房家具家电齐全业主忍痛割爱首付45万，全新婚房,中海寰宇天下西区 -坊前,3室2厅 | 89.97平米 | 西南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 6天以前发布,168,"18,673元/平"
"绿城品质、品质住宅、一期高标准交付,满五唯一",蠡湖香樟园一期 -蠡湖新城,4室1厅 | 267.65平米 | 南 北 | 精装 | 低楼层(共37层)  | 板楼,66人关注 / 一年前发布,715,"26,714元/平"
盛星苑精装修大三房，楼层好，采光足，拎包入住,盛星苑 -中桥,3室2厅 | 110.63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,125,"11,299元/平"
婚房装修未住过，电梯洋房，品牌家电家具齐全,阳光100国际新城南区 -刘潭,3室2厅 | 110.06平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,1人关注 / 7天以前发布,149,"13,539元/平"
家具电器全配，南北通，中间楼层，阳台已封诚心出售,时代城（锡溪名邸） -钱桥,3室2厅 | 96.43平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,143,"14,830元/平"
此房户型方正，楼层好，采光好，位置佳，业主诚心,仁和英伦皇家花园 -山北,3室2厅 | 128.07平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 5天以前发布,178,"13,899元/平"
小区依山傍水，环境优美交通便利，低总价小三房。,融创•荣域 -融创文化旅游城,3室2厅 | 105.67平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 16天以前发布,171.5,"16,230元/平"
精装两房 户型好 次新小区  人车分流,阳光100阿尔勒 -西漳,2室1厅 | 73.49平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 14天以前发布,94,"12,791元/平"
米娅公馆 精装两房 17楼视野开阔  满五 有钥匙 诚售,阳光100米娅公馆 -西漳,2室1厅 | 86.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,115,"13,220元/平"
龙塘家园 2室1厅 南,龙塘家园 -黄巷,2室1厅 | 84.72平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,3人关注 / 14天以前发布,111,"13,102元/平"
万科天一新著3房 5.2米大横厅 中上层 中间位置 全新,万科天一新著 -西漳,3室2厅 | 117.26平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 16天以前发布,229,"19,530元/平"
此房满五唯一，业主自住装修，随时看房，业主急售,首创隽府 -东亭,3室2厅 | 129.36平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 14天以前发布,198,"15,307元/平"
