标题,开发商,房子信息,发布信息,售价/万,单价
御璟城市花园 3室2厅 南 北,御璟城市花园 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,100,"8,334元/平"
新晋南里 4室2厅 南 北,新晋南里 -榆次区,4室2厅 | 141.07平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 20天以前发布,95,"6,735元/平"
晋中市粮食局宿舍 3室2厅 南 北,晋中市粮食局宿舍 -榆次区,3室2厅 | 92.52平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,972元/平"
龙城金帝园 3室2厅 南 北,龙城金帝园 -榆次区,3室2厅 | 101.04平米 | 南 北 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 22天以前发布,69,"6,829元/平"
远大线材宿舍 2室1厅 南 北,远大线材宿舍 -榆次区,2室1厅 | 63平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 21天以前发布,35,"5,556元/平"
晋中碧桂园 4室2厅 南 北,晋中碧桂园 -榆次区,4室2厅 | 189平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,160,"8,466元/平"
良硕地厚和山 迎宾西街 小区中间位置 景观楼层 三居,良硕和山 -榆次区,3室1厅 | 96平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,69,"7,188元/平"
银海心悦 电梯景观层 中间楼层 南北户型 一梯两户满二,银海心悦 -榆次区,2室2厅 | 117平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,78,"6,667元/平"
龙湖街上，兰田传奇 东边户大红本可贷款，小三居,兰田传奇 -榆次区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,16人关注 / 10个月以前发布,58,"4,567元/平"
御璟华府 3室2厅 南,御璟华府 -榆次区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,1人关注 / 17天以前发布,99,"7,444元/平"
民盛大厦 3室2厅 南,民盛大厦 -榆次区,3室2厅 | 130.08平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 24天以前发布,86,"6,612元/平"
泽盛小区 2室2厅 南 北,泽盛小区 -榆次区,2室2厅 | 111平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,57,"5,136元/平"
羊毫街旁 精装地暖房 可拎包入住 三卧朝南采光无遮挡,供销小区 -榆次区,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,73,"5,704元/平"
首创国际学园三期 3室2厅 南 北,首创国际学园三期 -榆次区,3室2厅 | 111平米 | 南 北 | 简装 | 高楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,75,"6,757元/平"
蕴华西街 好楼层 精装修 户型好 大红本在手 可贷款,华悦尚城 -榆次区,2室2厅 | 95平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,65.8,"6,927元/平"
金润园西区 3室2厅 南 北,金润园西区 -榆次区,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,95,"7,143元/平"
华都·公园里 3室2厅 南 北,华都·公园里 -榆次区,3室2厅 | 162.3平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,106,"6,532元/平"
新兴文教城三期 3室2厅 南 北,新兴文教城三期 -榆次区,3室2厅 | 155平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,105,"6,775元/平"
新晋世家、水蜜芭莎、逸夫、文苑街、定阳路,新晋世家 -榆次区,1室1厅 | 65.15平米 | 西北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,45,"6,908元/平"
龙城大街东延  龙城金帝园 精装大两居出售 即买即住,龙城金帝园 -榆次区,2室2厅 | 99.45平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 9个月以前发布,68,"6,838元/平"
东华世家 观景好楼层全明两居拎包入住 满二,东华世家东区 -榆次区,2室2厅 | 78平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,56,"7,180元/平"
兰田传奇 2室2厅 南 北,兰田传奇 -榆次区,2室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,67,"5,404元/平"
新晋南里 3室1厅 南 北,新晋南里 -榆次区,3室1厅 | 97.04平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,76,"7,832元/平"
新兴文教城三期 2室1厅 南,新兴文教城三期 -榆次区,2室1厅 | 77平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,0人关注 / 5个月以前发布,58,"7,533元/平"
晋华苑西小区 3室2厅 南 北,晋华苑西小区 -榆次区,3室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,69,"6,449元/平"
急售迎宾西街 高层电梯房 市政府 居然之家 交通便利,金玉华府 -榆次区,2室2厅 | 108.51平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,50,"4,608元/平"
万科洋房精装两居低价出售...,万科朗润园三期 -榆次区,2室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,73,"8,296元/平"
万象国际 3室2厅 南 北,万象国际 -榆次区,3室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,3人关注 / 2个月以前发布,51.5,"5,479元/平"
天星锦苑 3室2厅 南 北,天星锦苑 -榆次区,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,128,"9,923元/平"
迎宾 街 火车站附 近 精装两居南北大通透 拎包入住,迎宾合作住宅区 -榆次区,2室2厅 | 80.92平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 1个月以前发布,56.6,"6,995元/平"
榆次市煤气公司宿舍 2室1厅 南 北,榆次市煤气公司宿舍 -榆次区,2室1厅 | 80平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,55.5,"6,938元/平"
新晋优品 3室2厅 南 北,新晋优品 -榆次区,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 6个月以前发布,61,"4,657元/平"
桂园 2室2厅 南 北,桂园 -榆次区,2室2厅 | 81平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,45,"5,556元/平"
北晨峰景 2室2厅 南 北,北晨峰景 -榆次区,2室2厅 | 82平米 | 南 北 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,60,"7,318元/平"
中格云景里 3室2厅 南 北,中格云景里 -榆次区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,58,"5,044元/平"
顺驰城市艺墅 5室3厅 南 北,顺驰城市艺墅 -榆次区,5室3厅 | 281平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,125,"4,449元/平"
北晨峰景 3室2厅 南 北,北晨峰景 -榆次区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 6天以前发布,93,"7,154元/平"
晋中万科·紫郡 3室2厅 北 南,晋中万科·紫郡 -榆次区,3室2厅 | 108平米 | 北 南 | 其他 | 中楼层(共15层)  | 板楼,1人关注 / 18天以前发布,103,"9,538元/平"
岭南水总 地暖房 三卧朝阳 可贷款,水总岭南住宅小区 -榆次区,3室2厅 | 116.18平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,82,"7,059元/平"
安宁街凤凰城  中间楼层  三室两厅两卫,凤凰城安宁街 -榆次区,3室2厅 | 138.06平米 | 北 南 | 简装 | 低楼层(共30层)  | 板楼,6人关注 / 一年前发布,99,"7,171元/平"
红星天铂 2室2厅 南 北,红星天铂 -榆次区,2室2厅 | 85.79平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 7天以前发布,70,"8,160元/平"
榆次区妇幼院宿舍 2室2厅 南 北,榆次区妇幼院宿舍 -榆次区,2室2厅 | 70平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 8天以前发布,54.5,"7,786元/平"
福晋小区 3室2厅 南 北,福晋小区 -榆次区,3室2厅 | 138平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,85,"6,160元/平"
翔龙黑陶  公摊3.5% 精装修自住满二年 复式房,翔龙黑陶 -榆次区,4室4厅 | 281.08平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,195,"6,938元/平"
华茂别墅 8室2厅 南 北,华茂别墅 -榆次区,8室2厅 | 178平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 14天以前发布,260,"14,607元/平"
印象城楼上 格局好 光线充足，大三居 便利配套..,印象大厦 -榆次区,4室2厅 | 145.73平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,120,"8,235元/平"
翰林苑 2室2厅 南 北,翰林苑 -榆次区,2室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,82,"7,810元/平"
田森嘉园C区 3室2厅 南 北,田森嘉园C区 -榆次区,3室2厅 | 149.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,89,"5,942元/平"
新晋优品 3室2厅 北 南,新晋优品 -榆次区,3室2厅 | 109平米 | 北 南 | 简装 | 高楼层(共33层)  | 暂无数据,1人关注 / 16天以前发布,65,"5,964元/平"
