标题,开发商,房子信息,发布信息,售价/万,单价
箭八组合，步梯3楼，离菜市近，户型方正，采光好,华庭苑 -箭盘山,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,103,"7,936元/平"
此房东南朝向、坐东朝南、采光明亮户型方正,古山居苑南区 -古亭山商圈,3室1厅 | 90.23平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,55,"6,096元/平"
小区环境优美，户型方正，采光充裕，配套设施完善,国信凤起新都 -西江宾馆,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,96,"7,500元/平"
此房楼层好 通风效果好 视野开阔,天翼九龙尚城 -九头山,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,76.8,"6,509元/平"
柳城花苑小区楼中楼，4房2厅3卫，精装修，拎包入住。,柳城花苑 -柳城县,4室2厅 | 168.23平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 23天以前发布,43,"2,557元/平"
恒大御景湾 花园社区   业主诚心出售 看房方便,恒大御景湾 -阳和商圈,3室2厅 | 90.07平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 30天以前发布,63,"6,995元/平"
通建中天城 4室2厅 西北 东北,通建中天城 -柳钢商圈,4室2厅 | 110.38平米 | 西北 东北 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 16天以前发布,125,"11,325元/平"
箭盘路4号柳州市勘察测绘研究院小区 低楼层,箭盘路4号柳州市勘察测绘研究院小区 -八中,2室1厅 | 59平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 14天以前发布,49,"8,306元/平"
箭盘山公园 窑埠古镇 实用面积115平 三面采光 通风好,盛天悦景台悦锦园 -东环商厦,4室2厅 | 86.8平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,12人关注 / 8个月以前发布,92,"10,600元/平"
凤起新都 户型方正 干净整洁 采光好,国信凤起新都 -西江宾馆,4室2厅 | 153.68平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 7个月以前发布,112,"7,288元/平"
金河湾 4室2厅 南,金河湾 -沃尔玛商圈,4室2厅 | 170.63平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 6天以前发布,135,"7,912元/平"
鸿泰名庭93平大两房 双阳台 好楼层 精装修,鸿泰名庭 -九头山,2室2厅 | 92.85平米 | 东 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 6天以前发布,59,"6,355元/平"
跃进路(二安小区)步梯两居室 总价低,二安小区 -杨柳郡商圈,2室2厅 | 60.58平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 19天以前发布,33,"5,448元/平"
香颂潭中西路33号项目 3室1厅 南,香颂潭中西路33号项目 -十一冶商圈,3室1厅 | 99.97平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 14天以前发布,72,"7,203元/平"
通建中天城，毛坯三房，有钥匙，有入户花园,通建中天城 -柳钢商圈,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,80,"8,164元/平"
中天城清水毛坯3房，有入户花园，有钥匙，阳光房。,通建中天城 -柳钢商圈,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,80,"8,164元/平"
12年金河湾 精装三房 钥匙在手  户型方正,金河湾 -沃尔玛商圈,3室2厅 | 112.4平米 | 南 北 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 8天以前发布,99,"8,808元/平"
鱼峰阳光花园2楼楼中楼3房，孝心楼层.,阳光花园 -九头山,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 7天以前发布,59.5,"5,777元/平"
柳开馨苑电梯中层，精装2房74平，通透，可拎包入住,柳开馨苑 -龙潭公园,2室2厅 | 73.97平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 5天以前发布,60,"8,112元/平"
双德润3栋两梯四户视野很好采光不错华润凯旋门朝南,华润凯旋门 -万象城商圈,3室2厅 | 87.85平米 | 南 | 毛坯 | 高楼层(共47层)  | 塔楼,0人关注 / 16天以前发布,103,"11,725元/平"
福柳新都孝心一楼大三房 有后花园 方便停车,福柳新都 -广雅商圈,3室2厅 | 122平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,4人关注 / 3个月以前发布,79,"6,476元/平"
