标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
此房只要三字头  采光通风佳  视野开阔,磐龙世纪城海棠湾 -云龙示范区,4室2厅 | 173.89平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,69,"3,969元/平"
日盛桂花城 白鹤菱溪校门口 毛坯大三房 满两年,日盛·桂花城 -株洲西站,3室2厅 | 113.29平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 5天以前发布,71,"6,268元/平"
都市兰亭 3室2厅 东,都市兰亭 -响石广场,3室2厅 | 88平米 | 东 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 4天以前发布,42.8,"4,864元/平"
香山美境叠墅三层 带车库 有院子精装修单价6000/平,香山美境 -栗雨（美的城）,5室3厅 | 244.59平米 | 东南 西北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,150,"6,133元/平"
大江观邸 3室1厅 南,大江观邸 -株洲大道（体育馆）,3室1厅 | 84.52平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 29天以前发布,54.8,"6,484元/平"
株洲恒大华府精装四房，房东诚心出售,恒大华府 -湖南工业大学,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1天以前发布,150,"10,490元/平"
业主诚心出售，精装修，直接拎包入住！,中建御山和苑 -庐山路,3室1厅 | 101.76平米 | 东南 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,68.8,"6,762元/平"
白鹤凌溪 日盛桂花城 毛坯大四房 电梯中层 *大阳台,日盛·桂花城 -株洲西站,4室2厅 | 134.91平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,80,"5,930元/平"
天元 经世龙城 精装三房两卫 满儿,经世龙城 -栗雨（美的城）,3室2厅 | 125.98平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,86.8,"6,890元/平"
2022年白鹤北师大，可以给孩子所想的3房，钥匙看房哦,城市风景（株洲） -庐山路,3室2厅 | 108.12平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,18人关注 / 4个月以前发布,63.8,"5,901元/平"
田心北门一楼带院子，简单装修两房一厅一卫出租,北山二村 -田心,2室1厅 | 60.52平米 | 东南 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,22.6,"3,735元/平"
户型可以，正规3房，房东现在移居长沙，所以诚心出售,天泰家园 -湖南工业大学,3室2厅 | 97.13平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,68,"7,001元/平"
正红旗广场 楼梯三楼 周正三房 配套齐全,东方花园 -大润发,3室2厅 | 107.02平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,41.9,"3,916元/平"
房子满二年，税费低，装修，户型周正,金洲西域名邸 -长江广场（市政府）,3室2厅 | 133.66平米 | 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,90.8,"6,794元/平"
庐山路南北通透双阳台，带入户花园靓噻户型，精装3房,城市风景（株洲） -庐山路,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,7人关注 / 8个月以前发布,60.8,"5,630元/平"
芦淞区  别墅区 碧玉花园 精装大3房  带杂物间  车库,碧玉花园 -庆云山,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,54.8,"4,216元/平"
谁与争锋，湖景园林，中间楼层，双阳台！,株洲恒大林溪郡 -向阳广场,4室2厅 | 139.12平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 4个月以前发布,89,"6,398元/平"
中欧昆仑 精装大三房 电梯中层 带车位,中欧昆仑首府 -株洲大道（体育馆）,3室2厅 | 122.29平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,76,"6,215元/平"
万达商圈，恒大林溪郡，品质三房，看中可谈,株洲恒大林溪郡 -向阳广场,3室2厅 | 129.89平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 4个月以前发布,78,"6,006元/平"
华润万家电梯精装三房带大露台、诚心出售,金域半岛 -新华东路,3室2厅 | 109.15平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,59.8,"5,479元/平"
带杂物间，满两年，户型好，楼层好，停车方便,跃进村 -向阳广场,3室2厅 | 81.87平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,33.6,"4,105元/平"
神农城 建宁  大平层  清水毛坯,华晨国际 -神农城,4室2厅 | 149.42平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,107,"7,162元/平"
满五年一手业主，全屋品牌家具家电，装修未住过,湘银星城（恒大华府） -湖南工业大学,4室2厅 | 122.35平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 7个月以前发布,101.8,"8,321元/平"
美的蓝溪谷 4室1厅 南,美的蓝溪谷 -栗雨（美的城）,4室1厅 | 141平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 2天以前发布,101,"7,164元/平"
红旗广场 欧洲花园 精装大两房 诚心出售,欧洲花园 -红旗广场,2室1厅 | 89.11平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 6天以前发布,35.8,"4,018元/平"
栗雨湖 居家精装小三房 只要50多万,佳兆业金域天下三期 -栗雨（美的城）,3室2厅 | 90.14平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 30天以前发布,54.5,"6,047元/平"
新火车站旁电梯中层，毛坯130平南北采光,五景花苑 -新华东路,3室2厅 | 129.9平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 27天以前发布,60.8,"4,681元/平"
华晨山水洲城居家三房 诚心出售,山水洲城 -株洲西站,3室2厅 | 126.92平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,69,"5,437元/平"
白鹤菱溪 日盛桂花城 毛坯四房  可按揭！@,日盛·桂花城 -株洲西站,4室2厅 | 136.18平米 | 东南 | 毛坯 | 低楼层(共35层)  | 塔楼,2人关注 / 一年前发布,72.6,"5,332元/平"
莱茵小镇  大三房  实用装修  随时看房,中天恒基莱茵小镇 -田心,3室2厅 | 130.15平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,42.8,"3,289元/平"
总价低 实用面积大  环境静 采光佳 复式楼 拎包入住,新城壹号 -田心,3室2厅 | 90.97平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,30,"3,298元/平"
河东工大大学步梯好楼层三房两卫出售,东环新城南区 -工学院,3室2厅 | 102.45平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,40.8,"3,983元/平"
红旗广场，新桂广场，交通便利毛坯，拎包入住采光好,新桂未来 -向阳广场,3室2厅 | 108.75平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,55.8,"5,132元/平"
华晨国际3房均价6100出售有钥匙随时看房,华晨国际广场 -神农城,3室2厅 | 113.84平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,66.8,"5,868元/平"
全新精装的大两房 靠.近公园 出行方便,东方明园 -向阳广场,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,56.8,"6,455元/平"
佳兆业 全房湖景无遮挡 品牌电器部带走 拎包即住,佳兆业金域天下三期 -栗雨（美的城）,2室2厅 | 78.49平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,49.5,"6,307元/平"
商品房，税费低，位置好，出行便利，楼层好,紫东小区 -大润发,2室2厅 | 66.91平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,27,"4,036元/平"
万达旁 郦城 高档小区人车分流绿化好,城发郦城 -向阳广场,2室1厅 | 86.24平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,2人关注 / 5个月以前发布,43,"4,987元/平"
出门就是天元中小 精装一室一厅做了小两房 户型周正,华晨栗雨香堤 -栗雨（美的城）,1室1厅 | 53.92平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 7天以前发布,36.8,"6,825元/平"
急售 东部美的城2期 精装自住保养好,东部美的城二期 -向阳广场,3室2厅 | 119.37平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 15天以前发布,83,"6,954元/平"
天元中，X学旁精致大三房，中间楼层,高科慧谷阳光 -栗雨（美的城）,3室1厅 | 115.42平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板塔结合,2人关注 / 6个月以前发布,65,"5,632元/平"
万达商圈 电梯中间楼层 居家精装修 拎包入住,歌雅郡 -向阳广场,3室1厅 | 86.68平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 6个月以前发布,57.8,"6,669元/平"
2019年装修，人车分流小区，红旗，万达双商圈配套,御景龙湾 -汽车城,4室2厅 | 136.35平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,78,"5,721元/平"
银天国际 步步高对门 小区已装电梯 精装四房 自住装修,保利高尚小区 -神农城,4室2厅 | 145.1平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,82,"5,652元/平"
