标题,开发商,房子信息,发布信息,售价/万,单价
精装大三房，中间楼层，证满二，户型方正，采光视野好,东城明珠 -阳逻,3室2厅 | 99.59平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4天以前发布,59.2,"5,945元/平"
东湖边的洋房 一梯两户 低公摊 满两年 8号线地铁,东湖林语 -东湖东亭,3室2厅 | 129.08平米 | 南 北 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,10人关注 / 4个月以前发布,350,"27,115元/平"
户型通透 采光好 看江看公园 诚意出售,印力中心 -青山,3室2厅 | 93.83平米 | 东南 | 精装 | 高楼层(共36层) | 2016年建 | 板塔结合,1人关注 / 8天以前发布,175,"18,651元/平"
地铁3号线100米，万科物业，精装修，楼层好，随时看房,万科汉阳国际D壹区 -王家湾,3室2厅 | 108.19平米 | 南 | 精装 | 高楼层(共45层) | 2017年建 | 塔楼,1人关注 / 5天以前发布,185,"17,100元/平"
万科物业，精装大三房，老证楼层好，随时看房,万科汉阳国际B区 -王家湾,3室2厅 | 138.3平米 | 东南 | 精装 | 高楼层(共34层) | 2015年建 | 板楼,1人关注 / 5天以前发布,220,"15,908元/平"
乐居 2室1厅 东南,乐居 -大智路,2室1厅 | 65.23平米 | 东南 | 简装 | 高楼层(共8层)  | 板塔结合,2人关注 / 8天以前发布,65,"9,965元/平"
此房产权证满五，南北朝向采光通风好 ，业主诚售,水果湖第一中学宿舍 -水果湖,3室2厅 | 95.6平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 6天以前发布,256,"26,779元/平"
花园小区光谷新世界精装大三房，无贷款,光谷新世界汇贤邸 -关山大道,3室2厅 | 129.32平米 | 南 北 | 精装 | 中楼层(共32层) | 2014年建 | 板塔结合,3人关注 / 30天以前发布,429,"33,174元/平"
二楼洋房纯毛坯！纯毛坯！，诚心出，赶紧的,当代卡梅尔小镇 -金融港,3室2厅 | 129.08平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,2人关注 / 8天以前发布,162,"12,551元/平"
阳逻地铁边，江北快速旁，中间楼层，毛坯正2房总价低,佳阳翠湖里 -阳逻,2室2厅 | 92.01平米 | 南 | 毛坯 | 中楼层(共33层) | 2017年建 | 板塔结合,1人关注 / 5天以前发布,38,"4,130元/平"
