标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
四室两卫 复式楼层 优质公司家属院,汉台区优质公司家属院 -汉台区,4室2厅 | 195.97平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,55,"2,807元/平"
江边花园小区 经典小三室 采光好 随时可以看房,天河·望江郡 -汉台区,3室2厅 | 97.05平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,67.5,"6,956元/平"
市区1楼带花园36平/低总价 有钥匙 看房方便,开源小区 -汉台区,2室2厅 | 53.49平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 10天以前发布,32,"5,983元/平"
此房现房，没有多余的税费，楼层好,明珠南苑二期 -汉台区,2室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,53.3,"5,384元/平"
产证满二 ，户型方正 ，价格可谈  看房方便,舒馨苑小区 -汉台区,3室2厅 | 117.84平米 | 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,38,"3,225元/平"
城东105平大2室 税费少 生活便利,国鑫小区 -汉台区,2室1厅 | 105平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,42,"4,000元/平"
望江路东新街交界处 三室精装修业主诚意出售看房方便,地王熙苑 -汉台区,3室1厅 | 95.83平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 23天以前发布,52,"5,427元/平"
城东多层好楼层，两室精装保养七成新，户型好采光足,世纪园小区 -汉台区,2室2厅 | 98.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,42.5,"4,335元/平"
城东品质洋房楼层好大横厅带观景露台公摊小得房率高,建昌卡斯迪亚第壹大道 -汉台区,3室2厅 | 152.78平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,30人关注 / 6个月以前发布,82.8,"5,420元/平"
城西 集中供暖 无多余税费，看房方便 业主急售,广厦明珠北苑 -汉台区,2室2厅 | 98.9平米 | 西 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 20天以前发布,51,"5,157元/平"
城西体育场旁简装三居，110平南北通透诚心出售62万,民乐花苑二期北区 -汉台区,3室2厅 | 109.62平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,61.5,"5,611元/平"
精装修，交通便捷，配套齐全。户型方正,民乐花苑一期 -汉台区,3室2厅 | 95.65平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 13天以前发布,52,"5,437元/平"
天汉长街 湿地公园旁 高品质小区 碧桂园 精装修3居室,碧桂园·阅江府 -汉台区,3室2厅 | 129.87平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,112,"8,625元/平"
莲湖路 多层二楼 交通便利 价格优惠 出行方便,广厦小区 -汉台区,2室2厅 | 91.21平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 7天以前发布,29,"3,180元/平"
