标题,开发商,房子信息,发布信息,售价/万,单价
三环内地铁口南北两室 多层3楼看房方便 有钥匙,国奥现代城 -西三台子,2室2厅 | 100.1平米 | 南 北 | 其他 | 中楼层(共6层) | 2009年建 | 板楼,13人关注 / 4个月以前发布,75,"7,493元/平"
香槟橙郡 2室1厅 南 北,香槟橙郡 -于洪广场,2室1厅 | 71.86平米 | 南 北 | 精装 | 中楼层(共13层) | 2018年建 | 板楼,5人关注 / 2个月以前发布,73.8,"10,270元/平"
万科城峰汇南向跃层 精装修 带家具家电 满五年 急售,万科城二期 -长白,3室2厅 | 163.53平米 | 南 | 精装 | 高楼层(共26层) | 2006年建 | 板塔结合,0人关注 / 5天以前发布,225,"13,759元/平"
长白南 恒大名都 高楼层 采光好 精装修 拎包入住,恒大名都一期 -会展中心,2室2厅 | 86.37平米 | 南 北 | 精装 | 中楼层(共32层) | 2012年建 | 板楼,0人关注 / 6天以前发布,65,"7,526元/平"
金廊好房 业主急售 电梯房 房龄新 三居两卫,建院社区 -金廊,3室2厅 | 142.13平米 | 南 北 | 精装 | 中楼层(共29层) | 2013年建 | 板楼,1人关注 / 2天以前发布,220,"15,479元/平"
南北通透，中楼层好采光，诚心出售，交通方便，近地铁,华润24城 -张士,3室2厅 | 98.1平米 | 南 北 | 毛坯 | 中楼层(共29层) | 2020年建 | 板楼,0人关注 / 5天以前发布,115,"11,723元/平"
园区里 三期 不临街 前排小高洋房 采光好 万科物业,新加坡城一期三期 -长白,2室1厅 | 90.43平米 | 南 北 | 精装 | 低楼层(共32层) | 2012年建 | 板楼,2人关注 / 6天以前发布,119,"13,160元/平"
房主急售，有钥匙随时可看房，位置好，采光充足。,恒大名都二期 -会展中心,3室2厅 | 109.19平米 | 西南 | 其他 | 高楼层(共33层) | 2012年建 | 板楼,0人关注 / 6天以前发布,65,"5,953元/平"
品质园区 万科物业 南北通透 精装修,维士法兰香颂 -长青,2室2厅 | 86.58平米 | 南 北 | 精装 | 低楼层(共20层) | 2017年建 | 板楼,0人关注 / 5天以前发布,111,"12,821元/平"
世茂3号楼河景房精装保持好无大税,世茂新五里河 -三好街,4室2厅 | 211.68平米 | 南 北 | 精装 | 高楼层(共52层) | 2011年建 | 板楼,1人关注 / 23天以前发布,298,"14,078元/平"
新市府 精装大平层 空中别墅 楼下公园 一梯一户近地铁,沈阳星河湾 -新市府,4室2厅 | 313.28平米 | 南 北 | 其他 | 中楼层(共27层) | 2018年建 | 板楼,3人关注 / 5天以前发布,520,"16,599元/平"
急售居易，一环旁近地铁近龙之梦,居易·新青年 -黎明,2室1厅 | 88.49平米 | 东 南 北 | 简装 | 中楼层(共22层) | 2016年建 | 板楼,0人关注 / 8天以前发布,69.9,"7,900元/平"
邻地铁 采光十足 配套完善 交通便利,长青小区 -泉园,2室2厅 | 177.75平米 | 南 北 | 简装 | 高楼层(共7层) | 2009年建 | 板楼,0人关注 / 5天以前发布,65,"3,657元/平"
4楼 东西  勋望总 兴华公园 九号地铁口 贵和市场,南九中路3 -铁西广场,2室1厅 | 107.6平米 | 西 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,0人关注 / 6天以前发布,42,"3,904元/平"
华润翡翠城三室，精装没住过，后排楼，全天无遮挡,华润翡翠城 -四台子,3室2厅 | 100.78平米 | 南 北 | 精装 | 高楼层(共27层) | 2018年建 | 板楼,2人关注 / 17天以前发布,120,"11,908元/平"
浑南 新市府 月星中 央公园 2室精装修 采光好,月星中央公园 -新市府,2室1厅 | 83.34平米 | 南 北 | 精装 | 中楼层(共33层) | 2018年建 | 板塔结合,2人关注 / 17天以前发布,93,"11,160元/平"
水调歌城三期洋一  百平花园地下室方林装修建面230,水调歌城Ｅ区 -于洪新城,4室3厅 | 109.25平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 12天以前发布,135,"12,357元/平"
万科西华府精装高层 园区位置好,万科西华府 -张士,3室2厅 | 115.14平米 | 南 北 | 精装 | 中楼层(共33层) | 2019年建 | 板楼,1人关注 / 16天以前发布,141,"12,246元/平"
理工大学 商圈 嘉华新城 两室出售,嘉华新城 -理工大学,2室1厅 | 70.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,44.8,"6,350元/平"
小高层，户型方正，采光好，装修保持好,华府丹郡 -会展中心,3室2厅 | 90.78平米 | 南 北 | 精装 | 低楼层(共18层) | 2018年建 | 板楼,0人关注 / 10天以前发布,62,"6,830元/平"
万科明天广场 万科精装 临地铁 满二年 配套齐全,万科明天广场 -二十一世纪,2室2厅 | 94.43平米 | 南 北 | 精装 | 高楼层(共27层) | 2015年建 | 板塔结合,0人关注 / 6天以前发布,107,"11,332元/平"
精装两室，随时可看，南北通透，满二年,奥园国际城 -会展中心,2室1厅 | 71.22平米 | 南 北 | 精装 | 低楼层(共33层) | 2011年建 | 板塔结合,0人关注 / 7天以前发布,56,"7,863元/平"
顶盛国际花园 精装2室 近地铁 拎包入住,顶盛国际花园 -会展中心,2室1厅 | 87.7平米 | 南 北 | 精装 | 中楼层(共33层) | 2018年建 | 板塔结合,0人关注 / 5天以前发布,65,"7,412元/平"
皇姑区 万科精装 俩室 中高楼层 视野好 无遮挡 不是顶,万科紫台 -三台子,2室1厅 | 90.48平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 14天以前发布,107,"11,826元/平"
其实盛和祥 两室南北  不临街  园区中间  采光好,其仕盛和祥 -东湖,2室2厅 | 90.45平米 | 南 北 | 简装 | 中楼层(共11层) | 2013年建 | 板楼,0人关注 / 7天以前发布,90,"9,951元/平"
此房满五，南北通透户型方正，高举架通风好,恒大江湾一二期 -东湖,3室1厅 | 114.2平米 | 南 北 | 简装 | 低楼层(共24层) | 2013年建 | 板楼,0人关注 / 16天以前发布,70,"6,130元/平"
九里 不临街 中间位 全天光 30万美式装修  急售！,华润奉天九里 -长青,2室2厅 | 93.56平米 | 南 北 | 精装 | 低楼层(共24层) | 2017年建 | 板楼,0人关注 / 5天以前发布,164,"17,529元/平"
急售· 绿城玉兰花园 方林装修  无大税 南北 通透,绿城全运村玉兰花园 -新市府,3室2厅 | 110.78平米 | 南 北 | 精装 | 中楼层(共15层) | 2014年建 | 板楼,0人关注 / 9天以前发布,115,"10,381元/平"
四号地铁，西明厅，精装短住，南北通透，采光好,会展壹号 -会展中心,2室1厅 | 59.37平米 | 南 西 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,50.4,"8,490元/平"
上和府 南北标户 精装修 满2年 看房方便,中海和平之门四期上和府 -长白,2室2厅 | 83.1平米 | 南 北 | 精装 | 中楼层(共33层) | 2019年建 | 板楼,0人关注 / 9天以前发布,160,"19,254元/平"
想买好房看这里，三好街上，南深水湾，北医大二院,中科院社区 -南湖,1室1厅 | 47.59平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,29,"6,094元/平"
优质好房，绿城锦兰苑A区 园区景观位置 看泳池,绿城全运村锦兰苑A区 -新市府,3室1厅 | 148.26平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 13天以前发布,168,"11,332元/平"
浑南奥体河畔新城四期电梯洋房中高楼层南北通透诚心卖,河畔新城四期 -长青,3室2厅 | 143.12平米 | 南 北 | 简装 | 高楼层(共9层) | 2010年建 | 板楼,2人关注 / 9天以前发布,140,"9,783元/平"
中粮.隆悦祥云 清水洋房 园区内 好赞好房 急售出售,中粮隆悦祥云 -会展中心,3室2厅 | 123.91平米 | 南 北 | 毛坯 | 中楼层(共8层) | 2022年建 | 板楼,1人关注 / 9天以前发布,147,"11,864元/平"
格林生活坊 精装 大三室 满五 单价低 面积大 诚心出售,格林生活坊二期 -长白,3室2厅 | 130.72平米 | 西南 北 | 精装 | 中楼层(共21层) | 2008年建 | 板楼,2人关注 / 9天以前发布,172,"13,158元/平"
铁西 城建花园 电梯 10楼 南北 通透  3室2厅2卫 培英,城建花园 -滑翔,3室2厅 | 174平米 | 南 北 | 精装 | 高楼层(共12层) | 1999年建 | 板楼,0人关注 / 8天以前发布,142,"8,161元/平"
皇姑区碧桂园，珠江五 虹桥北 3室户型 精装修,碧桂园学府壹号 -四台子,3室2厅 | 82.41平米 | 南 北 | 精装 | 高楼层(共29层) | 2017年建 | 板塔结合,0人关注 / 6天以前发布,87,"10,557元/平"
南北通透 把西山 视野开阔 采光充足,远洋公馆 -西三台子,3室1厅 | 116.99平米 | 南 北 | 精装 | 中楼层(共32层) | 2015年建 | 板塔结合,0人关注 / 8天以前发布,115,"9,830元/平"
大东区 富力尚悦居 中间楼层  精装修,富力尚悦居 -望花,3室2厅 | 87.56平米 | 南 北 | 精装 | 中楼层(共25层) | 2017年建 | 板楼,0人关注 / 8天以前发布,90,"10,279元/平"
枫合万嘉三期中间位置，全天采光，南北不临街,枫合万嘉三期 -八王寺,3室2厅 | 125.52平米 | 南 北 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,1人关注 / 5天以前发布,160,"12,747元/平"
翔凤华园 珠5 43 好楼层不把山不临街 近地铁,翔凤华园 -北行,3室2厅 | 155.53平米 | 南 北 | 简装 | 中楼层(共12层) | 2000年建 | 板楼,0人关注 / 5天以前发布,217,"13,953元/平"
封闭式园区 中间楼层 户型好 小高 近地铁 万达商圈,昊辰苑 -艳粉,3室2厅 | 144.2平米 | 南 北 | 简装 | 中楼层(共17层) | 2006年建 | 板楼,0人关注 / 7天以前发布,128,"8,877元/平"
长白岛 内   万科峰会   天然氧吧  万科自持物业,万科城二期 -长白,4室2厅 | 252.93平米 | 南 北 | 精装 | 中楼层(共32层) | 2006年建 | 板塔结合,0人关注 / 26天以前发布,370,"14,629元/平"
和平长白新加坡城电梯洋房 园区中 心一楼带地下 花园,新加坡城一期三期 -长白,3室1厅 | 159.36平米 | 南 北 | 简装 | 低楼层(共6层) | 2012年建 | 板楼,2人关注 / 18天以前发布,290,"18,198元/平"
A区，一环边双地铁，电梯小高。不把山不临街园区里,新华壹品A区 -上园,3室2厅 | 123.74平米 | 南 北 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,1人关注 / 15天以前发布,108,"8,728元/平"
电梯洋房 园区好位置 不把不临 大跃层 落地阳台,西江苑 -荷兰村,6室2厅 | 214.06平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 13天以前发布,95,"4,439元/平"
房子格局通透 毛坯房 采光好 出行便利 购物方便,中国铁建御水澜湾 -道义,3室2厅 | 90.78平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 31天以前发布,63,"6,940元/平"
必卖房 南北标户 万象汇 10号线 6号线 供暖好,鑫柳家园 -长客,2室2厅 | 106.9平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 22天以前发布,84.5,"7,905元/平"
急卖 有钥匙万达 纳帕地铁 9号线直达,万达广场B组团 -铁西广场,3室2厅 | 147.48平米 | 南 北 | 精装 | 中楼层(共33层) | 2011年建 | 板楼,1人关注 / 1个月以前发布,135,"9,154元/平"
长白浑南旁 精装2室 高楼层 采光好 恒大名都一期,恒大名都一期 -会展中心,2室2厅 | 86.45平米 | 东南 | 精装 | 高楼层(共32层) | 2012年建 | 板楼,0人关注 / 21天以前发布,61.5,"7,114元/平"
金家湾，精装修两室，南北通透，看房方便，诚心出售！,金家湾 -长白,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 29天以前发布,68,"7,011元/平"
金地艺境精装电梯洋顶 园区中间 带南向露台,金地艺境 -东湖,3室2厅 | 108.1平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,112,"10,361元/平"
浑南新市府 中海三期 落地窗 园区中间 精装修 满二,中海康城橙郡 -新市府,2室1厅 | 87.26平米 | 南 北 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,1人关注 / 23天以前发布,109,"12,492元/平"
精装房 全天采光 契税过二年 物业好 近地铁,汇置尚都 -道义,3室2厅 | 112.42平米 | 南 北 | 精装 | 中楼层(共33层) | 2019年建 | 板楼,0人关注 / 31天以前发布,108,"9,607元/平"
碧桂园 公园旁 视野宽阔 看房方便 业主诚心出售,碧桂园公园上城 -新市府,3室2厅 | 92.33平米 | 南 西 北 | 精装 | 高楼层(共34层) | 2019年建 | 板楼,4人关注 / 30天以前发布,115,"12,456元/平"
万科华润  幸福里 三室两卫 南昌 急售 看房方便,长白岛·幸福里 -长白,3室2厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共34层) | 2017年建 | 板楼,5人关注 / 31天以前发布,150,"12,196元/平"
前排洋房 好楼层 全天采光 精装修 没住过 急售,信达万科城 -新市府,3室1厅 | 121.23平米 | 南 北 | 精装 | 高楼层(共30层) | 2019年建 | 板楼,1人关注 / 24天以前发布,126,"10,394元/平"
远洋大河宸章 中间楼层，远眺浑河 急卖 七中,远洋大河宸章 -东五里河,3室1厅 | 121.66平米 | 南 北 | 其他 | 中楼层(共28层) | 2018年建 | 板楼,6人关注 / 29天以前发布,258,"21,207元/平"
清水南北户型 中间好楼层 全天采光无遮挡 低密园区,远洋仰山 -新市府,3室1厅 | 125.88平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2020年建 | 板楼,0人关注 / 26天以前发布,123,"9,772元/平"
婚房出售 户型好 满五年 看房方便,郡原小石城二期E区 -白塔,3室1厅 | 85.29平米 | 南 北 | 精装 | 高楼层(共33层) | 2018年建 | 板楼,0人关注 / 17天以前发布,65.9,"7,727元/平"
此房业主诚心出售看房方便，精装修拎包入住。,三盛颐景御园 -道义,3室2厅 | 116.01平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 16天以前发布,70,"6,034元/平"
沈北道义 太湖国际花园三室二厅精装拎包入住,太湖国际花园 -道义,3室1厅 | 88.27平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 21天以前发布,85,"9,630元/平"
人杰水岸一期 多层三室 中间好楼层 采光好,中铁人杰水岸一期 -道义,3室1厅 | 119.21平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2014年建 | 板楼,0人关注 / 24天以前发布,96,"8,054元/平"
浑南 世纪大厦 精装2室 诚心卖 好楼层 采光好看房方便,伯爵源筑 -二十一世纪,2室1厅 | 91.72平米 | 南 | 其他 | 中楼层(共16层) | 2016年建 | 板楼,0人关注 / 5天以前发布,88,"9,595元/平"
浑南奥体商圈 名流印象四五期精装修两室,名流印象四五期 -奥体,2室2厅 | 85.12平米 | 西南 | 精装 | 低楼层(共33层) | 2012年建 | 塔楼,1人关注 / 8天以前发布,85,"9,986元/平"
精装修 人工湖视野 有钥匙方便看 诚心出售,恒大盛京印象 -新市府,3室2厅 | 112.83平米 | 南 北 | 精装 | 高楼层(共31层) | 2019年建 | 板塔结合,1人关注 / 13天以前发布,105,"9,307元/平"
清水 南北标户 采光好 视野好 随时看房,美的城 -丁香湖,2室1厅 | 87.23平米 | 南 北 | 毛坯 | 中楼层(共27层) | 2018年建 | 板楼,0人关注 / 6天以前发布,75,"8,598元/平"
园区中间位置，楼层好，一切美景尽收眼帘！,恒大滨江左岸 -东湖,3室2厅 | 133.09平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 12天以前发布,128,"9,618元/平"
绿城兰园 户型好 不临街 看房随时。,绿城全运村三期兰园 -新市府,3室1厅 | 128.13平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 12天以前发布,166,"12,956元/平"
学府雅园一环内 童晖 光明商品房 一梯四户 地铁公园,学府雅园 -北陵,3室1厅 | 111.1平米 | 南 北 | 简装 | 高楼层(共14层)  | 塔楼,0人关注 / 14天以前发布,63.8,"5,743元/平"
万达 出门地铁 公园 园区中间 中间楼层,万达·公园ONE -新市府,3室2厅 | 118.63平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2020年建 | 板塔结合,0人关注 / 13天以前发布,162,"13,656元/平"
橡树湾二期 园区中间 装修全新几乎没咋住 看房方便,华润橡树湾二期 -丁香湖,3室2厅 | 135.61平米 | 南 北 | 精装 | 低楼层(共30层) | 2013年建 | 板楼,0人关注 / 11天以前发布,138,"10,177元/平"
龙湖唐宁 南北标户 大两室 高层不挡光 北向河景,龙湖唐宁ONE -长白,2室2厅 | 95.34平米 | 南 北 | 简装 | 高楼层(共33层) | 2019年建 | 板塔结合,0人关注 / 15天以前发布,166,"17,412元/平"
二环内湖景房309平6室大平层,恒大华府 -启工街,6室2厅 | 309.16平米 | 南 北 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,46人关注 / 一年前发布,280,"9,057元/平"
