标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
洛江花园小区 3房2厅 边套采光好 诚售随时看房,美裕蓝山墅 -洛江区,3室2厅 | 120.6平米 | 西南 | 毛坯 | 低楼层(共21层)  | 板塔结合,1人关注 / 5个月以前发布,104,"8,624元/平"
中威中心城，装修小三房，房东诚意出售,中威中心城 -晋江万达,3室2厅 | 89.67平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 6天以前发布,180,"20,074元/平"
高层边套，观五里桥全景，户型通透敞亮,延平苑 -安海镇,3室2厅 | 119.95平米 | 西南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 3天以前发布,172,"14,340元/平"
泉秀路单身公寓 出租率高 高层两面采光,阳光曼哈顿 -万达,1室0厅 | 29.95平米 | 东 | 精装 | 高楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,49.8,"16,628元/平"
池店桥南百捷上悦城旁精装边套二房,百捷中央公园华府 -泉州桥南,2室2厅 | 66.73平米 | 东北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,113,"16,934元/平"
中庭绿化景观丰富，小区品质好，物业管理到位,中骏蓝湾半岛 -泉州桥南,3室2厅 | 123.74平米 | 东南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,256,"20,689元/平"
低总价！桥南恒大御景湾边套两卫 118平居住舒适度高,恒大御景湾 -泉州桥南,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,215,"18,377元/平"
此房好楼层采光好视野好，户型方正坐北朝南3房2厅2卫,广海聚景山庄 -惠安县,3室2厅 | 109.33平米 | 东南 | 毛坯 | 高楼层(共28层)  | 暂无数据,3人关注 / 一年前发布,125,"11,434元/平"
滨江国际经典错层 大四居  好楼层 视野无遮挡,滨江国际 -惠安县,4室2厅 | 184平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,132,"7,174元/平"
建德花园2期中层简装3房2万 户型方正 明厨明卫,建德花园二期 -石狮中心,3室2厅 | 126.49平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,86,"6,799元/平"
酒厂套房 5室2厅 南,酒厂套房 -宝龙广场,5室2厅 | 156.53平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,113,"7,220元/平"
皇江御景(正看江)4房双阳台精装修,茂诚皇江御景 -浮桥,4室2厅 | 136.11平米 | 东 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 7天以前发布,272,"19,984元/平"
格林独门独户，稀有四房户型，满2,浔兴格林春天 -晋江万达,4室2厅 | 143.13平米 | 西南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 6天以前发布,222,"15,511元/平"
宝龙机场正规4房业主换别墅诚意出售,天骏壹品 -宝龙广场,4室2厅 | 135.95平米 | 东南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 2天以前发布,191,"14,050元/平"
中骏裕景湾高层精装带露台  业主诚意出售,中骏裕景湾 -城东,3室2厅 | 126.17平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 4个月以前发布,398,"31,545元/平"
仓边新苑  四房两厅  格局好  业主诚意出售,仓边新苑 -SM广场,4室2厅 | 155平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,0人关注 / 10天以前发布,147,"9,484元/平"
精装空房 拎包入住 产权满 孩子去读书方便,中骏柏景湾 -城东,2室2厅 | 61.77平米 | 西南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,190,"30,760元/平"
急售：桂馥苑精装三房万达商圈生活便利,桂馥苑 -晋江万达,3室2厅 | 121.67平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 10天以前发布,193,"15,863元/平"
宝珊精装修下叠别墅，大地下室，得房率高,宝珊花园景峰 -泰禾广场,5室2厅 | 327.7平米 | 东南 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 6天以前发布,1080,"32,957元/平"
城东体育馆旁 带装修低于毛坯价诚售 电梯高层,中骏裕景湾 -城东,3室2厅 | 89平米 | 东南 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 21天以前发布,245,"27,529元/平"
户型格局好前后阳台，源昌锦绣壹号,源昌锦绣壹号 -泉港区,4室2厅 | 143.85平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 15天以前发布,110,"7,647元/平"
格局好，楼层高，采光足，视野宽阔  精装修,中骏裕景湾 -城东,4室2厅 | 126平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,10人关注 / 8个月以前发布,402,"31,905元/平"
东边套三面采光，视野无遮挡，电梯中层，纯毛坯5房,绿创山语城 -城东,5室2厅 | 145.09平米 | 东 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,255,"17,576元/平"
出行方便，小区绿化好，物业管理到位，干净整洁,溜石花园二期 -泉州桥南,3室2厅 | 95.1平米 | 东南 | 精装 | 高楼层(共20层)  | 板楼,3人关注 / 30天以前发布,123,"12,934元/平"
天悦在卖价格行情的仅一套好楼层毛坯出售,中航城天悦 -宝龙广场,3室1厅 | 99.12平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,157.7,"15,911元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全,高阳华庭 -宝龙广场,4室1厅 | 153.12平米 | 东南 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 18天以前发布,258,"16,850元/平"
中航城天骏106平平层三房，装修未入住，工作调动卖房,中航城天骏 -宝龙广场,3室2厅 | 106.76平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 14天以前发布,193,"18,078元/平"
五星花园城118平大三房 诚意出售,五星花园城 -宝龙广场,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,88,"7,458元/平"
融泉花都 1室1厅 南,融泉花都 -宝龙广场,1室1厅 | 63.25平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 8天以前发布,111.2,"17,582元/平"
津淮街电梯房，户型方正，诚意出售,后坂裕达小区 -丰泽街,3室1厅 | 124.32平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 10天以前发布,243,"19,547元/平"
丰泽城东金凤屿花苑三房诚意出售，中高楼层看房方便,金凤屿花苑西区 -城东,3室2厅 | 118.95平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 16天以前发布,150,"12,611元/平"
海城花苑，电梯三房，海峡体育馆旁,海城花苑 -城东,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共28层)  | 平房,0人关注 / 16天以前发布,170,"14,913元/平"
此房满二 业主自住装修保养好 小区入住率较高,瑞璟香榭花都 -宝龙广场,3室2厅 | 161.59平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 2天以前发布,194,"12,006元/平"
