标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
总高11层电梯洋房公摊小 海普凤凰城带配房 高新五矿,海普凤凰城 -南开发区,2室2厅 | 89.45平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,63,"7,044元/平"
恒大城 精装两室 二次装修 价格合适,恒大城 -高铁新区,2室2厅 | 83.7平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 12天以前发布,63,"7,527元/平"
电梯房人车分流      位置优越......,领秀城二期 -岱岳区区委,3室2厅 | 95.72平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,4人关注 / 9个月以前发布,80,"8,358元/平"
南开发区 海普凤凰城三期 电梯小高层 随时看房,海普凤凰城 -南开发区,3室2厅 | 131.41平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 11个月以前发布,105,"7,991元/平"
环山路 市政府旁 环境优美 山景房 满五,澳泰山莊 -泰安市委,3室2厅 | 132.94平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,256,"19,257元/平"
东岳  宝龙广场 泰山学院岱道庵路家属院三室两厅一卫,泰山学院岱道庵路宿舍区 -宝龙城,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,150,"12,500元/平"
证满2年，中楼层，无贷款，可随时过户！开元中，学,开元盛世和园B区 -泮河景区,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 23天以前发布,90,"9,184元/平"
龙潭路精装未住双阳台集中供暖楼间距很大,中南佳期漫 -南开发区,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 18天以前发布,70,"7,527元/平"
抢！单价六千多的泰山下 山景尚宅 中间楼层边户 岳峰,山景尚宅 -体育中心,2室2厅 | 129.09平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,0人关注 / 15天以前发布,86,"6,663元/平"
奥林匹克花园电梯洋房 中间楼层 证满五年 精装带配房,泰安奥林匹克花园 -南开发区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,11人关注 / 5个月以前发布,86.8,"7,234元/平"
灵芝小区，三室朝阳，户型方正，生活便利,灵芝小区 -徐家楼,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,64,"7,112元/平"
11层电梯洋房，一梯两户 精装三居室 钥匙在手,中天三里银和源 -步行街,3室2厅 | 100.37平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,98,"9,764元/平"
开元盛世和园！12楼东户 有平面车位带储藏室！有钥匙,开元盛世和园B区 -泮河景区,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,108,"9,558元/平"
华新新城 毛坯两室 南北通透 视野开阔 配套成熟,华新新城 -南开发区,2室2厅 | 85.9平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,7人关注 / 3个月以前发布,53.6,"6,240元/平"
此房公摊小一梯两户户型好，单价低总价低，可拎包入住,曹家村社区 -泮河景区,2室2厅 | 93平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 8天以前发布,60,"6,452元/平"
开元盛世和园边户三室  精装未住 楼层好 看房方便,开元盛世和园A区 -泮河景区,3室2厅 | 104.91平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,106.5,"10,152元/平"
老街开元盛世和园 边户精装修 好楼层看房方便 硕园,开元盛世和园B区 -泮河景区,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 8天以前发布,99,"9,253元/平"
万岳华府醉便宜的一套，还可以议价错过就木有了,万岳华府 -万达广场,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 4天以前发布,115,"11,617元/平"
华新家园 3室1厅 南 北,华新家园 -宝龙城,3室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,120,"12,632元/平"
泰师 东岳 正规三室 教育局单位宿舍 满五唯一 采光好,虎山东路教育局宿舍 -红门,3室2厅 | 86平米 | 南 | 简装 | 高楼层(共4层)  | 板塔结合,0人关注 / 4天以前发布,135,"15,698元/平"
毛纺厂宿舍2-1-1-1 62.00m²,毛纺厂宿舍 -红门,2室1厅 | 62平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 4天以前发布,88,"14,194元/平"
东岳鑫城 2室2厅 南 北,东岳鑫城 -高铁新区,2室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 5天以前发布,55,"6,791元/平"
泰山区 小高层 自住精装修 带配房 配套全,盛世景苑 -徐家楼,2室2厅 | 87平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,72,"8,276元/平"
泰然居带院精装内置楼梯带家具家电,嘉业·泰然居 -步行街,2室1厅 | 102平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,2人关注 / 15天以前发布,109,"10,687元/平"
天平湖壹号 2室2厅 南 北,天平湖壹号 -岱岳区区委,2室2厅 | 88.44平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 9天以前发布,85,"9,612元/平"
一手房手续正常贷款 一梯两户3室 毛坯 福源翡翠佳苑,福源翡翠嘉苑 -小井,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 9天以前发布,123,"10,604元/平"
贤德苑 望岳B 正规三室 正满五年 价格合适,望岳B区贤德苑 -火车站,3室2厅 | 90.47平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,85,"9,396元/平"
温泉路北首建行干校宿舍 四室向阳南北通透 网球篮球场,建行培训中心宿舍 -宝龙城,4室2厅 | 141.75平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 10天以前发布,258,"18,202元/平"
长城路 电梯洋房  一梯两户 三室两卫 停车方便,泰山家园 -国际会展中心,3室2厅 | 135.5平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,4人关注 / 6个月以前发布,133,"9,816元/平"
万达商圈     附属医院     满二免大税,华易青年城 -万达广场,2室2厅 | 81.57平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,65,"7,969元/平"
三联小区三楼两室两厅集暖 随时看房 迎胜中 天外村,三联小区 -火车站,2室2厅 | 84.89平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,118,"13,901元/平"
吾悦广场 恒基东尚 满五唯一 精装修好楼层好户型配房,恒基▪東尚 -小井,3室2厅 | 114.38平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,126,"11,016元/平"
恒大城  133平 好楼层  精装修   南北通透,恒大城 -高铁新区,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,107,"8,046元/平"
金山普照一楼，院子120平方，集中供暖，有证，有钥匙,泰山饭店宿舍 -红门,3室1厅 | 87平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 6个月以前发布,198.8,"22,851元/平"
泰山区 老街旁 精装修 好楼层 好型 价格能谈 看房方便,恒大城 -高铁新区,2室1厅 | 92平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,72,"7,827元/平"
嘉业·泰然居 3室2厅 南,嘉业·泰然居 -步行街,3室2厅 | 120.47平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 29天以前发布,93,"7,720元/平"
岱岳花园 精装未住+大储藏室万达附属医院光彩 好楼层,岱岳花园 -岱岳区区委,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 29天以前发布,70,"7,000元/平"
记者村 精装修 车位配房 地源热泵 电梯入户 高铁,记者村 -高铁新区,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 25天以前发布,102,"7,286元/平"
和园 精装 边户 好楼层 满二年 带地下车位 带配房,开元盛世和园B区 -泮河景区,3室2厅 | 103.24平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,105,"10,171元/平"
北实小 六中 北新街小区 低楼层 出行方便 岱庙西临,北新街小区 -岱庙,2室1厅 | 34平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,80,"23,530元/平"
东湖小区 三室朝阳 集暖配房 免费停车,东湖社区 -东湖公园,3室2厅 | 126.09平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,9人关注 / 6个月以前发布,155,"12,293元/平"
精装带家具家电， 带配房 ，户型很好 ，楼前无遮挡，,开元盛世和园B区 -泮河景区,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,2人关注 / 3个月以前发布,93.8,"9,572元/平"
碧桂园 精装三室 小高层 南北通透 眼镜户型 急售,碧桂园·时代澜湾 -高铁新区,3室2厅 | 123平米 | 北 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,90,"7,318元/平"
南湖旁 九州家园 电梯洋房 好楼层边户 免大税 配套全,九州家园 -南湖公园,3室2厅 | 136平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 9天以前发布,125,"9,192元/平"
环山路下 樱桃园小区 精装三室 停车方便 环境好 观山,樱桃园小区 -体育中心,3室2厅 | 82.87平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,66,"7,965元/平"
