标题,开发商,房子信息,发布信息,售价/万,单价
中电丽水湾 电梯小高层 舒适小三室 标配双气,中电阳光丽水湾 -纱厂路,3室1厅 | 85.52平米 | 南 北 | 简装 | 低楼层(共11层)  | 塔楼,1人关注 / 16天以前发布,53,"6,198元/平"
五四小区 3室2厅 南 北,五四小区 -铁路分局,3室2厅 | 85.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,51,"5,972元/平"
体育场 在水一方 新上大三室 客厅弧形大落地窗,天元在水一方 -市政府,3室2厅 | 170.53平米 | 东 | 简装 | 高楼层(共26层)  | 塔楼,2人关注 / 21天以前发布,160,"9,383元/平"
建业物业  园林小区  出行方便,世纪华阳 -万达广场,3室2厅 | 137.73平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,185,"13,433元/平"
满五唯一，低楼层，南北通透，钥匙房，首付14.6万,山水富地 -高新区,2室2厅 | 89.07平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,72.9,"8,185元/平"
中泰世纪花城森林公园旁，两室，双气，电梯，满五唯一,中泰世纪花城 -南昌路,2室1厅 | 91.1平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,88,"9,660元/平"
盛唐  一梯一户大平层   可拎包入住  随时看房,金泰盛唐至尊 -新区体育场,5室2厅 | 283.44平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,13人关注 / 9个月以前发布,440,"15,524元/平"
一楼带花园精装修带地下室，房子优质环境好,开元壹号·满棠 -关林,4室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 15天以前发布,350,"26,924元/平"
中泰世纪花城 小高层 带40平方楼台  带2车位 带储藏室,中泰世纪花城 -南昌路,5室3厅 | 271.5平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,4人关注 / 4个月以前发布,257,"9,466元/平"
皇朝丽苑北区精装两室业主诚心出售,皇朝丽苑北区 -状元红路,2室1厅 | 88.55平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,52,"5,873元/平"
宝龙龙邸精装两室，中间楼层，采光充足，看房方便,宝龙城市广场龙邸 -宝龙,2室2厅 | 88.84平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 25天以前发布,100,"11,257元/平"
春都路，04年小区，双气房。看房随时。,万隆园 -状元红路,2室1厅 | 66.22平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9天以前发布,37.9,"5,724元/平"
地铁口小三室，满五不唯一交通便利,元华国际 -市政府,3室2厅 | 121.88平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 17天以前发布,145,"11,897元/平"
珠江路 精装两居室  业主诚售！,珠江丽景 -珠江路,2室2厅 | 80.36平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 19天以前发布,65,"8,089元/平"
