标题,开发商,房子信息,发布信息,售价/万,单价
汉峪改善大三室 全明格局 户型方正 环境优美 直观山景,凤凰国际南区 -经十东路,3室2厅 | 141.57平米 | 南 北 | 简装 | 高楼层(共30层) | 2018年建 | 板楼,1人关注 / 7天以前发布,253,"17,872元/平"
泉星小区 30平地下室 三室朝阳 全明户型 证满五年,济发泉星 -长途汽车站,3室2厅 | 140.07平米 | 南 北 | 简装 | 高楼层(共7层) | 2004年建 | 板楼,2人关注 / 6天以前发布,180,"12,851元/平"
万科城 3室2厅2卫 户型好 精装,济南万科城 -化纤厂路,3室2厅 | 109.19平米 | 南 北 | 精装 | 低楼层(共34层) | 2017年建 | 板楼,4人关注 / 8天以前发布,238,"21,797元/平"
大润发西侧电梯房洋房公摊少房龄新精装。,水天福苑 -全福区,3室2厅 | 139.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 6天以前发布,172,"12,337元/平"
精装三室有证面高税，中间楼层，采光好，看房有钥匙,祥泰新河湾 -康虹路,3室1厅 | 79.81平米 | 南 | 精装 | 中楼层(共34层) | 2016年建 | 板楼,3人关注 / 17天以前发布,127,"15,913元/平"
正规小区 采光很好 两室朝南 带双气有储藏室 价格可谈,将军花园 -还乡店,2室1厅 | 61.28平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 8天以前发布,79,"12,892元/平"
证满两年，采光好诚心出售价格可谈位置好,海信慧园一区 -康虹路,2室1厅 | 92.1平米 | 南 | 其他 | 中楼层(共18层) | 2013年建 | 板楼,0人关注 / 10天以前发布,160,"17,373元/平"
泉城花园电梯房 交通便利 户型方正 采光好,泉城花园 -匡山区,2室1厅 | 94.24平米 | 南 北 | 简装 | 高楼层(共12层) | 2008年建 | 板楼,2人关注 / 8天以前发布,115,"12,203元/平"
西苑翠景苑   交通方便  地下室13平方,西苑翠景园 -无影山,2室2厅 | 72.65平米 | 南 | 简装 | 低楼层(共7层) | 2000年建 | 板楼,0人关注 / 8天以前发布,80,"11,012元/平"
刘长山路绿地国际花都 证满五年 总价低 看房方便,绿地国际花都 -腊山,2室2厅 | 85.64平米 | 南 | 毛坯 | 低楼层(共29层) | 2012年建 | 板楼,0人关注 / 3天以前发布,78,"9,108元/平"
此房中楼层 采光充足 视野开阔 户型合理 居住舒适,梦世界华园 -世购,4室1厅 | 143.95平米 | 南 北 | 精装 | 18层 | 2017年建 | 板楼,0人关注 / 11天以前发布,215,"14,936元/平"
路劲东城2室 精装婚房，中间楼层 交通便利 户型方正,路劲东城 -全福区,2室2厅 | 91.28平米 | 南 | 精装 | 低楼层(共34层) | 2016年建 | 板楼,0人关注 / 8天以前发布,150,"16,433元/平"
国际城二区 户型方正采光好 业主诚意出售,中新国际城 -济钢,3室2厅 | 93.57平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,0人关注 / 4天以前发布,140,"14,963元/平"
实际使用面积168㎡ 一楼复式 三面朝阳  看房方便,锦绣泉城 -七里河,4室2厅 | 87.42平米 | 南 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,2人关注 / 11天以前发布,178.8,"20,453元/平"
11层精装洋房 好楼层 带12平地下室 子母车位 随时看房,绿地城 -唐冶,3室1厅 | 134.56平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 19天以前发布,203,"15,087元/平"
新登记多层好楼层，一梯两户，公摊下带储藏室，证满五,凯旋新城东区 -营市街,2室2厅 | 99.15平米 | 南 北 | 简装 | 低楼层(共6层) | 2013年建 | 板楼,2人关注 / 24天以前发布,195,"19,668元/平"
公安局宿.舍，11层洋房，车位地下室配套全，随时可看,福景佳苑一期 -二环南路,3室1厅 | 149.55平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 24天以前发布,269,"17,988元/平"
店长推荐，连城水岸，地铁沿线，全明户型，双气落地窗,连城水岸 -段店,3室2厅 | 130平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,2人关注 / 28天以前发布,173.8,"13,370元/平"
南北通透 中间楼层 采光充足 经典小三居 交通便利,富翔天地 -祝甸,3室2厅 | 109.31平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,5人关注 / 27天以前发布,185,"16,925元/平"
