标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
海德路 澳洲园小区旁边 龙海大厦   拎包入住  精装修,龙海大厦 -龙昆南,3室2厅 | 111.71平米 | 南 | 简装 | 低楼层(共10层)  | 塔楼,0人关注 / 8天以前发布,125,"11,190元/平"
时代城一期毛坯两房中间楼层满二税少,时代城 -西海岸南片区,2室1厅 | 80.84平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 8天以前发布,107,"13,237元/平"
万福新村大型社区 满五唯一 南北朝向 中低好楼层3楼,万福新村 -海甸岛,2室2厅 | 68.21平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,86,"12,609元/平"
白龙蓝水湾旁 海尚明居 精装三房 变四房 有钥匙看房,海尚明居 -白龙,4室2厅 | 130.45平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 24天以前发布,248.5,"19,050元/平"
西溪里旁滨江海岸大三房业主诚意出售,滨江海岸·御江（一期） -海甸岛,3室2厅 | 123.13平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 25天以前发布,275,"22,335元/平"
"精装房，采光好，交通便利，配套成熟,标准两房",鲁能·钓鱼台·美高梅 -远大,2室2厅 | 74.69平米 | 南 | 精装 | 20层  | 板塔结合,1人关注 / 21天以前发布,165,"22,092元/平"
滨江路 2016年小区 千禧郎8号 126平三房 188万带车位,千禧郎8号 -滨江,3室2厅 | 126.18平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 9天以前发布,188,"14,900元/平"
国兴大三房 便宜出售，明厨明卫,华锦名都 -国兴,3室2厅 | 131.87平米 | 东北 东南 | 精装 | 中楼层(共17层)  | 塔楼,46人关注 / 10个月以前发布,190,"14,409元/平"
成熟社区，地段优越，明珠繁华地段，商圈繁华,海口政协民主党派宿舍 -解放西,3室2厅 | 102.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,57人关注 / 7个月以前发布,112,"10,895元/平"
恒大美丽沙舒适方正四房二卫，高层朝南满二产证在手。,海口恒大美丽沙 -海甸岛,4室2厅 | 99.85平米 | 南 | 精装 | 12层  | 板塔结合,4人关注 / 1个月以前发布,258,"25,839元/平"
急卖西海岸 紫园4房 随时看房 精装修 好楼层  费用低,紫园 -紫园片区,3室2厅 | 156.25平米 | 南 北 | 精装 | 11层  | 板楼,6人关注 / 2个月以前发布,425,"27,200元/平"
滨江路 满五唯一 精装3房 蓝水湾二期 随时看房,蓝水湾（二期） -白龙,3室2厅 | 92.92平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼,1人关注 / 4天以前发布,178,"19,157元/平"
新埠岛 新世界花园三期 精装两房 满五唯一,新世界花园 -新埠岛,2室2厅 | 98.46平米 | 南 | 其他 | 9层  | 塔楼,0人关注 / 4天以前发布,164,"16,657元/平"
龙昆南大平层，户型方正！业主诚心出售！,龙泉家园 -龙昆南,4室2厅 | 179.25平米 | 南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 6天以前发布,280,"15,621元/平"
万绿园，近商场酒店写字楼，国贸海口湾,宝华海景公寓 -国贸,2室2厅 | 82.12平米 | 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,145,"17,658元/平"
万达 锦地翰城二期 南北 通透 精 装,锦地翰城 -万达,3室2厅 | 117平米 | 南 北 | 其他 | 高楼层(共24层)  | 塔楼,2人关注 / 30天以前发布,212,"18,120元/平"
