标题,开发商,房子信息,发布信息,售价/万,单价
雅居乐前排 采光全天 带 103平地下室 满2,雅居乐万科中央公园 -海门,3室2厅 | 228平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,263,"11,536元/平"
此房房东自住装修，满两年，东西厅的，配套设施齐全。,江城·逸品 -海门,3室2厅 | 141.3平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,268,"18,967元/平"
满五税少，户型好，全天采光无遮挡，房东自住精装修,海西花苑 -海门,2室1厅 | 96平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,109.8,"11,438元/平"
东风新村  三室一厅  毛坯  位置佳,东风新村 -海门,3室1厅 | 72.58平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 7个月以前发布,129,"17,774元/平"
中华园红房子，满二无大税，买一层加一层，精装修,中华园 -三厂,3室1厅 | 113.97平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,65,"5,704元/平"
招商海门国际，小区环境优美，景色怡人，楼层好,招商海门国际 -滨江,3室2厅 | 106.17平米 | 南 | 精装 | 32层  | 板楼,0人关注 / 20天以前发布,190.8,"17,972元/平"
秀泽园中间楼层全天采光视线好开发商精装,秀泽园 -海门,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,206.8,"18,631元/平"
户型方正，朝南阳光充足 ，环境优美，无噪音。,首开理想城 -海门,3室2厅 | 152.97平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,199.8,"13,062元/平"
崇秀小区洋房中间楼层，房型方正，有地下室33平。,崇秀小区 -海门,3室2厅 | 124.21平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,139.8,"11,256元/平"
全新毛坯 楼层好，户型方正，通 透 采光充足 环境优美,同慧嘉园 -海门,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,158.8,"13,573元/平"
本房全新精装交付本房全新精装交付，3朝阳户型,雅居乐万科中央公园 -海门,3室2厅 | 139平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,235.8,"16,965元/平"
万科翡翠 品质小区 绝美洋房 好楼层 房东诚意出售,万科翡翠甲第 -海门,3室2厅 | 126.51平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,325.8,"25,753元/平"
全新毛坯 电梯房 楼层好 采光充足 户型方正 交通便利,万和家园(海门市) -海门,3室2厅 | 131.95平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,149.8,"11,353元/平"
保利云禧，户型方正，四开间朝南，阳光充足，诚意出售,保利云禧 -海门,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,239.8,"18,882元/平"
中高层  183万一口价 房东急售 采光全天,熙悦天玺 -海门,3室2厅 | 97.06平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,183,"18,855元/平"
熙悦天玺 楼层好 开发商精装 楼栋位置好 户型方正,熙悦天玺 -海门,3室1厅 | 122.37平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,226.8,"18,534元/平"
招商国际，户型方正，阳光充足，空气清新。,招商海门国际 -滨江,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,8人关注 / 10个月以前发布,255.8,"20,302元/平"
此房采光充足，楼层好。环境视野宽阔。配套设施齐全，,海门沁园 -海门,3室2厅 | 95.74平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,215.8,"22,541元/平"
房东自住装修，采光充足，环境视野宽阔，配套设施齐全,东恒盛·国际公馆 -海门,3室2厅 | 146平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 2个月以前发布,252,"17,261元/平"
此房地理位置佳，属城南优质小区，商场近在咫尺,江城·逸品 -海门,2室2厅 | 87平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 2个月以前发布,139.8,"16,069元/平"
嘉禾苑 楼层好 电梯房 户型方正 采光好,嘉禾苑 -海门,3室2厅 | 130平米 | 南 | 毛坯 | 17层  | 板塔结合,5人关注 / 一年前发布,132.8,"10,216元/平"
此房为房东自主装修，层次好，户型方正，采光充足,海亮悦榕墅 -海门,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,6人关注 / 8个月以前发布,208,"21,444元/平"
嘉南花苑 配套齐全 交通便利光照充足 户型方正,嘉南花苑 -海门,3室1厅 | 105平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,148.9,"14,181元/平"
海亮联排别墅 1+2+地下室有车位 满两年,海亮悦榕墅 -海门,4室1厅 | 142.03平米 | 南 | 毛坯 | 6层  | 暂无数据 | 联排别墅 ,0人关注 / 6天以前发布,488,"34,359元/平"
满五唯一，税费少，高楼层。采光好,地纬东洲半岛 -海门,3室2厅 | 135.75平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,238,"17,533元/平"
招商国际，户型方正，阳光充足，诚信出售。,招商海门国际 -滨江,4室2厅 | 142平米 | 南 | 精装 | 11层  | 板楼,0人关注 / 6天以前发布,290,"20,423元/平"
嘉北小区 3室2厅 南,嘉北小区 -海门,3室2厅 | 132.74平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,172.8,"13,018元/平"
电梯房 南北通风 自住精装 看房方便,利北嘉园 -海门,2室2厅 | 86.6平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,135,"15,589元/平"
海西6楼大平层，精装有小车库。,海西花苑 -海门,3室2厅 | 129.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,159.6,"12,372元/平"
此房全天采光，楼层好，满5税费少。,民生新村 -海门,2室2厅 | 108.83平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,123.8,"11,376元/平"
诚心出售，精装自住，楼层好采光足,港南小区 -海门,2室2厅 | 75.31平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,128.8,"17,103元/平"
嘉源花苑 满二 精装 中间楼层 全天采光,嘉源花苑 -海门,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,188.8,"14,413元/平"
本房楼层好，采光充足，全新毛坯，户型布局合理方正,中南世纪锦城1期 -海门,3室2厅 | 138.48平米 | 东 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,298.8,"21,578元/平"
贵都之星纯毛坯房 满5年 双东洲  配套齐全,贵都之星 -海门,4室2厅 | 163.27平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,290,"17,762元/平"
锦尚名苑好楼层环境优美 房东自住精装修 诚心出售,锦尚名苑一期 -海门,4室2厅 | 138.87平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 17天以前发布,310,"22,324元/平"
南海新村 2层 3室2厅2卫 南北通风双阳台户型 满5唯一,南海新村 -海门,4室2厅 | 157.41平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 19天以前发布,203,"12,897元/平"
招商海门国际洋房，阳台已封好，价格含2个车位。,招商海门国际 -滨江,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 7天以前发布,260.8,"19,610元/平"
海中东隔壁海影新村，大三房，独立车库，满5年,海影新村 -海门,3室2厅 | 127.82平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,148.8,"11,642元/平"
三房二厅二卫 南北通 采光视野好,运杰龙馨园(海门市) -海门,3室2厅 | 151.15平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 27天以前发布,262.8,"17,387元/平"
房子毛坯采光充足，楼层好，视野宽阔，配套设施齐全，,福海嘉园 -海门,2室2厅 | 110平米 | 南 | 毛坯 | 11层  | 暂无数据,0人关注 / 17天以前发布,149.8,"13,619元/平"
国际车城  精装两室  很诚心 随时看房,国际车城 -海门,3室1厅 | 75平米 | 西 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 24天以前发布,78,"10,400元/平"
招商精装洋房 采光全天 户型方正 含车位一个,招商海门国际 -滨江,3室2厅 | 126.18平米 | 南 北 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 17天以前发布,238.8,"18,926元/平"
东江嘉园小高层房 毛坯 3房南北透亮,东江嘉园 -海门,3室2厅 | 140.4平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,195,"13,889元/平"
东恒盛·国际公馆精装好层次房诚心出售,东恒盛·国际公馆 -海门,4室3厅 | 189.13平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,3人关注 / 一年前发布,420.6,"22,239元/平"
精装，有地暖，满5年，采光好 户型正,运杰龙馨园(海门市) -海门,3室2厅 | 152平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 10个月以前发布,273.8,"18,014元/平"
绿茵港湾，四室两厅两卫，带装修朝阳车库20平,绿茵港湾 -三厂,4室2厅 | 135.06平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,160,"11,847元/平"
东恒盛国际公馆 全天采光 房东诚心出售,东恒盛·国际公馆 -海门,4室2厅 | 193.93平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,6人关注 / 一年前发布,360.8,"18,605元/平"
首开紫郡一楼花园洋房 毛坯 带地下室 带花园,首开紫郡 -滨江,5室2厅 | 155.33平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,183.8,"11,833元/平"
户型方正，朝南阳光充足 ，环境优美 整洁干净,世纪光华苑 -海门,5室4厅 | 134.91平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,165.8,"12,290元/平"
