标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
花漾城二期，精装3室带车储，客卧朝阳全明户，拎包住,花漾城 -张店区,3室2厅 | 128.68平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 10天以前发布,120,"9,326元/平"
龙泰苑多层2楼公摊小祥瑞龙凤苑有钥匙随时看房有车库,民泰 · 龙泰苑A区 -张店区,3室2厅 | 127.9平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,160,"12,510元/平"
视野开阔，在家就可以看到红莲湖，采光好,金洲花园 -桓台县,3室2厅 | 120.62平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,123,"10,198元/平"
嘉亿国际四室毛坯房，好楼层，满二,嘉亿国际 -张店区,4室2厅 | 121.37平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,13人关注 / 一年前发布,95,"7,828元/平"
顶层复式 带露台 带车位 带储,世纪花园竹园 -张店区,4室3厅 | 184.08平米 | 南 北 | 其他 | 高楼层(共10层)  | 板楼,0人关注 / 12天以前发布,180,"9,779元/平"
五里桥1楼4居室经典户型  出门7中  随时看房子,五里桥生活区 -张店区,4室2厅 | 167.81平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 9个月以前发布,119,"7,092元/平"
龙泰苑世嘉， 电梯小高层，精装三室，采光充足。,民泰▪龙泰苑 -张店区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 13天以前发布,147,"13,009元/平"
黄 金国际98万一楼带院子带车位 新上房源一套 速看,黄金国际 -张店区,2室1厅 | 73平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 5天以前发布,98,"13,425元/平"
颐丰花园（颐馨园）138平，带车储，小高层位置不沿街,颐丰花园颐馨园 -张店区,3室2厅 | 138.47平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板塔结合,0人关注 / 2个月以前发布,198,"14,300元/平"
舜华园：带车库和储藏室、简装、三室、三楼,舜华园 -淄川区,3室1厅 | 88.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,32,"3,613元/平"
怡海世家多层好楼层，采光好，满五，  看房方便,怡海世家 -张店区,3室2厅 | 129.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,113,"8,713元/平"
般阳生活区西区 3室2厅 南 北,般阳生活区西区 -淄川区,3室2厅 | 106.7平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,61.5,"5,764元/平"
书香名邸带车库多层低楼层公摊小户型方正全明户型,书香门邸 -张店区,2室2厅 | 83.29平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,54,"6,484元/平"
汇美花月苑 精装2室 带储 带家具家电 满五唯一省税,汇美·花月苑 -张店区,2室2厅 | 91.42平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,67.5,"7,384元/平"
吾悦广场旁   嘉亿国际  毛坯三室 一楼 随时可看,嘉亿国际 -张店区,3室2厅 | 104.24平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,8人关注 / 一年前发布,77,"7,387元/平"
证满二无大税拎包入住电梯三室出门即唐家山4A级景区,盛世泽园 -张店区,3室2厅 | 103.83平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,20人关注 / 一年前发布,60,"5,779元/平"
"楼层低,29万.生活方便，价格实惠 户型好住",毛巾厂宿舍 -桓台县,3室1厅 | 66.32平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,2人关注 / 9个月以前发布,26,"3,921元/平"
新上房源 黄金国际西区13楼2居室 带储带车位 随时看房,黄金国际 -张店区,2室2厅 | 109.31平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,114.4,"10,466元/平"
富康嘉苑 3室2厅 南,富康嘉苑 -张店区,3室2厅 | 91.48平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 18天以前发布,55,"6,013元/平"
莲池莲泽苑，电梯中层精装修三室，带车储,莲泽苑 -张店区,3室2厅 | 117.69平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 20天以前发布,112,"9,517元/平"
莲泽苑 3室2厅1卫 电梯低楼层 满二带储 2012年,莲泽苑 -张店区,3室2厅 | 119.59平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 24天以前发布,105,"8,780元/平"
一楼带院子 三室 前无遮挡 采光好 满五唯一,般阳生活区东区 -淄川区,3室1厅 | 91.89平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,48.5,"5,279元/平"
价格低 税费低 和平小区  价面议！,和平小区 -张店区,2室1厅 | 53.47平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,25,"4,676元/平"
二楼 大客厅 三室朝阳 停车位充足 免费停车,张店区机关第一宿舍 -张店区,3室1厅 | 85.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 18天以前发布,83,"9,685元/平"
天悦小区，精装三居室，带车储！中高楼层！全天采光！,天悦小区 -张店区,3室2厅 | 96.38平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 23天以前发布,136,"14,111元/平"
鸿嘉星城精装修未住两梯两户大落地窗三室两卫拎包入住,鸿嘉星城观澜御府 -桓台县,3室2厅 | 148.06平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,115,"7,768元/平"
多层电梯洋房 精装中间层 带储 一梯两户 人民公园,天府明珠 -张店区,3室2厅 | 111.77平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,15人关注 / 3个月以前发布,85,"7,605元/平"
逸景阳光 毛坯三室 中上楼层 带车位储藏室 房龄2018年,逸景阳光 -张店区,3室2厅 | 122.95平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,1人关注 / 4个月以前发布,121,"9,842元/平"
齐盛花园，经典户型，装修好，领包即住,齊盛花園 -张店区,2室2厅 | 92.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 10个月以前发布,64,"6,925元/平"
急售 理工大 市实验旁 精装未住2楼 有车库,尚文苑 -张店区,3室2厅 | 95.06平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,57人关注 / 一年前发布,89,"9,363元/平"
德馨园，三室两厅，采光好，楼层好 视野杠杠的,德馨园 -张店区,3室2厅 | 116.67平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,42人关注 / 一年前发布,85,"7,286元/平"
满二！！恒大帝景，业主急售！价格惊爆！,恒大帝景 -张店区,3室2厅 | 105.34平米 | 北 南 | 精装 | 低楼层(共32层)  | 板楼,39人关注 / 9个月以前发布,115,"10,918元/平"
前庭后院 院里停车 带负一 有装修设计图 急售,印象齐都大家境界艺术坊 -张店区,4室2厅 | 186平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,174,"9,355元/平"
精装大两居，客卧朝阳  比实际面积 大,兰香园 -桓台县,2室2厅 | 60.42平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,24人关注 / 一年前发布,32,"5,297元/平"
尚文苑  多层4楼 117平  大三室  84.8万  车库另加,尚文苑 -张店区,3室2厅 | 117.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 5个月以前发布,84.8,"7,225元/平"
恒大帝景 户型好住 舒适通透 精装三居 环境优美,恒大帝景 -张店区,3室2厅 | 110平米 | 南 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 13天以前发布,132,"12,000元/平"
嘉亿国际 中间楼层 带装修三室,嘉亿国际 -张店区,3室2厅 | 114.56平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 11天以前发布,97.8,"8,538元/平"
兴泰家园！20年的新房！18层小高层！新房未住！好楼层,兴泰花园 -张店区,3室2厅 | 107.7平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 8天以前发布,128,"11,885元/平"
鸿泰吉祥苑 一梯两户低密小高 精装三室 带车储 满五,鸿泰吉祥苑 -张店区,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,126,"9,334元/平"
毛坯可随意装修 楼层好 无遮挡全天采光 带车储,天悦小区 -张店区,3室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 8天以前发布,145,"14,949元/平"
美好的生活需要房屋来点缀，羿景嘉园满足您的一切需求,羿景嘉园 -桓台县,3室2厅 | 154.41平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,118,"7,642元/平"
小区东临少海路西临柳泉北路北靠唐索路出门就有公交站,兰香园 -桓台县,3室1厅 | 123平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 7天以前发布,80,"6,505元/平"
翡翠园电梯6楼150.35平售价142万带车位带储藏室精装,翡翠园 -张店区,4室2厅 | 150.35平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,142,"9,445元/平"
体坛小区 3室2厅 南,体坛小区 -张店区,3室2厅 | 102平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,96,"9,412元/平"
急售，嘉怡2期多层电梯洋房，3室2卫精装修带大储,嘉亿国际二期 -张店区,3室2厅 | 134平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,123,"9,180元/平"
简装一室，房主当做了两室，满五唯一无贷款，随时看,黄金国际 -张店区,1室1厅 | 74.51平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,66,"8,858元/平"
美达花园电梯洋房2016年建成，临莲池公园,美达花园 -张店区,2室1厅 | 80.51平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,75,"9,316元/平"
颐景园 3室2厅 东 南,颐景园 -张店区,3室2厅 | 120平米 | 东 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 13天以前发布,90,"7,500元/平"
恒大帝景 精装修好楼层 业主急售 看房方便,恒大帝景 -张店区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,115,"10,953元/平"
碧玉华庭精装元宝三室急售！带车位！拎包入住！,碧玉华庭 -张店区,3室2厅 | 137.87平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 11个月以前发布,149,"10,808元/平"
五里桥多层1楼  带小花园  精装已改地暖 满5唯一,五里桥生活区 -张店区,3室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 7个月以前发布,87,"9,667元/平"
柳泉体育场旁  精装修 拎包入住 有车储,鸿泰吉祥苑 -张店区,3室2厅 | 140.29平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 2个月以前发布,140,"9,980元/平"
给孩子选个好老师，少海精装电梯房！客卧朝阳大三居！,少海花园 -桓台县,3室2厅 | 129.74平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,128,"9,866元/平"
带车位 带储藏室  月供低  看房方便 精装大两室,小徐世纪嘉苑 -张店区,2室2厅 | 92.28平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,40,"4,335元/平"
兴业家园 电梯三室 精装修 带储藏室 看房方便,兴业家园 -张店区,3室2厅 | 115.06平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,13人关注 / 一年前发布,128,"11,125元/平"
黄 金国际 精装三室 小高层 采光好 看房方便,黄金国际 -张店区,3室2厅 | 149.61平米 | 西南 | 精装 | 低楼层(共18层)  | 板塔结合,28人关注 / 11个月以前发布,151,"10,093元/平"
西二路好房交通便利配套丰富集中供暖，地上储,西二路48号 -张店区,2室1厅 | 65.91平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,41.8,"6,342元/平"
华侨城 2室2厅1卫 中层 证满五带储藏室 不靠大路,中润 · 华侨城十四组团 -张店区,2室2厅 | 100.93平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,1人关注 / 29天以前发布,82.7,"8,194元/平"
双区 中间 好楼层 精装四室 带储 随时看房,鸿泰嘉园 -张店区,4室2厅 | 143.7平米 | 北 南 | 其他 | 高楼层(共29层)  | 板楼,2人关注 / 2个月以前发布,160,"11,135元/平"
民泰龙泰世嘉，三室两厅，带车位储,民泰▪龙泰苑 -张店区,3室2厅 | 137.66平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 25天以前发布,186,"13,512元/平"
带储藏室世纪花园多层3室，南北通透采光好,世纪花园夏溪园 -张店区,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,133,"9,237元/平"
满五省税 无遮挡 光线好 有车位 拎包入住,民泰龙凤苑 -张店区,3室2厅 | 157.48平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,1人关注 / 28天以前发布,165,"10,478元/平"
上齐盛！电梯新房！三室元宝户！南北通透！地下车库！,鸿泰花漾城南区 -张店区,3室2厅 | 119.45平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 28天以前发布,115,"9,628元/平"
建桥 精装短住  电梯好楼层  三室  单价低  双阳台,巴黎春天 -张店区,3室1厅 | 178平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 26天以前发布,149,"8,371元/平"
沁园南区  多层2楼 两室朝阳 吉售,沁园南区 -张店区,2室1厅 | 69平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,58,"8,406元/平"
黄jin国际东区，1室1厅 独立房间，采光好 电梯好楼层,黄金国际 -张店区,1室1厅 | 67.1平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 15天以前发布,65.5,"9,762元/平"
华润橡树湾两室，楼座位置好，楼层好,华润橡树湾 -张店区,2室2厅 | 99.72平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 3个月以前发布,120,"12,034元/平"
兰香园多层 精装2室 带露台 有证大产权  有钥匙,兰香园 -桓台县,2室1厅 | 63.63平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,12人关注 / 6个月以前发布,36.9,"5,800元/平"
齐悦花园盛悦园 2室1厅 北,齐悦花园盛悦园 -张店区,2室1厅 | 68.59平米 | 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,76,"11,081元/平"
鸿泰嘉园 2室1厅 南,鸿泰嘉园 -张店区,2室1厅 | 76.25平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,62.8,"8,237元/平"
绿杉园 2室2厅 南 北,绿杉园 -张店区,2室2厅 | 84平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 12天以前发布,36,"4,286元/平"
汇美·花月苑 2室2厅 南,汇美·花月苑 -张店区,2室2厅 | 93.25平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 9天以前发布,63,"6,757元/平"
天悦陶然城电梯121平精装三室有车位全天采光重庆路,天悦小区 -张店区,3室1厅 | 121.21平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,149,"12,293元/平"
上海路 柳泉 碧玉华庭116平小三室 精装 带车储,碧玉华庭 -张店区,3室2厅 | 116.48平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 28天以前发布,130,"11,161元/平"
植物园旁，电梯3居，精装修，公摊少，看房方便,建业城市花园 -张店区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 20天以前发布,88,"6,471元/平"
印象汇 新元 多层二楼 三室 原单位房 公摊小,齐鲁石化腈纶厂生活区 -张店区,3室1厅 | 77平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 27天以前发布,49.9,"6,481元/平"
绿杉园 3室2厅 南,绿杉园 -张店区,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,108,"8,438元/平"
经开区吾悦广场南多层南苑绿洲一区精装两室带储藏室,孙家南苑绿洲小区一区 -张店区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,51,"5,731元/平"
凯瑞景园 楼层好  全天采光 无遮挡,凯瑞景园 -张店区,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 19天以前发布,106,"9,907元/平"
