标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
此房是精装修，70年产权，业主诚心出售，满2年,水韵天成银杏苑 -翔宇大道,1室1厅 | 43.72平米 | 南 | 其他 | 中楼层(共29层)  | 平房,0人关注 / 25天以前发布,60,"13,724元/平"
此房户型方正视野开阔，楼层好，采光充足，交通便利,长岛花园 -白鹭湖,5室2厅 | 201.75平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,3人关注 / 6个月以前发布,175,"8,675元/平"
帝景蓝湾(淮阴区) 2室1厅 南,帝景蓝湾(淮阴区) -火车北站,2室1厅 | 88.35平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 5天以前发布,79.8,"9,033元/平"
淮海南路边上，位置很好，在网红桥旁边,天龙御城 -清晏园,3室1厅 | 99.08平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 15天以前发布,82,"8,277元/平"
白鹭湖璟园精装三室两厅两卫户型方正采光好,丰球璟园 -白鹭湖,3室2厅 | 134.29平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,122,"9,085元/平"
中天翡丽湾 湖景三房老证精装一天未入住 90平120万！,中天翡丽湾 -生态新城,3室2厅 | 90.04平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,114.8,"12,750元/平"
南北通透 东边户 三个阳台 俯瞰阳光湖,中央华府 -恒大名都,3室2厅 | 112.43平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,95,"8,450元/平"
新上兴安华庭西边户毛坯3房，中间好楼层全天采光充足,兴安华庭 -生态新城,3室1厅 | 125.2平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 19天以前发布,196,"15,655元/平"
三室两厅精装随时看房。。。。。。。,城置公园龙湾 -大学城商圈,3室2厅 | 110.3平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,26人关注 / 6个月以前发布,98,"8,885元/平"
淮海路边清江人家 简装三房 好楼层采光佳满二年 急售,清江人家 -延安东路,3室2厅 | 84.01平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 5天以前发布,89.8,"10,690元/平"
淮上院子楼层好四房 全天采光  看房方便有钥匙,石榴淮上院子 -长征小学,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,169,"11,819元/平"
母爱公园旁 开源珑城 3房2厅 看房有钥匙,开源珑城 -长征小学,3室2厅 | 122平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,132,"10,820元/平"
满二年 诚心出售 装修很好 没怎么居住 香格B区,香格里拉B区 -水渡口大道,4室2厅 | 141.25平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,169,"11,965元/平"
兰亭绿城  电梯房 3室2厅  95万,兰亭绿城 -漕运西路,3室2厅 | 114.45平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,95,"8,301元/平"
白鹭湖润园 精装修三房 采光好 拎包入住,丰球润园 -白鹭湖,3室2厅 | 91.88平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 28天以前发布,97,"10,558元/平"
翔宇大道 金地万达旁 易郡龙腾 毛坯电梯三房好楼层,易郡龙腾 -金地商业广场,3室2厅 | 122.53平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,110.8,"9,043元/平"
香溢茗园东区、户型方正，全天采光无遮挡！,香溢茗园东区 -白鹭湖,2室1厅 | 94.71平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 29天以前发布,96,"10,137元/平"
云梦清河二期  毛坯三室  诚意出售  看房方便,云梦清河二期 -水渡口大道,3室2厅 | 103.87平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,99,"9,532元/平"
融侨观邸3-1-1-2 119.61m²,融侨观邸 -水渡口大道,3室1厅 | 119.61平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 13天以前发布,125,"10,451元/平"
房子满两年，中间楼层，户型方正，前排别墅，采光好，,鼎立香榭丽花苑南区 -迎宾大道,3室2厅 | 105.88平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 16天以前发布,84,"7,934元/平"
中天花园旁中意花园 精装三房全明通透采光好 有车库,中意花园 -外国语,3室2厅 | 97.59平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,100,"10,247元/平"
钱隆御景 2室2厅 南,钱隆御景 -恒大名都,2室2厅 | 92.04平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 13天以前发布,85,"9,236元/平"
精装修拎包入住，诚意出售，视野好 采光充足,中天翡丽湾 -生态新城,3室2厅 | 86.8平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 12天以前发布,112.8,"12,996元/平"
