标题,开发商,房子信息,发布信息,售价/万,单价
天健花园小三房，已经加装电梯，满五年红本，随时看房,龙岗天健花园 -龙岗中心城,3室2厅 | 83.99平米 | 南 北 | 简装 | 高楼层(共7层) | 1998年建 | 板塔结合,0人关注 / 14天以前发布,299,"35,500元/平"
地铁14号线锦龙站旁  天虹商圈 坪山CBD,京基御景印象三期 -坪山,3室1厅 | 88.56平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 15天以前发布,310,"34,900元/平"
万科精装大三房，低于原购价几十万，红本在手只有契税,天誉国际公馆 -龙岗中心城,3室2厅 | 127.21平米 | 东南 | 精装 | 低楼层(共41层) | 2015年建 | 板塔结合,0人关注 / 3天以前发布,339,"26,649元/平"
自住装修 满五年89平米4房 楼下14号线锦龙站地铁200米,京基御景印象四期 -坪山,4室2厅 | 89.19平米 | 北 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,1人关注 / 15天以前发布,346,"38,700元/平"
：满五年唯一，红本在手，看花园看泳池，中间楼层,鸿荣源尚峰 -布吉石芽岭,5室2厅 | 126.57平米 | 南 | 其他 | 32层 | 2016年建 | 板塔结合,2人关注 / 27天以前发布,764,"60,300元/平"
吉祥里 4室2厅 南,吉祥里 -龙岗中心城,4室2厅 | 88.88平米 | 南 | 其他 | 中楼层(共38层) | 2019年建 | 板塔结合,0人关注 / 28天以前发布,431,"48,400元/平"
房子是满五年，唯一，花园中间，安静,星海名城二期七组团 -前海,4室1厅 | 125.27平米 | 北 | 简装 | 12层 | 2002年建 | 板塔结合,7人关注 / 3个月以前发布,926,"73,900元/平"
满五唯一，大社区，交通便利，业主诚心出售,京基御景印象四期 -坪山,4室1厅 | 89.12平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,1人关注 / 25天以前发布,345,"38,700元/平"
带天台花园 上下三层复式 使用率高 红本唯一费用少,梧桐山新居二期 -莲塘,3室2厅 | 98.13平米 | 南 | 精装 | 高楼层(共9层) | 2003年建 | 塔楼,2人关注 / 15天以前发布,566,"57,600元/平"
满五年红本，税费低，南北通的4房，使用面积大,碧海富通城一期 -碧海,4室2厅 | 102.77平米 | 南 北 | 精装 | 18层 | 2006年建 | 塔楼,0人关注 / 12天以前发布,669,"65,000元/平"
前海自贸区大门口 满五唯一 南向 得房率较高 视野开阔,鼎太风华六期 -前海,2室2厅 | 78.68平米 | 南 | 精装 | 24层 | 2009年建 | 塔楼,0人关注 / 4天以前发布,775,"98,400元/平"
信和少见厅出阳台东南向三房，安静看蛇口后海,信和自由广场 -后海,3室2厅 | 94.98平米 | 东南 | 精装 | 中楼层(共24层) | 2006年建 | 塔楼,1人关注 / 3天以前发布,787,"82,800元/平"
业主诚心卖，满五唯一红本税费少,桃源村一期 -西丽,3室1厅 | 71.76平米 | 北 | 精装 | 7层 | 1997年建 | 板楼,3人关注 / 13天以前发布,478,"66,600元/平"
中航天逸新上三房精装修满五领包即可入住,中航天逸 -红山,3室2厅 | 89.72平米 | 南 | 其他 | 低楼层(共36层) | 2013年建 | 板塔结合,0人关注 / 13天以前发布,690,"76,900元/平"
此房满五年唯一税费少，高楼层采光充足，使用率高,中央悦城 -龙岗中心城,3室2厅 | 85.83平米 | 东南 | 简装 | 中楼层(共32层) | 2013年建 | 板塔结合,5人关注 / 14天以前发布,258,"30,000元/平"
银湖山下，万科大3房，客厅朝东，满五唯一，看房方便,万科第五园二期 -坂田,3室2厅 | 96.37平米 | 东 | 精装 | 低楼层(共6层) | 2006年建 | 板塔结合,24人关注 / 一年前发布,482,"50,000元/平"
户型好，高得房率，阳台看山景，水库，公园，精装修,阳光天下花园 -梅林,3室2厅 | 87.96平米 | 西南 | 精装 | 中楼层(共31层) | 2010年建 | 塔楼,9人关注 / 24天以前发布,780,"88,677元/平"
户型好 高品质社区，高楼层，阳台看公园，水库，山景,阳光天下花园 -梅林,3室2厅 | 69.9平米 | 南 西南 | 精装 | 中楼层(共31层) | 2010年建 | 塔楼,6人关注 / 24天以前发布,648,"92,600元/平"
宇宏健康花城 3室2厅 东,宇宏健康花城 -布吉石芽岭,3室2厅 | 89.28平米 | 东 | 精装 | 33层 | 2017年建 | 板塔结合,0人关注 / 26天以前发布,514,"57,500元/平"
正地铁口 低于指导价急售 方正户型，精装次新房,天玑公馆 -龙华中心,3室2厅 | 88.15平米 | 南 西南 | 精装 | 低楼层(共41层) | 2016年建 | 板塔结合,4人关注 / 22天以前发布,485,"55,020元/平"
此房满五，次新房精装，中间楼层，视野无遮挡，无欠款,星河智荟 -横岗,3室2厅 | 88.5平米 | 东北 东 | 精装 | 中楼层(共30层) | 2017年建 | 板塔结合,2人关注 / 23天以前发布,372,"42,000元/平"
满五唯一，税少，万科物业，住家舒服安静。,半岛苑 -布吉石芽岭,4室1厅 | 129.85平米 | 东南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,0人关注 / 4天以前发布,436,"33,578元/平"
花语岸高层 三居室 满五年 朝南向,花语岸 -布吉街,3室2厅 | 88.63平米 | 南 | 精装 | 30层 | 2009年建 | 板塔结合,3人关注 / 19天以前发布,414,"46,700元/平"
与保利上城一路之隔 高楼层 东南朝向 安静 视野无遮挡,东都中央王座 -龙岗中心城,3室2厅 | 89.69平米 | 东南 | 精装 | 中楼层(共33层) | 2015年建 | 板塔结合,2人关注 / 20天以前发布,404,"45,000元/平"
中粮 5+1房 平台 专梯入户 背靠企龙山,中粮澜山 -西乡,5室2厅 | 207.91平米 | 东南 | 精装 | 低楼层(共7层) | 2009年建 | 板楼,3人关注 / 28天以前发布,1204,"57,900元/平"
14号地铁南约站，楼下沃尔玛，停车位充足，满五年红本,振业峦山谷 -龙岗宝荷,2室1厅 | 57.71平米 | 南 | 精装 | 高楼层(共32层) | 2009年建 | 板塔结合,2人关注 / 17天以前发布,200,"34,657元/平"
城市天地精装一房 看万象城景观 业主诚心出售,城市天地广场 -万象城,1室1厅 | 42.44平米 | 西南 | 精装 | 中楼层(共41层) | 2005年建 | 板塔结合,2人关注 / 17天以前发布,217,"51,100元/平"
华润一期 精装两房两卫 满五年 诚意出售,华润城润府一期 -科技园,2室1厅 | 82.59平米 | 西北 | 精装 | 36层 | 2016年建 | 板楼,5人关注 / 16天以前发布,1091,"132,000元/平"
"满五年唯一红本在手，税费少，户型方正,业主诚售！",半岛花园B区 -蛇口,3室2厅 | 92.11平米 | 南 北 | 简装 | 中楼层(共7层) | 1993年建 | 板塔结合,0人关注 / 13天以前发布,698,"75,779元/平"
店长推荐 经典笋盘来袭端头别墅，拎包入住，大花园,星河丹堤 -梅林关,6室2厅 | 240.72平米 | 东南 | 其他 | 1层 | 2008年建 | 板塔结合 | 联排别墅 ,42人关注 / 2个月以前发布,1738,"72,200元/平"
