标题,开发商,房子信息,发布信息,售价/万,单价
业主急售 一线河景 楼下就可以钓鱼 长提可散步。,朝南康城 -新城,4室2厅 | 146.7平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 21天以前发布,56,"3,818元/平"
南向三房  看花园  中间楼层 业主诚意出售 单价5字头,金世纪豪园 -新城,3室2厅 | 115.75平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 22天以前发布,66,"5,702元/平"
汇丰花园是东城低密度小区，楼间开阔东城核.心位置。,汇丰花园 -东城,3室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 18天以前发布,67.5,"7,032元/平"
中恒广场旁，城北车站旁，体育馆,朝阳路7号 -黄坑,3室2厅 | 123.04平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 19天以前发布,48,"3,902元/平"
碧桂园江与城2期，少有业主放盘，南向望江3房,碧桂园江与峸 -东城,3室2厅 | 94.99平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,79.8,"8,401元/平"
精装四房双拼别墅，带私家花园，近小区卡口，位置佳,映月湾 -碧桂园假日半岛,4室2厅 | 215.5平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 21天以前发布,235,"10,905元/平"
碧桂园假日半岛 4室2厅 东,碧桂园假日半岛 -碧桂园假日半岛,4室2厅 | 167.08平米 | 东 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 8天以前发布,170,"10,175元/平"
碧桂园江与城 143方南北对流 专梯专户 私密性高,碧桂园江与峸 -东城,4室2厅 | 142.71平米 | 东南 南 北 东北 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 4天以前发布,115,"8,059元/平"
碧桂园云玺 3室1厅 东北,碧桂园云玺 -旧城,3室1厅 | 117.18平米 | 东北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 5天以前发布,88,"7,510元/平"
精装复式，实用面积230平米，满五全新未入住,恒大银湖城 -银盏,6室3厅 | 167.29平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 2个月以前发布,108,"6,456元/平"
东骏豪庭 3室1厅 北,东骏豪庭 -新城,3室1厅 | 118.16平米 | 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,76.8,"6,500元/平"
280万，映月湾285平全新未住双拼别墅，,映月湾 -碧桂园假日半岛,5室3厅 | 282平米 | 东 | 精装 | 低楼层(共3层)  | 暂无数据,15人关注 / 一年前发布,240,"8,511元/平"
