标题,开发商,房子信息,发布信息,售价/万,单价
山水名都4-2-1-2 147.99m² 236 万,山水名都 -新桥,4室2厅 | 147.99平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,236,"15,948元/平"
顶越，大阳台，电梯房大阳台，同地块性jia比o房源。,清远路商住楼 -乐成区,7室3厅 | 267.73平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8天以前发布,210,"7,844元/平"
乐湖小区 西门  西铁  有一个20平车库,乐湖小区 -乐成区,4室2厅 | 131平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,148,"11,298元/平"
业主急卖！天阳世新铭邸 中层边套 价格可谈！随时看房,世新铭邸 -龙港,3室1厅 | 104平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,147.8,"14,212元/平"
山水名都3-2-1-2 125.00m² 175 万,山水名都 -新桥,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,175,"14,000元/平"
山水名都4-2-1-1 125.40m² 170 万,山水名都 -新桥,4室2厅 | 125.4平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,170,"13,557元/平"
出售 富力东边套 采光无遮挡 小区品质好 地理位子好,富力盛锦嘉园 -城东区,4室2厅 | 142.3平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,348,"24,456元/平"
中梁鹿锦西园 3室2厅 西南,中梁鹿锦西园 -车站大道,3室2厅 | 97平米 | 西南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,257,"26,495元/平"
好楼层 中等装修~价格可以谈 看房方便有钥匙~,金马花园 -城南区,4室2厅 | 174平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 14天以前发布,198,"11,380元/平"
巨龙小区电梯房中间楼层，采光充足，房东诚心出售,巨龙小区 -雁湖,3室2厅 | 144.3平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,188,"13,029元/平"
房东急售|江诚大厦高层|180大露台|满五|急售|养花草,江诚大厦 -乐成区,4室2厅 | 184.74平米 | 东 | 精装 | 低楼层(共16层)  | 暂无数据,8人关注 / 一年前发布,208,"11,260元/平"
华兴小区边套，国有出让，带车库，证满两年,华兴小区 -乐成区,4室2厅 | 143.96平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,119,"8,267元/平"
出售 西门 乐西路 商品房 3室2厅2卫 精装修 有电梯,乐西路 -乐成区,3室2厅 | 97.48平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,120,"12,311元/平"
西边间，楼层高，视野好，明厨明卫，错跃户型，精装修,白麓城三期大悦墅 -新城,4室1厅 | 165.34平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 23天以前发布,748,"45,241元/平"
繁华老城区精装3室    黄  金   楼层税少,罗东花园社区 -永中,3室2厅 | 131.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,125,"9,492元/平"
117方 东边间 精装修 户型方正 看房方便,山水名都 -新桥,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 12天以前发布,185,"15,812元/平"
双雁小区建筑面积116.13平售价125万,民丰社区双雁小区 -乐成区,3室2厅 | 116.13平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,125,"10,764元/平"
七都鹿岛甲第4室2卫，套型好，楼高视野好，好房,鹿岛甲第 -七都,4室1厅 | 127.44平米 | 南 | 毛坯 | 高楼层(共19层)  | 板楼,60人关注 / 6天以前发布,352,"27,621元/平"
品质小区 楼层好 视野开阔 1梯1户 证已经满二,华鸿中央公园1期 -龙港,4室2厅 | 124.8平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,188,"15,065元/平"
南北通透 视野开阔拎包去住精装电梯,宏滨锦苑 -永中,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共13层)  | 塔楼,0人关注 / 4天以前发布,145,"10,358元/平"
房东诚心出售！简单装修！晨怡花园|新体育馆|多套房源,晨怡花园 -城东区,4室2厅 | 139.37平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,150,"10,763元/平"
龙海花园 全新装修 房东诚心出售哦,龙海花园 -龙港,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,89.8,"7,242元/平"
新世界新家园 5室1厅 南 北,新世界新家园 -黄龙,5室1厅 | 182平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,220,"12,088元/平"
精装三房，房东诚心出售，总价低..,长城组团 -景山,3室1厅 | 77.75平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,1人关注 / 18天以前发布,115,"14,791元/平"
纺织五街电梯房 5楼东边套 精装修 拎包入 满二省税,纺织五街168-186号 -龙港,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,90,"6,924元/平"
"急卖位置好，,边间正看花园，视野好，看房子提前联系",新田园六组团 -新田园,3室2厅 | 134.78平米 | 东 | 简装 | 低楼层(共30层)  | 板塔结合,154人关注 / 一年前发布,256.2,"19,009元/平"
此房10月份满二 精装修 边套,上梁书香福邸 -乐成区,3室2厅 | 111.4平米 | 西南 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,162,"14,543元/平"
经典户型视野宽阔三朝南满二税少,丰翔嘉园 -高翔,3室1厅 | 104.47平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,160,"15,316元/平"
景山 二楼 单价低 老人住 置换 婚房 都很适合你,西岑公寓 -景山,2室2厅 | 80.84平米 | 南 北 | 简装 | 8层  | 板楼,3人关注 / 8个月以前发布,114,"14,102元/平"
江岸锦苑房龄新 户型南北 满二 精装修,江岸锦苑 -蒲州,3室2厅 | 147.25平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,272,"18,472元/平"
精装修4房拎包入住，南北通，利用面积大，采光通风好,荣德家园 -汤家桥,4室2厅 | 160.41平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,224,"13,965元/平"
此房满二 税少 出行方便 房东诚心出售 拎包入住,今日嘉园 -雁湖,4室2厅 | 189.05平米 | 南 西 北 | 精装 | 高楼层(共19层)  | 塔楼,2人关注 / 8个月以前发布,272,"14,388元/平"
礁石小区 大面积160㎡ 总价便宜 适合大家庭,礁石小区 -瑞安市,4室2厅 | 159.39平米 | 南 | 简装 | 高楼层(共7层)  | 平房,17人关注 / 一年前发布,85,"5,333元/平"
下吕浦清风组团 东边间采光无挡，双阳台 南北通,下吕浦九区清风组团 -下吕浦,3室2厅 | 142.47平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,10人关注 / 一年前发布,280,"19,654元/平"
区府339楼旁  小面积得房率高 一梯一户双阳台,大发凯旋门 -瓯海区府,3室2厅 | 87.06平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,221,"25,385元/平"
高楼层非顶楼，满二税少，南北通透采光好，有钥匙。,龙浦锦苑 -永中,3室1厅 | 126.29平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,129.6,"10,263元/平"
视野好，配套设施齐全，全明户型,华祥家园 -安阳,4室2厅 | 113平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,9人关注 / 6个月以前发布,185,"16,372元/平"
东浦二区，三房二卫，好楼层，户型方正,东浦二区 -乐成区,3室2厅 | 98.6平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 1个月以前发布,99,"10,041元/平"
小区生活设施配套完善，绿化好，良好的健身环境,中梁首府熙岸 -城南区,3室2厅 | 94.25平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,6人关注 / 5个月以前发布,175,"18,568元/平"
龙海景苑 110平 3室2卫 精装修 好楼层,龙海景苑 -永中,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,138,"12,546元/平"
新丰小区  好楼层  阳光通透  电梯房,新丰小区 -乐成区,4室1厅 | 170平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,0人关注 / 12天以前发布,92,"5,412元/平"
房屋格局好  精装修 业主诚心出售 南北通,大诚金廷 -瓯海区府,3室1厅 | 87.48平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 25天以前发布,265,"30,293元/平"
视野宽阔，采光充足。精装修，可以拎包入住。,鸿汇名苑 -黄屿,3室2厅 | 105.97平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,285,"26,895元/平"
柳翁大厦3-1-1-1 110.00m² 58 万,柳翁大厦 -柳市,3室1厅 | 110平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,57,"5,182元/平"
新城竹园小三房西边间全明户型总价低房东诚心售,竹园 -新城,3室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,141,"15,495元/平"
金地悦峰园楼层高边间户型采光好,金地荣安悦峰园 -万达,4室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,318,"22,878元/平"
出售金山公寓3室1厅1卫精装通透,金山公寓 -景山,3室1厅 | 83平米 | 东南 南 西 | 精装 | 7层  | 板楼,0人关注 / 19天以前发布,118,"14,217元/平"
交通便利，有电梯，房东诚心出售,龙湖住宅区 -龙港,4室1厅 | 145平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,48,"3,311元/平"
四室两厅两卫一厨带车位高层视野好,万城·世茂国际花园 -城南区,4室2厅 | 159平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 29天以前发布,170.5,"10,724元/平"
急卖急卖急卖大桥新村全新装修三室两卫,大桥新村 -安阳,3室1厅 | 94平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,132,"14,043元/平"
荣和福邸 滨海品质小区 百亩地块 未来发展,荣和福邸 -安阳,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 26天以前发布,216,"22,041元/平"
电梯房 位置好 信河街 精装修 南北北通 3室,芳景大厦 -江滨,3室1厅 | 108.45平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,1人关注 / 25天以前发布,280,"25,819元/平"
精装修楼高3房位置好，阳光无挡，诚心出售,德信爱琴海岸 -黄屿,3室1厅 | 88.06平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 25天以前发布,235,"26,687元/平"
