标题,开发商,房子信息,发布信息,售价/万,单价
余家漾汀州苑  空中三层  带大露台  业主诚心,余家漾汀洲苑 -老城区,4室3厅 | 148.19平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 7个月以前发布,250,"16,871元/平"
景观房，远山近水，视野开阔，房子满两年，看房方便,悠然美地观竹轩 -安吉县,3室2厅 | 124.2平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,135,"10,870元/平"
房子精装修第 一排起带水系，拎包即可入住,五峰山枫林山居 -安吉县,4室3厅 | 140.16平米 | 南 | 精装 | 低楼层(共2层)  | 板楼,0人关注 / 8个月以前发布,440,"31,393元/平"
新黄浦 采光好 前后无遮挡 楼层好 房东诚心出售,新黄浦四象府 -南浔区,3室2厅 | 87.81平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,0人关注 / 8天以前发布,107,"12,186元/平"
2楼，东边套丨露台30平，精装现房，即买即住,碧水嘉园 -安吉县,3室2厅 | 120.87平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 10天以前发布,100,"8,274元/平"
绿城物业 品质花园洋房 双阳台,天澜湾 -湖东西区,4室2厅 | 112.81平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,253,"22,428元/平"
风华苑西区边套 视野好 看房方便  业主诚心售 可小刀,风华苑西区 -南浔区,3室2厅 | 104.28平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 27天以前发布,92,"8,823元/平"
精装，采光好，朝南，房东急售，价格可协商,春江名城 -西南分区,2室2厅 | 90.79平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,1人关注 / 22天以前发布,112,"12,337元/平"
配套设施齐全丨近金象湖公园丨近广弘商圈,明華•月亮灣花園 -南浔区,4室2厅 | 130.58平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 30天以前发布,128,"9,803元/平"
格局好 采光无遮挡 小区人车分流 休闲安全 交通便利,南林嘉园 -南浔区,1室1厅 | 41.36平米 | 南 | 其他 | 中楼层(共15层)  | 塔楼,0人关注 / 5天以前发布,39,"9,430元/平"
好房！天河精装边套，三叶草户型，总价带产权车位！,天河理想城 -西南分区,3室2厅 | 134.23平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 9天以前发布,152,"11,324元/平"
由汎港控股集团倾情打造，小区品质高，两梯两户精装修,汎港润园二期 -西南分区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,205,"15,770元/平"
湖州府 瞰景美宅 业主诚意出售 无车位 随时可看,湖州府 -仁皇山分区,4室2厅 | 142.58平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 7天以前发布,260,"18,236元/平"
马军巷小区 两室半 3楼 沿街近市区  居家简装,马军巷小区 -老城区,3室1厅 | 57.71平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,72,"12,477元/平"
业主自住精装修，采光优越，拎包入住,汎港润园一期 -西南分区,3室2厅 | 119.33平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,158,"13,241元/平"
房子两室朝南，现急售，看中可以协商,清河嘉园A区 -西南分区,2室2厅 | 75.28平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,78.8,"10,468元/平"
佳源次新房，高区楼层，业主诚意出售；,佳源奚塘景城 -西南分区,3室2厅 | 132.07平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,143,"10,828元/平"
纯毛坯，带车位，看中可谈......,白溪景苑 -长兴县,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 8天以前发布,100,"11,628元/平"
