标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
乾州经开区好位置毛坯3房，价格让你意想不到！！,爱琴海城市广场 -经开区,3室2厅 | 117.03平米 | 东 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 14天以前发布,69.8,"5,965元/平"
溶江小区B区 自带30平大院子的毛坯四房 报价72.8万,溶江小区 -经开区,4室2厅 | 141.66平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,72.8,"5,140元/平"
经开区新上房源 边户的大户型 采光视野无阻挡,溶江小区 -经开区,4室2厅 | 141.66平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,80.8,"5,704元/平"
御香山精装房--楼层好，视野宽阔，采光充足,仁安·御香山 -经开区,5室2厅 | 169.04平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,185,"10,945元/平"
此房临河看河，中间楼层。业主诚意出售。产权清晰,名门江山小区 -经开区,3室2厅 | 129.07平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,72,"5,579元/平"
出售吉盟天下毛坯三房 电梯小高层,吉盟天下一期 -吉首,3室2厅 | 115.18平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 13天以前发布,39,"3,387元/平"
经开区职院对   面，小区寂静，适合养老,金磊凤凰山 -经开区,4室2厅 | 143.24平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 20天以前发布,58.5,"4,085元/平"
世纪广场单位房一梯两户小高层房东诚心出售,吉首农商银行和谐家园 -乾州,3室2厅 | 137.52平米 | 东南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 17天以前发布,65,"4,727元/平"
经开区文化广场旁，精装3房2卫，房东诚意出售,碧桂园中央公园 -经开区,3室2厅 | 111.97平米 | 东南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 14天以前发布,55.8,"4,984元/平"
单价3830！雅溪电梯4房，只要49.8万！,吉盟天下一期 -吉首,4室2厅 | 130平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,48.8,"3,754元/平"
经开区大四房 楼层好 采光好 电梯房,仁安·御香山 -经开区,4室2厅 | 156平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,83.8,"5,372元/平"
好房推荐--御香山--通透格局，视野宽阔，采光充足,仁安·御香山 -经开区,3室2厅 | 146.18平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,120,"8,210元/平"
吉首乾州单位房，房东诚心出售，配套齐全。,太丰雅苑名校居 -乾州,3室1厅 | 89.55平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,6人关注 / 10个月以前发布,38,"4,244元/平"
吉首复式楼，带车库一起，价格相当实惠,水畔铭城 -吉首,5室2厅 | 210.17平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,13人关注 / 10个月以前发布,62.8,"2,989元/平"
单位房，绿化好，楼梯房，公摊面积少，物业安全,向阳坪电力局宿舍 -吉首,3室2厅 | 121.28平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,9人关注 / 一年前发布,39.8,"3,282元/平"
