标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
荣盛华府 4室2厅 东,荣盛华府 -赤坎开发区,4室2厅 | 126.15平米 | 东 | 简装 | 低楼层(共38层)  | 板塔结合,0人关注 / 11天以前发布,126,"9,989元/平"
装修保养好采光通风性好，小孩上学、工作、生活两不误,保利·原悦花园 -工农片区,3室2厅 | 91.26平米 | 西南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,95,"10,410元/平"
霞山区 紫荆府 新新小区 24小时专人管理 安全,铭鹏紫荆府 -南站片区,4室2厅 | 88.48平米 | 东南 | 毛坯 | 高楼层(共21层)  | 塔楼,4人关注 / 3个月以前发布,85,"9,607元/平"
盛和园 4室2厅 东北,盛和园 -赤坎开发区,4室2厅 | 128.24平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 3个月以前发布,200,"15,596元/平"
嘉粤汇景豪庭 4室2厅 东南,嘉粤汇景豪庭 -城市美林片区,4室2厅 | 123.25平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 4天以前发布,113,"9,169元/平"
开发区万达广场复式一层有两层用,万达广场 -赤坎开发区,2室1厅 | 92.38平米 | 东南 | 简装 | 中楼层(共39层)  | 塔楼,1人关注 / 15天以前发布,45,"4,872元/平"
江南世家，业主因工作调动急售！4房看房方便有钥匙,江南世家 -城市假日片区,4室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 14天以前发布,159,"11,778元/平"
金海湾一期南北对流四房两厅双阳台,金海湾一期 -金城片区,4室2厅 | 170平米 | 南 北 | 精装 | 27层  | 板楼,9人关注 / 一年前发布,142,"8,353元/平"
正规三房 繁华地段  交通方便 看房提前预约,文化宫宿舍 -七小片区,3室2厅 | 135平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,58,"4,297元/平"
御景珺庭 5室2厅 东南,御景珺庭 -赤坎开发区,5室2厅 | 195平米 | 东南 | 毛坯 | 中楼层(共36层)  | 板塔结合,0人关注 / 1个月以前发布,260,"13,334元/平"
东山花园南区 4室2厅 东北,东山花园南区 -南站片区,4室2厅 | 103平米 | 东北 | 毛坯 | 中楼层(共22层)  | 塔楼,1人关注 / 4个月以前发布,93,"9,030元/平"
湛江海东万想凯旋湾高层大两房出售,万象凯旋湾 -坡头区,2室2厅 | 71.5平米 | 北 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 21天以前发布,50,"6,994元/平"
电厂宿舍南苑 3室2厅 南 北,电厂宿舍南苑 -百园片区,3室2厅 | 107.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 26天以前发布,72,"6,681元/平"
碧海金岸大三房看海，南北对流采光好，钥匙房看房方便,碧海金岸花园 -坡头区,3室2厅 | 121.88平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,105,"8,616元/平"
百合家园，电梯三房，户型方正实用，业主诚心出售！,嘉粤百合家园 -国贸中心区,3室2厅 | 98.02平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,75,"7,652元/平"
电梯房 业主诚心放卖 看房方便 有钥匙,南亚郦都四期 -麻章区,1室1厅 | 33平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,19.8,"6,000元/平"
保利·原景花园 3室2厅 东,保利·原景花园 -工农片区,3室2厅 | 99.8平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,90,"9,019元/平"
满五唯一，泰汇广场精装四房，120万业主包家具家电,泰汇广场 -工农片区,4室2厅 | 132.67平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,120,"9,045元/平"
碧桂园海湾城 3室1厅 南,碧桂园海湾城 -金沙湾片区,3室1厅 | 106平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,93,"8,774元/平"
洪屋路八巷23号 3室2厅 南,洪屋路八巷23号 -东风片区,3室2厅 | 89.84平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,33,"3,674元/平"
金地豪苑 4室2厅 东,金地豪苑 -海滨片区,4室2厅 | 168平米 | 东 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 11天以前发布,150,"8,929元/平"
喧闹城市 很安静一处家 决版户型 我相信你没看过的4房,新世纪花园 -鼎盛片区,4室2厅 | 143.91平米 | 东南 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 9天以前发布,90,"6,254元/平"
新澳城市花园 4室1厅 东,新澳城市花园 -新澳城市花园片区,4室1厅 | 95平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,100,"10,527元/平"
金沙湾电梯4房笋到没朋友！不看后悔！,金沙湾三期豪盛园 -金沙湾片区,4室2厅 | 162平米 | 东 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 4个月以前发布,154.8,"9,556元/平"
保利·原景花园 4室2厅 东南,保利·原景花园 -工农片区,4室2厅 | 126平米 | 东南 | 精装 | 低楼层(共40层)  | 塔楼,14人关注 / 一年前发布,112,"8,889元/平"
此房.满五不唯一.交通方便.空气好.位置好,虹都大厦 -百园片区,6室2厅 | 240平米 | 东南 | 简装 | 高楼层(共15层)  | 板楼,8人关注 / 一年前发布,139,"5,792元/平"
恒大帝景 3室1厅 东北,恒大帝景 -赤坎开发区,3室1厅 | 123平米 | 东北 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 13天以前发布,130,"10,570元/平"
业主诚心出售，户型方正，装修新净，拎包入住。,万达海公馆 -赤坎开发区,3室2厅 | 123.5平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 12天以前发布,138,"11,175元/平"
御景珺庭 5室2厅 南,御景珺庭 -赤坎开发区,5室2厅 | 179平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 8个月以前发布,249,"13,911元/平"
新全新没住过，看合适还价就卖，详细了解找维护 员,清晖嘉园 -赤坎开发区,3室2厅 | 89.97平米 | 北 | 精装 | 中楼层(共38层)  | 板楼,12人关注 / 6个月以前发布,115,"12,783元/平"
明景花园 3室2厅 西北,明景花园 -城市假日片区,3室2厅 | 154.3平米 | 西北 | 精装 | 中楼层(共22层)  | 板塔结合,1人关注 / 8个月以前发布,118,"7,648元/平"
户型方正.满五唯一.使用率高.,教育局宿舍 -寸金片区,4室2厅 | 100.65平米 | 南 | 简装 | 高楼层(共6层)  | 平房,4人关注 / 4个月以前发布,59,"5,862元/平"
君临世纪 4室2厅 南,君临世纪 -京基片区,4室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共38层)  | 暂无数据,5人关注 / 5个月以前发布,183,"14,640元/平"
新装修、清净布局合理实用、屋主诚心出售、成熟配套！,跃进路75号粮食局宿舍 -百园片区,3室1厅 | 83平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 5个月以前发布,43.8,"5,278元/平"
京基3房价格住5房，特此一套，新装修,西粤京基城一期 -赤坎开发区,5室2厅 | 138平米 | 南 | 简装 | 32层  | 板楼,39人关注 / 4个月以前发布,143.8,"10,421元/平"
农机公司宿舍 3室2厅 南,农机公司宿舍 -鼎盛片区,3室2厅 | 105.66平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,2人关注 / 2个月以前发布,59.8,"5,660元/平"
： 此房格局好。三面采光充足每间房通风采光好。,银盛豪庭 -新澳城市花园片区,4室2厅 | 100.04平米 | 东南 | 毛坯 | 低楼层(共23层)  | 暂无数据,4人关注 / 9个月以前发布,95,"9,497元/平"
业主诚心出售随时签约，看房方便，户型方正，客餐分离,盛和园 -赤坎开发区,4室2厅 | 129平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,1人关注 / 一年前发布,165,"12,791元/平"
海港 2室2厅 东,海港 -工农片区,2室2厅 | 54平米 | 东 | 简装 | 低楼层(共8层)  | 板楼,4人关注 / 7个月以前发布,23,"4,260元/平"
2006年全新精装大三房 15万首付轻松拿下,市粮食局坡头分局综合楼 -南站片区,3室2厅 | 88平米 | 西南 | 精装 | 中楼层(共8层)  | 暂无数据,22人关注 / 5个月以前发布,45,"5,114元/平"
金沙湾一期陶然居 5室2厅 南,金沙湾一期陶然居 -金沙湾片区,5室2厅 | 143平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,93,"6,504元/平"
友谊小区(霞山区) 2室2厅 南,友谊小区(霞山区) -工农片区,2室2厅 | 75平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,40,"5,334元/平"
博达天禧 3室2厅 南,博达天禧 -南站片区,3室2厅 | 84平米 | 南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,85,"10,120元/平"
此房业主诚心出售随时签约，看房方便,金辉煌领峰 -鼎盛片区,3室2厅 | 111.73平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 6个月以前发布,125,"11,188元/平"
紫荆花园 2室2厅 南,紫荆花园 -东风片区,2室2厅 | 88.66平米 | 南 | 简装 | 中楼层(共9层)  | 塔楼,6人关注 / 5个月以前发布,50,"5,640元/平"
中行宿舍（创新二巷20号） 2室2厅 南,中行宿舍（创新二巷20号） -东风片区,2室2厅 | 91.07平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,26,"2,855元/平"
澳海城  户型四正  采光充足  看房方便,澳海城 -赤坎开发区,4室2厅 | 137平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 10个月以前发布,168,"12,263元/平"
南亚郦都三期 3室2厅 南,南亚郦都三期 -麻章区,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 27天以前发布,70,"5,600元/平"
南亚郦都二期 4室2厅 南 北,南亚郦都二期 -麻章区,4室2厅 | 138.06平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 21天以前发布,76,"5,505元/平"
恒福美地花园 3室2厅 南,恒福美地花园 -城市假日片区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 23天以前发布,115,"10,000元/平"
保利宸悦 3室2厅 东,保利宸悦 -工农片区,3室2厅 | 100平米 | 东 | 其他 | 中楼层(共39层)  | 暂无数据,0人关注 / 1个月以前发布,120,"12,000元/平"
明景花园 3室2厅 东,明景花园 -城市假日片区,3室2厅 | 146平米 | 东 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 28天以前发布,122,"8,357元/平"
瑞云中路70号 3室1厅 南,瑞云中路70号 -麻章区,3室1厅 | 102平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 16天以前发布,38,"3,726元/平"
邮电小区 3室2厅 南,邮电小区 -鼎盛片区,3室2厅 | 79平米 | 南 | 简装 | 低楼层(共9层)  | 塔楼,0人关注 / 23天以前发布,59,"7,469元/平"
荣盛中央广场 1室1厅 南,荣盛中央广场 -赤坎开发区,1室1厅 | 84平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,50,"5,953元/平"
东新豪园3房2厅，东南向向靓楼层拎包入住,东新豪园 -南站片区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共21层)  | 塔楼,2人关注 / 8个月以前发布,95,"9,048元/平"
此房主人房可以看海，装修精致，南北对流,荣基花园 -海滨片区,4室2厅 | 166平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,13人关注 / 一年前发布,166,"10,000元/平"
君临世纪 36平米大露台单独使用 去年新装修,君临世纪 -京基片区,2室2厅 | 71平米 | 北 | 精装 | 低楼层(共38层)  | 板塔结合,0人关注 / 30天以前发布,109,"15,353元/平"
万达商圈住宅两房 业主低价出售,恒大帝景 -赤坎开发区,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,92,"12,267元/平"
少有的一套南向三房拎包入住看房方便,湛江市物资再生利用公司宿舍 -国贸中心区,3室1厅 | 63平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,40,"6,350元/平"
金豪嘉苑 2室2厅 东,金豪嘉苑 -南站片区,2室2厅 | 76平米 | 东 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 5天以前发布,73,"9,606元/平"
城市假日花园B区 2室2厅 南,城市假日花园B区 -城市假日片区,2室2厅 | 81平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 14天以前发布,88,"10,865元/平"
保利天悦湾 4室2厅 南,保利天悦湾 -金沙湾片区,4室2厅 | 141平米 | 南 | 其他 | 中楼层(共53层)  | 板塔结合,0人关注 / 1个月以前发布,308,"21,844元/平"
华都汇 4室2厅 西南,华都汇 -城市假日片区,4室2厅 | 126平米 | 西南 | 毛坯 | 中楼层(共27层)  | 暂无数据,7人关注 / 一年前发布,135,"10,715元/平"
海景路198号 2室2厅 南,海景路198号 -海滨片区,2室2厅 | 95平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,55,"5,790元/平"
恒丽湾全新毛坯4房 业主诚心出售,恒俪湾 -城市假日片区,4室2厅 | 93平米 | 西南 | 毛坯 | 高楼层(共31层)  | 暂无数据,11人关注 / 一年前发布,110,"11,828元/平"
文明北一路31号 3室2厅 南,文明北一路31号 -国贸中心区,3室2厅 | 75平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,7人关注 / 4个月以前发布,34,"4,534元/平"
翠绿花园 4室2厅 东南,翠绿花园 -新澳城市花园片区,4室2厅 | 130平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,95,"7,308元/平"
御景华府 5室2厅 东南,御景华府 -赤坎开发区,5室2厅 | 140平米 | 东南 | 其他 | 高楼层(共36层)  | 暂无数据,0人关注 / 2个月以前发布,163,"11,643元/平"
万达商圈4房，新装修未入住，现代筒约风,清晖嘉园 -赤坎开发区,4室1厅 | 107.4平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,6人关注 / 2个月以前发布,129,"12,012元/平"
标准复式，带花园，格局通透，采光充足，业主诚心出售,绿茵家园 -海滨片区,4室1厅 | 178平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,3人关注 / 1个月以前发布,145,"8,147元/平"
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,145,"13,552元/平"
小区绿化好，空气好，交通出入方便,飞鹏万荟世界 -金城片区,4室2厅 | 121平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 7个月以前发布,135,"11,158元/平"
御景华府 3室2厅 南,御景华府 -赤坎开发区,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共36层)  | 暂无数据,0人关注 / 2个月以前发布,132.5,"11,135元/平"
保利原悦花园 电梯三房 装修保养好 采光通风性好,保利·原悦花园 -工农片区,3室2厅 | 103.34平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 2个月以前发布,96,"9,290元/平"
铭鹏紫荆府 3室2厅 南,铭鹏紫荆府 -南站片区,3室2厅 | 87.33平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,3人关注 / 3个月以前发布,79,"9,047元/平"
盛和园 4室2厅 东,盛和园 -赤坎开发区,4室2厅 | 119.62平米 | 东 | 毛坯 | 低楼层(共37层)  | 塔楼,0人关注 / 7个月以前发布,139,"11,621元/平"
金地花园靓房，装修新净楼层靓随时看房,金地花园(霞山区) -海滨片区,4室2厅 | 149平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,8人关注 / 8个月以前发布,90,"6,041元/平"
保利2房2厅精装出售，还没住过拎包入住,保利宸悦 -工农片区,2室1厅 | 75.39平米 | 西北 | 精装 | 高楼层(共26层)  | 塔楼,8人关注 / 一年前发布,78,"10,347元/平"
四房两厅 业主诚心出售 看房提前约,泰汇广场 -工农片区,5室2厅 | 150平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,118,"7,867元/平"
飞鹏万荟世界 3室2厅 东 东南,飞鹏万荟世界 -金城片区,3室2厅 | 87平米 | 东 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 9个月以前发布,83,"9,541元/平"
